Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
413¿Program¿¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":57,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/canvas-designer_1.2.1/src/server.js"}¿¿Program
414¿VariableDeclarator¿¿server¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/canvas-designer_1.2.1/src/server.js"}¿¿VariableDeclarator
415¿CallExpression¿¿¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/canvas-designer_1.2.1/src/server.js"}¿¿CallExpression
416¿Identifier¿¿require¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/canvas-designer_1.2.1/src/server.js"}¿¿Identifier
417¿Literal¿string¿¿'http'¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/canvas-designer_1.2.1/src/server.js"}¿¿Literal
418¿VariableDeclarator¿¿url¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/canvas-designer_1.2.1/src/server.js"}¿¿VariableDeclarator
419¿CallExpression¿¿¿¿¿{"start":{"line":2,"column":10},"end":{"line":2,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/canvas-designer_1.2.1/src/server.js"}¿¿CallExpression
420¿Identifier¿¿require¿¿¿{"start":{"line":2,"column":10},"end":{"line":2,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/canvas-designer_1.2.1/src/server.js"}¿¿Identifier
421¿Literal¿string¿¿'url'¿¿{"start":{"line":2,"column":18},"end":{"line":2,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/canvas-designer_1.2.1/src/server.js"}¿¿Literal
422¿VariableDeclarator¿¿path¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/canvas-designer_1.2.1/src/server.js"}¿¿VariableDeclarator
423¿CallExpression¿¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/canvas-designer_1.2.1/src/server.js"}¿¿CallExpression
424¿Identifier¿¿require¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/canvas-designer_1.2.1/src/server.js"}¿¿Identifier
425¿Literal¿string¿¿'path'¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/canvas-designer_1.2.1/src/server.js"}¿¿Literal
426¿VariableDeclarator¿¿fs¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/canvas-designer_1.2.1/src/server.js"}¿¿VariableDeclarator
427¿CallExpression¿¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/canvas-designer_1.2.1/src/server.js"}¿¿CallExpression
428¿Identifier¿¿require¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/canvas-designer_1.2.1/src/server.js"}¿¿Identifier
429¿Literal¿string¿¿'fs'¿¿{"start":{"line":4,"column":17},"end":{"line":4,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/canvas-designer_1.2.1/src/server.js"}¿¿Literal
430¿VariableDeclarator¿¿serverHandler¿¿¿{"start":{"line":6,"column":0},"end":{"line":50,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/canvas-designer_1.2.1/src/server.js"}¿¿VariableDeclarator
431¿FunctionExpression¿¿anon¿¿¿{"start":{"line":6,"column":0},"end":{"line":50,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/canvas-designer_1.2.1/src/server.js"}¿¿FunctionExpression
432¿Identifier¿¿request¿¿¿{"start":{"line":6,"column":23},"end":{"line":6,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/canvas-designer_1.2.1/src/server.js"}¿¿Identifier
433¿Identifier¿¿response¿¿¿{"start":{"line":6,"column":32},"end":{"line":6,"column":40},"fname":"/datasets/secbench-dataset/CWE-22/canvas-designer_1.2.1/src/server.js"}¿¿Identifier
434¿VariableDeclarator¿¿v38¿¿¿{"start":{"line":7,"column":24},"end":{"line":7,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/canvas-designer_1.2.1/src/server.js"}¿¿VariableDeclarator
435¿MemberExpression¿¿¿¿¿{"start":{"line":7,"column":24},"end":{"line":7,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/canvas-designer_1.2.1/src/server.js"}¿¿MemberExpression
436¿Identifier¿¿request¿¿¿{"start":{"line":7,"column":24},"end":{"line":7,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/canvas-designer_1.2.1/src/server.js"}¿¿Identifier
437¿Identifier¿¿url¿¿¿{"start":{"line":7,"column":32},"end":{"line":7,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/canvas-designer_1.2.1/src/server.js"}¿¿Identifier
438¿VariableDeclarator¿¿v39¿¿¿{"start":{"line":7,"column":14},"end":{"line":7,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/canvas-designer_1.2.1/src/server.js"}¿¿VariableDeclarator
439¿CallExpression¿¿¿¿¿{"start":{"line":7,"column":14},"end":{"line":7,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/canvas-designer_1.2.1/src/server.js"}¿¿CallExpression
440¿MemberExpression¿¿¿¿¿{"start":{"line":7,"column":14},"end":{"line":7,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/canvas-designer_1.2.1/src/server.js"}¿¿MemberExpression
441¿Identifier¿¿url¿¿¿{"start":{"line":7,"column":14},"end":{"line":7,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/canvas-designer_1.2.1/src/server.js"}¿¿Identifier
442¿Identifier¿¿parse¿¿¿{"start":{"line":7,"column":18},"end":{"line":7,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/canvas-designer_1.2.1/src/server.js"}¿¿Identifier
443¿Identifier¿¿v38¿¿¿¿¿Identifier
444¿VariableDeclarator¿¿uri¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":45},"fname":"/datasets/secbench-dataset/CWE-22/canvas-designer_1.2.1/src/server.js"}¿¿VariableDeclarator
445¿MemberExpression¿¿¿¿¿{"start":{"line":7,"column":14},"end":{"line":7,"column":45},"fname":"/datasets/secbench-dataset/CWE-22/canvas-designer_1.2.1/src/server.js"}¿¿MemberExpression
446¿Identifier¿¿v39¿¿¿¿¿Identifier
447¿Identifier¿¿pathname¿¿¿{"start":{"line":7,"column":37},"end":{"line":7,"column":45},"fname":"/datasets/secbench-dataset/CWE-22/canvas-designer_1.2.1/src/server.js"}¿¿Identifier
448¿VariableDeclarator¿¿v40¿¿¿{"start":{"line":8,"column":29},"end":{"line":8,"column":42},"fname":"/datasets/secbench-dataset/CWE-22/canvas-designer_1.2.1/src/server.js"}¿¿VariableDeclarator
449¿CallExpression¿¿¿¿¿{"start":{"line":8,"column":29},"end":{"line":8,"column":42},"fname":"/datasets/secbench-dataset/CWE-22/canvas-designer_1.2.1/src/server.js"}¿¿CallExpression
450¿MemberExpression¿¿¿¿¿{"start":{"line":8,"column":29},"end":{"line":8,"column":40},"fname":"/datasets/secbench-dataset/CWE-22/canvas-designer_1.2.1/src/server.js"}¿¿MemberExpression
451¿Identifier¿¿process¿¿¿{"start":{"line":8,"column":29},"end":{"line":8,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/canvas-designer_1.2.1/src/server.js"}¿¿Identifier
452¿Identifier¿¿cwd¿¿¿{"start":{"line":8,"column":37},"end":{"line":8,"column":40},"fname":"/datasets/secbench-dataset/CWE-22/canvas-designer_1.2.1/src/server.js"}¿¿Identifier
453¿VariableDeclarator¿¿filename¿¿¿{"start":{"line":8,"column":8},"end":{"line":8,"column":48},"fname":"/datasets/secbench-dataset/CWE-22/canvas-designer_1.2.1/src/server.js"}¿¿VariableDeclarator
