Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
533¿Program¿¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":76,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/getstats_1.0.6/src/server.js"}¿¿Program
534¿VariableDeclarator¿¿v58¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/getstats_1.0.6/src/server.js"}¿¿VariableDeclarator
535¿MemberExpression¿¿¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/getstats_1.0.6/src/server.js"}¿¿MemberExpression
536¿Identifier¿¿process¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/getstats_1.0.6/src/server.js"}¿¿Identifier
537¿Identifier¿¿env¿¿¿{"start":{"line":4,"column":19},"end":{"line":4,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/getstats_1.0.6/src/server.js"}¿¿Identifier
538¿VariableDeclarator¿¿v59¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/getstats_1.0.6/src/server.js"}¿¿VariableDeclarator
539¿MemberExpression¿¿¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/getstats_1.0.6/src/server.js"}¿¿MemberExpression
540¿Identifier¿¿v58¿¿¿¿¿Identifier
541¿Identifier¿¿PORT¿¿¿{"start":{"line":4,"column":23},"end":{"line":4,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/getstats_1.0.6/src/server.js"}¿¿Identifier
542¿VariableDeclarator¿¿port¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/getstats_1.0.6/src/server.js"}¿¿VariableDeclarator
543¿LogicalExpression¿||¿¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/getstats_1.0.6/src/server.js"}¿¿LogicalExpression
544¿Identifier¿¿v59¿¿¿¿¿Identifier
545¿Literal¿number¿¿9001¿¿{"start":{"line":4,"column":31},"end":{"line":4,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/getstats_1.0.6/src/server.js"}¿¿Literal
546¿VariableDeclarator¿¿server¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/getstats_1.0.6/src/server.js"}¿¿VariableDeclarator
