Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1044¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":126,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Program
1045¿VariableDeclarator¿¿1813¿v99¿¿¿{"start":{"line":1,"column":9},"end":{"line":1,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿VariableDeclarator
1046¿CallExpression¿¿1813¿¿¿¿{"start":{"line":1,"column":9},"end":{"line":1,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿CallExpression
1047¿Identifier¿¿1813¿require¿¿¿{"start":{"line":1,"column":9},"end":{"line":1,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Identifier
1048¿Literal¿string¿1813¿¿'events'¿¿{"start":{"line":1,"column":17},"end":{"line":1,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Literal
1049¿VariableDeclarator¿¿1813¿EE¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿VariableDeclarator
1050¿MemberExpression¿¿1813¿¿¿¿{"start":{"line":1,"column":9},"end":{"line":1,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿MemberExpression
1051¿Identifier¿¿1813¿v99¿¿¿¿¿Identifier
1052¿Identifier¿¿1813¿EventEmitter¿¿¿{"start":{"line":1,"column":27},"end":{"line":1,"column":39},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Identifier
1053¿VariableDeclarator¿¿1813¿v100¿¿¿{"start":{"line":2,"column":12},"end":{"line":2,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿VariableDeclarator
1054¿CallExpression¿¿1813¿¿¿¿{"start":{"line":2,"column":12},"end":{"line":2,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿CallExpression
1055¿Identifier¿¿1813¿require¿¿¿{"start":{"line":2,"column":12},"end":{"line":2,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Identifier
1056¿Literal¿string¿1813¿¿'url'¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿Literal
1057¿VariableDeclarator¿¿1813¿parse¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿VariableDeclarator
1058¿MemberExpression¿¿1813¿¿¿¿{"start":{"line":2,"column":12},"end":{"line":2,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/glance_3.0.0/src/index.js"}¿¿MemberExpression
1059¿Identifier¿¿1813¿v100¿¿¿¿¿Identifier
