Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
2777¿Program¿¿-1¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":419,"column":2},"fname":"/datasets/secbench-dataset/CWE-22/node-staticserver_1.0.3/src/server.js"}¿¿Program
2778¿ExpressionStatement¿¿4930¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/node-staticserver_1.0.3/src/server.js"}¿¿ExpressionStatement
2779¿Literal¿string¿4930¿¿'use strict'¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":12},"fname":"/datasets/secbench-dataset/CWE-22/node-staticserver_1.0.3/src/server.js"}¿¿Literal
2780¿VariableDeclarator¿¿4930¿http¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/node-staticserver_1.0.3/src/server.js"}¿¿VariableDeclarator
2781¿CallExpression¿¿4930¿¿¿¿{"start":{"line":8,"column":11},"end":{"line":8,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/node-staticserver_1.0.3/src/server.js"}¿¿CallExpression
2782¿Identifier¿¿4930¿require¿¿¿{"start":{"line":8,"column":11},"end":{"line":8,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/node-staticserver_1.0.3/src/server.js"}¿¿Identifier
2783¿Literal¿string¿4930¿¿'http'¿¿{"start":{"line":8,"column":19},"end":{"line":8,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/node-staticserver_1.0.3/src/server.js"}¿¿Literal
2784¿VariableDeclarator¿¿4930¿url¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/node-staticserver_1.0.3/src/server.js"}¿¿VariableDeclarator
2785¿CallExpression¿¿4930¿¿¿¿{"start":{"line":10,"column":10},"end":{"line":10,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/node-staticserver_1.0.3/src/server.js"}¿¿CallExpression
2786¿Identifier¿¿4930¿require¿¿¿{"start":{"line":10,"column":10},"end":{"line":10,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/node-staticserver_1.0.3/src/server.js"}¿¿Identifier
2787¿Literal¿string¿4930¿¿'url'¿¿{"start":{"line":10,"column":18},"end":{"line":10,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/node-staticserver_1.0.3/src/server.js"}¿¿Literal
2788¿VariableDeclarator¿¿4930¿path¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/node-staticserver_1.0.3/src/server.js"}¿¿VariableDeclarator
2789¿CallExpression¿¿4930¿¿¿¿{"start":{"line":12,"column":11},"end":{"line":12,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/node-staticserver_1.0.3/src/server.js"}¿¿CallExpression
2790¿Identifier¿¿4930¿require¿¿¿{"start":{"line":12,"column":11},"end":{"line":12,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/node-staticserver_1.0.3/src/server.js"}¿¿Identifier
2791¿Literal¿string¿4930¿¿'path'¿¿{"start":{"line":12,"column":19},"end":{"line":12,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/node-staticserver_1.0.3/src/server.js"}¿¿Literal
