Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
461¿Program¿¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":92,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿Program
462¿VariableDeclarator¿¿v41¿¿¿{"start":{"line":9,"column":0},"end":{"line":9,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿VariableDeclarator
463¿CallExpression¿¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":9,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿CallExpression
464¿MemberExpression¿¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":9,"column":12},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿MemberExpression
465¿Identifier¿¿console¿¿¿{"start":{"line":9,"column":0},"end":{"line":9,"column":7},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿Identifier
466¿Identifier¿¿time¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":12},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿Identifier
467¿Literal¿string¿¿'[Airserver][Start]'¿¿{"start":{"line":9,"column":13},"end":{"line":9,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿Literal
468¿ExpressionStatement¿¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":9,"column":35},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿ExpressionStatement
469¿Identifier¿¿v41¿¿¿¿¿Identifier
470¿VariableDeclarator¿¿http¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿VariableDeclarator
471¿CallExpression¿¿¿¿¿{"start":{"line":12,"column":11},"end":{"line":12,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿CallExpression
472¿Identifier¿¿require¿¿¿{"start":{"line":12,"column":11},"end":{"line":12,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿Identifier
473¿Literal¿string¿¿'http'¿¿{"start":{"line":12,"column":19},"end":{"line":12,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿Literal
474¿VariableDeclarator¿¿url¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿VariableDeclarator
475¿CallExpression¿¿¿¿¿{"start":{"line":13,"column":10},"end":{"line":13,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿CallExpression
476¿Identifier¿¿require¿¿¿{"start":{"line":13,"column":10},"end":{"line":13,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿Identifier
477¿Literal¿string¿¿'url'¿¿{"start":{"line":13,"column":18},"end":{"line":13,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿Literal
478¿VariableDeclarator¿¿fs¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿VariableDeclarator
479¿CallExpression¿¿¿¿¿{"start":{"line":14,"column":9},"end":{"line":14,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿CallExpression
480¿Identifier¿¿require¿¿¿{"start":{"line":14,"column":9},"end":{"line":14,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿Identifier
481¿Literal¿string¿¿'fs'¿¿{"start":{"line":14,"column":17},"end":{"line":14,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿Literal
482¿VariableDeclarator¿¿mime¿¿¿{"start":{"line":15,"column":4},"end":{"line":15,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿VariableDeclarator
483¿CallExpression¿¿¿¿¿{"start":{"line":15,"column":11},"end":{"line":15,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿CallExpression
484¿Identifier¿¿require¿¿¿{"start":{"line":15,"column":11},"end":{"line":15,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿Identifier
485¿Literal¿string¿¿'mime'¿¿{"start":{"line":15,"column":19},"end":{"line":15,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿Literal
486¿VariableDeclarator¿¿grunt¿¿¿{"start":{"line":16,"column":4},"end":{"line":16,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿VariableDeclarator
487¿CallExpression¿¿¿¿¿{"start":{"line":16,"column":12},"end":{"line":16,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿CallExpression
488¿Identifier¿¿require¿¿¿{"start":{"line":16,"column":12},"end":{"line":16,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿Identifier
489¿Literal¿string¿¿'grunt'¿¿{"start":{"line":16,"column":20},"end":{"line":16,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿Literal
490¿VariableDeclarator¿¿path¿¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿VariableDeclarator
491¿CallExpression¿¿¿¿¿{"start":{"line":17,"column":11},"end":{"line":17,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿CallExpression
492¿Identifier¿¿require¿¿¿{"start":{"line":17,"column":11},"end":{"line":17,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿Identifier
493¿Literal¿string¿¿'path'¿¿{"start":{"line":17,"column":19},"end":{"line":17,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿Literal
494¿VariableDeclarator¿¿argvs¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿VariableDeclarator
495¿CallExpression¿¿¿¿¿{"start":{"line":18,"column":12},"end":{"line":18,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿CallExpression
496¿Identifier¿¿require¿¿¿{"start":{"line":18,"column":12},"end":{"line":18,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿Identifier
497¿Literal¿string¿¿'./argvs'¿¿{"start":{"line":18,"column":20},"end":{"line":18,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿Literal
498¿VariableDeclarator¿¿logger¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿VariableDeclarator
499¿CallExpression¿¿¿¿¿{"start":{"line":19,"column":13},"end":{"line":19,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿CallExpression
500¿Identifier¿¿require¿¿¿{"start":{"line":19,"column":13},"end":{"line":19,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿Identifier
501¿Literal¿string¿¿'./log'¿¿{"start":{"line":19,"column":21},"end":{"line":19,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿Literal
502¿VariableDeclarator¿¿main¿¿¿{"start":{"line":22,"column":4},"end":{"line":76,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿VariableDeclarator
503¿FunctionExpression¿¿anon¿¿¿{"start":{"line":22,"column":11},"end":{"line":76,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿FunctionExpression
504¿Identifier¿¿req¿¿¿{"start":{"line":22,"column":20},"end":{"line":22,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿Identifier
505¿Identifier¿¿res¿¿¿{"start":{"line":22,"column":25},"end":{"line":22,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿Identifier
506¿VariableDeclarator¿¿reqUrl¿¿¿{"start":{"line":23,"column":12},"end":{"line":23,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿VariableDeclarator
507¿MemberExpression¿¿¿¿¿{"start":{"line":23,"column":21},"end":{"line":23,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿MemberExpression
508¿Identifier¿¿req¿¿¿{"start":{"line":23,"column":21},"end":{"line":23,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿Identifier
509¿Identifier¿¿url¿¿¿{"start":{"line":23,"column":25},"end":{"line":23,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿Identifier
510¿VariableDeclarator¿¿v42¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿VariableDeclarator
511¿CallExpression¿¿¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿CallExpression
512¿MemberExpression¿¿¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿MemberExpression
513¿Identifier¿¿logger¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿Identifier
514¿Identifier¿¿http¿¿¿{"start":{"line":25,"column":15},"end":{"line":25,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿Identifier
515¿Identifier¿¿req¿¿¿{"start":{"line":25,"column":20},"end":{"line":25,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿Identifier
516¿Identifier¿¿res¿¿¿{"start":{"line":25,"column":25},"end":{"line":25,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿Identifier
517¿ExpressionStatement¿¿¿¿¿{"start":{"line":25,"column":8},"end":{"line":25,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/ritp_1.0.5/src/index.js"}¿¿ExpressionStatement
518¿Identifier¿¿v42¿¿¿¿¿Identifier
