Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1262¿Program¿¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":148,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/rollup-plugin-serve_0.4.2/src/index.cjs.js"}¿¿Program
1263¿ExpressionStatement¿¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/rollup-plugin-serve_0.4.2/src/index.cjs.js"}¿¿ExpressionStatement
1264¿Literal¿string¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-22/rollup-plugin-serve_0.4.2/src/index.cjs.js"}¿¿Literal
1265¿VariableDeclarator¿¿_interopDefault¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":114},"fname":"/datasets/secbench-dataset/CWE-22/rollup-plugin-serve_0.4.2/src/index.cjs.js"}¿¿VariableDeclarator
1266¿FunctionExpression¿¿anon¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":114},"fname":"/datasets/secbench-dataset/CWE-22/rollup-plugin-serve_0.4.2/src/index.cjs.js"}¿¿FunctionExpression
1267¿Identifier¿¿ex¿¿¿{"start":{"line":3,"column":26},"end":{"line":3,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/rollup-plugin-serve_0.4.2/src/index.cjs.js"}¿¿Identifier
1268¿VariableDeclarator¿¿v126¿¿¿{"start":{"line":3,"column":47},"end":{"line":3,"column":56},"fname":"/datasets/secbench-dataset/CWE-22/rollup-plugin-serve_0.4.2/src/index.cjs.js"}¿¿VariableDeclarator
1269¿UnaryExpression¿typeof¿¿¿¿{"start":{"line":3,"column":47},"end":{"line":3,"column":56},"fname":"/datasets/secbench-dataset/CWE-22/rollup-plugin-serve_0.4.2/src/index.cjs.js"}¿¿UnaryExpression
1270¿Identifier¿¿ex¿¿¿{"start":{"line":3,"column":54},"end":{"line":3,"column":56},"fname":"/datasets/secbench-dataset/CWE-22/rollup-plugin-serve_0.4.2/src/index.cjs.js"}¿¿Identifier
1271¿VariableDeclarator¿¿v127¿¿¿{"start":{"line":3,"column":47},"end":{"line":3,"column":69},"fname":"/datasets/secbench-dataset/CWE-22/rollup-plugin-serve_0.4.2/src/index.cjs.js"}¿¿VariableDeclarator
