Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1284¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":157,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/rollup-plugin-server_0.7.0/src/index.cjs.js"}¿¿Program
1285¿ExpressionStatement¿¿2246¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/secbench-dataset/CWE-22/rollup-plugin-server_0.7.0/src/index.cjs.js"}¿¿ExpressionStatement
1286¿Literal¿string¿2246¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-22/rollup-plugin-server_0.7.0/src/index.cjs.js"}¿¿Literal
1287¿VariableDeclarator¿¿2246¿_interopDefault¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":114},"fname":"/datasets/secbench-dataset/CWE-22/rollup-plugin-server_0.7.0/src/index.cjs.js"}¿¿VariableDeclarator
1288¿FunctionExpression¿¿2246¿anon¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":114},"fname":"/datasets/secbench-dataset/CWE-22/rollup-plugin-server_0.7.0/src/index.cjs.js"}¿¿FunctionExpression
1289¿Identifier¿¿0¿ex¿¿¿{"start":{"line":3,"column":26},"end":{"line":3,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/rollup-plugin-server_0.7.0/src/index.cjs.js"}¿¿Identifier
1290¿VariableDeclarator¿¿2248¿v133¿¿¿{"start":{"line":3,"column":47},"end":{"line":3,"column":56},"fname":"/datasets/secbench-dataset/CWE-22/rollup-plugin-server_0.7.0/src/index.cjs.js"}¿¿VariableDeclarator
1291¿UnaryExpression¿typeof¿2248¿¿¿¿{"start":{"line":3,"column":47},"end":{"line":3,"column":56},"fname":"/datasets/secbench-dataset/CWE-22/rollup-plugin-server_0.7.0/src/index.cjs.js"}¿¿UnaryExpression
1292¿Identifier¿¿2248¿ex¿¿¿{"start":{"line":3,"column":54},"end":{"line":3,"column":56},"fname":"/datasets/secbench-dataset/CWE-22/rollup-plugin-server_0.7.0/src/index.cjs.js"}¿¿Identifier
1293¿VariableDeclarator¿¿2248¿v134¿¿¿{"start":{"line":3,"column":47},"end":{"line":3,"column":69},"fname":"/datasets/secbench-dataset/CWE-22/rollup-plugin-server_0.7.0/src/index.cjs.js"}¿¿VariableDeclarator
1294¿BinaryExpression¿===¿2248¿¿¿¿{"start":{"line":3,"column":47},"end":{"line":3,"column":69},"fname":"/datasets/secbench-dataset/CWE-22/rollup-plugin-server_0.7.0/src/index.cjs.js"}¿¿BinaryExpression
1295¿Identifier¿¿2248¿v133¿¿¿¿¿Identifier
1296¿Literal¿string¿2248¿¿'object'¿¿{"start":{"line":3,"column":61},"end":{"line":3,"column":69},"fname":"/datasets/secbench-dataset/CWE-22/rollup-plugin-server_0.7.0/src/index.cjs.js"}¿¿Literal
