Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
0¿Program¿¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":19,"column":3}}¿¿Program
1¿VariableDeclarator¿¿http¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":26}}¿¿VariableDeclarator
2¿CallExpression¿¿¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":26}}¿¿CallExpression
3¿Identifier¿¿require¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":18}}¿¿Identifier
4¿Literal¿string¿¿'http'¿¿{"start":{"line":1,"column":19},"end":{"line":1,"column":25}}¿¿Literal
5¿VariableDeclarator¿¿fs¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":22}}¿¿VariableDeclarator
6¿CallExpression¿¿¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":22}}¿¿CallExpression
7¿Identifier¿¿require¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":16}}¿¿Identifier
8¿Literal¿string¿¿'fs'¿¿{"start":{"line":2,"column":17},"end":{"line":2,"column":21}}¿¿Literal
9¿VariableDeclarator¿¿v6¿¿¿{"start":{"line":3,"column":6},"end":{"line":16,"column":1}}¿¿VariableDeclarator
10¿FunctionExpression¿¿anon¿¿¿{"start":{"line":3,"column":11},"end":{"line":16,"column":1}}¿¿FunctionExpression
11¿Identifier¿¿request¿¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":28}}¿¿Identifier
12¿Identifier¿¿response¿¿¿{"start":{"line":3,"column":30},"end":{"line":3,"column":38}}¿¿Identifier
13¿VariableDeclarator¿¿v1¿¿¿{"start":{"line":4,"column":10},"end":{"line":4,"column":26}}¿¿VariableDeclarator
14¿MemberExpression¿¿¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":26}}¿¿MemberExpression
15¿Identifier¿¿request¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":22}}¿¿Identifier
16¿Identifier¿¿url¿¿¿{"start":{"line":4,"column":23},"end":{"line":4,"column":26}}¿¿Identifier
17¿VariableDeclarator¿¿path¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":24}}¿¿VariableDeclarator
18¿BinaryExpression¿+¿¿¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":24}}¿¿BinaryExpression
19¿Literal¿string¿¿'./'¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":19}}¿¿Literal
20¿Identifier¿¿v1¿¿¿{"start":{"line":5,"column":22},"end":{"line":5,"column":24}}¿¿Identifier
21¿VariableDeclarator¿¿v4¿¿¿{"start":{"line":6,"column":10},"end":{"line":13,"column":5}}¿¿VariableDeclarator
22¿FunctionExpression¿¿anon¿¿¿{"start":{"line":6,"column":15},"end":{"line":13,"column":5}}¿¿FunctionExpression
23¿Identifier¿¿error¿¿¿{"start":{"line":6,"column":25},"end":{"line":6,"column":30}}¿¿Identifier
24¿Identifier¿¿data¿¿¿{"start":{"line":6,"column":32},"end":{"line":6,"column":36}}¿¿Identifier
25¿IfStatement¿¿¿¿¿{"start":{"line":7,"column":8},"end":{"line":10,"column":9}}¿¿IfStatement
26¿Identifier¿¿error¿¿¿{"start":{"line":7,"column":12},"end":{"line":7,"column":17}}¿¿Identifier
27¿VariableDeclarator¿¿v2¿¿¿{"start":{"line":8,"column":18},"end":{"line":8,"column":59}}¿¿VariableDeclarator
28¿CallExpression¿¿¿¿¿{"start":{"line":8,"column":23},"end":{"line":8,"column":59}}¿¿CallExpression
29¿MemberExpression¿¿¿¿¿{"start":{"line":8,"column":23},"end":{"line":8,"column":35}}¿¿MemberExpression
30¿Identifier¿¿response¿¿¿{"start":{"line":8,"column":23},"end":{"line":8,"column":31}}¿¿Identifier
31¿Identifier¿¿end¿¿¿{"start":{"line":8,"column":32},"end":{"line":8,"column":35}}¿¿Identifier
32¿Literal¿string¿¿'this url is not exit'¿¿{"start":{"line":8,"column":36},"end":{"line":8,"column":58}}¿¿Literal
33¿ExpressionStatement¿¿¿¿¿{"start":{"line":9,"column":12},"end":{"line":9,"column":15}}¿¿ExpressionStatement
34¿Identifier¿¿v2¿¿¿{"start":{"line":9,"column":12},"end":{"line":9,"column":14}}¿¿Identifier
35¿BlockStatement¿¿¿¿¿{"start":{"line":7,"column":19},"end":{"line":10,"column":9}}¿¿BlockStatement
