Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
0¿Program¿¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":21,"column":3}}¿¿Program
1¿VariableDeclarator¿¿http¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":26}}¿¿VariableDeclarator
2¿CallExpression¿¿¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":26}}¿¿CallExpression
3¿Identifier¿¿require¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":18}}¿¿Identifier
4¿Literal¿string¿¿'http'¿¿{"start":{"line":1,"column":19},"end":{"line":1,"column":25}}¿¿Literal
5¿VariableDeclarator¿¿fs¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":22}}¿¿VariableDeclarator
6¿CallExpression¿¿¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":22}}¿¿CallExpression
7¿Identifier¿¿require¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":16}}¿¿Identifier
8¿Literal¿string¿¿'fs'¿¿{"start":{"line":2,"column":17},"end":{"line":2,"column":21}}¿¿Literal
9¿VariableDeclarator¿¿v6¿¿¿{"start":{"line":3,"column":6},"end":{"line":18,"column":1}}¿¿VariableDeclarator
10¿FunctionExpression¿¿anon¿¿¿{"start":{"line":3,"column":11},"end":{"line":18,"column":1}}¿¿FunctionExpression
11¿Identifier¿¿request¿¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":28}}¿¿Identifier
12¿Identifier¿¿response¿¿¿{"start":{"line":3,"column":30},"end":{"line":3,"column":38}}¿¿Identifier
13¿VariableDeclarator¿¿v1¿¿¿{"start":{"line":4,"column":10},"end":{"line":4,"column":26}}¿¿VariableDeclarator
14¿MemberExpression¿¿¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":26}}¿¿MemberExpression
15¿Identifier¿¿request¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":22}}¿¿Identifier
16¿Identifier¿¿url¿¿¿{"start":{"line":4,"column":23},"end":{"line":4,"column":26}}¿¿Identifier
17¿VariableDeclarator¿¿path¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":24}}¿¿VariableDeclarator
18¿BinaryExpression¿+¿¿¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":24}}¿¿BinaryExpression
19¿Literal¿string¿¿'./'¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":19}}¿¿Literal
20¿Identifier¿¿v1¿¿¿{"start":{"line":5,"column":22},"end":{"line":5,"column":24}}¿¿Identifier
21¿VariableDeclarator¿¿v4¿¿¿{"start":{"line":6,"column":10},"end":{"line":15,"column":5}}¿¿VariableDeclarator
22¿FunctionExpression¿¿anon¿¿¿{"start":{"line":6,"column":15},"end":{"line":15,"column":5}}¿¿FunctionExpression
23¿Identifier¿¿error¿¿¿{"start":{"line":6,"column":25},"end":{"line":6,"column":30}}¿¿Identifier
24¿Identifier¿¿data¿¿¿{"start":{"line":6,"column":32},"end":{"line":6,"column":36}}¿¿Identifier
25¿IfStatement¿¿¿¿¿{"start":{"line":7,"column":8},"end":{"line":14,"column":9}}¿¿IfStatement
26¿Identifier¿¿error¿¿¿{"start":{"line":7,"column":12},"end":{"line":7,"column":17}}¿¿Identifier
27¿VariableDeclarator¿¿v2¿¿¿{"start":{"line":8,"column":18},"end":{"line":8,"column":44}}¿¿VariableDeclarator
28¿CallExpression¿¿¿¿¿{"start":{"line":8,"column":23},"end":{"line":8,"column":44}}¿¿CallExpression
29¿MemberExpression¿¿¿¿¿{"start":{"line":8,"column":23},"end":{"line":8,"column":37}}¿¿MemberExpression
30¿Identifier¿¿response¿¿¿{"start":{"line":8,"column":23},"end":{"line":8,"column":31}}¿¿Identifier
31¿Identifier¿¿error¿¿¿{"start":{"line":8,"column":32},"end":{"line":8,"column":37}}¿¿Identifier
32¿Literal¿string¿¿'出错了'¿¿{"start":{"line":8,"column":38},"end":{"line":8,"column":43}}¿¿Literal
33¿ExpressionStatement¿¿¿¿¿{"start":{"line":9,"column":12},"end":{"line":9,"column":15}}¿¿ExpressionStatement
34¿Identifier¿¿v2¿¿¿{"start":{"line":9,"column":12},"end":{"line":9,"column":14}}¿¿Identifier
35¿ExpressionStatement¿¿¿¿¿{"start":{"line":10,"column":12},"end":{"line":10,"column":15}}¿¿ExpressionStatement
36¿Identifier¿¿cd¿¿¿{"start":{"line":10,"column":12},"end":{"line":10,"column":14}}¿¿Identifier
37¿BlockStatement¿¿¿¿¿{"start":{"line":7,"column":19},"end":{"line":11,"column":9}}¿¿BlockStatement
38¿VariableDeclarator¿¿v3¿¿¿{"start":{"line":12,"column":18},"end":{"line":12,"column":41}}¿¿VariableDeclarator
39¿CallExpression¿¿¿¿¿{"start":{"line":12,"column":23},"end":{"line":12,"column":41}}¿¿CallExpression
40¿MemberExpression¿¿¿¿¿{"start":{"line":12,"column":23},"end":{"line":12,"column":35}}¿¿MemberExpression
41¿Identifier¿¿response¿¿¿{"start":{"line":12,"column":23},"end":{"line":12,"column":31}}¿¿Identifier
42¿Identifier¿¿end¿¿¿{"start":{"line":12,"column":32},"end":{"line":12,"column":35}}¿¿Identifier
43¿Identifier¿¿data¿¿¿{"start":{"line":12,"column":36},"end":{"line":12,"column":40}}¿¿Identifier
44¿ExpressionStatement¿¿¿¿¿{"start":{"line":13,"column":12},"end":{"line":13,"column":15}}¿¿ExpressionStatement
45¿Identifier¿¿v3¿¿¿{"start":{"line":13,"column":12},"end":{"line":13,"column":14}}¿¿Identifier
46¿BlockStatement¿¿¿¿¿{"start":{"line":11,"column":15},"end":{"line":14,"column":9}}¿¿BlockStatement
47¿BlockStatement¿¿¿¿¿{"start":{"line":6,"column":38},"end":{"line":15,"column":5}}¿¿BlockStatement
48¿VariableDeclarator¿¿v5¿¿¿{"start":{"line":16,"column":10},"end":{"line":16,"column":36}}¿¿VariableDeclarator
49¿CallExpression¿¿¿¿¿{"start":{"line":16,"column":15},"end":{"line":16,"column":36}}¿¿CallExpression
50¿MemberExpression¿¿¿¿¿{"start":{"line":16,"column":15},"end":{"line":16,"column":26}}¿¿MemberExpression
51¿Identifier¿¿fs¿¿¿{"start":{"line":16,"column":15},"end":{"line":16,"column":17}}¿¿Identifier
52¿Identifier¿¿readFile¿¿¿{"start":{"line":16,"column":18},"end":{"line":16,"column":26}}¿¿Identifier
53¿Identifier¿¿path¿¿¿{"start":{"line":16,"column":27},"end":{"line":16,"column":31}}¿¿Identifier
54¿Identifier¿¿v4¿¿¿{"start":{"line":16,"column":33},"end":{"line":16,"column":35}}¿¿Identifier
55¿ExpressionStatement¿¿¿¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":7}}¿¿ExpressionStatement
56¿Identifier¿¿v5¿¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":6}}¿¿Identifier
57¿BlockStatement¿¿¿¿¿{"start":{"line":3,"column":40},"end":{"line":18,"column":1}}¿¿BlockStatement
58¿VariableDeclarator¿¿v7¿¿¿{"start":{"line":19,"column":6},"end":{"line":19,"column":32}}¿¿VariableDeclarator
59¿CallExpression¿¿¿¿¿{"start":{"line":19,"column":11},"end":{"line":19,"column":32}}¿¿CallExpression
60¿MemberExpression¿¿¿¿¿{"start":{"line":19,"column":11},"end":{"line":19,"column":28}}¿¿MemberExpression
61¿Identifier¿¿http¿¿¿{"start":{"line":19,"column":11},"end":{"line":19,"column":15}}¿¿Identifier
62¿Identifier¿¿createServer¿¿¿{"start":{"line":19,"column":16},"end":{"line":19,"column":28}}¿¿Identifier
63¿Identifier¿¿v6¿¿¿{"start":{"line":19,"column":29},"end":{"line":19,"column":31}}¿¿Identifier
64¿VariableDeclarator¿¿v8¿¿¿{"start":{"line":20,"column":6},"end":{"line":20,"column":28}}¿¿VariableDeclarator
65¿CallExpression¿¿¿¿¿{"start":{"line":20,"column":11},"end":{"line":20,"column":28}}¿¿CallExpression
66¿MemberExpression¿¿¿¿¿{"start":{"line":20,"column":11},"end":{"line":20,"column":20}}¿¿MemberExpression
67¿Identifier¿¿v7¿¿¿{"start":{"line":20,"column":11},"end":{"line":20,"column":13}}¿¿Identifier
68¿Identifier¿¿listen¿¿¿{"start":{"line":20,"column":14},"end":{"line":20,"column":20}}¿¿Identifier
69¿Literal¿string¿¿'8888'¿¿{"start":{"line":20,"column":21},"end":{"line":20,"column":27}}¿¿Literal
70¿ExpressionStatement¿¿¿¿¿{"start":{"line":21,"column":0},"end":{"line":21,"column":3}}¿¿ExpressionStatement
71¿Identifier¿¿v8¿¿¿{"start":{"line":21,"column":0},"end":{"line":21,"column":2}}¿¿Identifier
72¿CFG_F_START¿¿__main__¿¿¿¿¿CFG_F_START
73¿CFG_F_END¿¿__main__¿¿¿¿¿CFG_F_END
74¿CFG_F_START¿¿10_anon¿¿¿¿¿CFG_F_START
75¿CFG_F_END¿¿10_anon¿¿¿¿¿CFG_F_END
76¿CFG_F_START¿¿22_anon¿¿¿¿¿CFG_F_START
77¿CFG_F_END¿¿22_anon¿¿¿¿¿CFG_F_END
78¿CFG_IF_END¿¿25¿¿¿¿¿CFG_IF_END
79¿TAINT_SOURCE¿¿¿¿¿¿¿TAINT_SOURCE
80¿PDG_OBJECT¿¿72.http-o1¿¿¿¿¿PDG_OBJECT
81¿TAINT_SINK¿¿require¿¿¿¿¿TAINT_SINK
82¿PDG_OBJECT¿¿72.fs-o2¿¿¿¿¿PDG_OBJECT
83¿TAINT_SINK¿¿require¿¿¿¿¿TAINT_SINK
84¿PDG_OBJECT¿¿74.this-o3¿¿¿¿¿PDG_OBJECT
85¿PDG_OBJECT¿¿74.request-o4¿¿¿¿¿PDG_OBJECT
86¿PDG_OBJECT¿¿74.response-o5¿¿¿¿¿PDG_OBJECT
87¿PDG_OBJECT¿¿72.v6-o6¿¿¿¿¿PDG_OBJECT
88¿PDG_OBJECT¿¿72.v7-o7¿¿¿¿¿PDG_OBJECT
89¿PDG_OBJECT¿¿72.v8-o8¿¿¿¿¿PDG_OBJECT
90¿PDG_OBJECT¿¿74.request.url-o9¿¿¿¿¿PDG_OBJECT
91¿PDG_OBJECT¿¿74.path-o10¿¿¿¿¿PDG_OBJECT
92¿PDG_OBJECT¿¿76.this-o11¿¿¿¿¿PDG_OBJECT
93¿PDG_OBJECT¿¿76.error-o12¿¿¿¿¿PDG_OBJECT
94¿PDG_OBJECT¿¿76.data-o13¿¿¿¿¿PDG_OBJECT
95¿PDG_OBJECT¿¿74.v4-o14¿¿¿¿¿PDG_OBJECT
96¿PDG_OBJECT¿¿74.v5-o15¿¿¿¿¿PDG_OBJECT
97¿TAINT_SINK¿¿readFile¿¿¿¿¿TAINT_SINK
98¿PDG_OBJECT¿¿76.v2-o16¿¿¿¿¿PDG_OBJECT
99¿PDG_OBJECT¿¿76.v3-o17¿¿¿¿¿PDG_OBJECT
