Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
0¿Program¿¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":28,"column":20}}¿¿Program
1¿VariableDeclarator¿¿url¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":24}}¿¿VariableDeclarator
2¿CallExpression¿¿¿¿¿{"start":{"line":1,"column":10},"end":{"line":1,"column":24}}¿¿CallExpression
3¿Identifier¿¿require¿¿¿{"start":{"line":1,"column":10},"end":{"line":1,"column":17}}¿¿Identifier
4¿Literal¿string¿¿'url'¿¿{"start":{"line":1,"column":18},"end":{"line":1,"column":23}}¿¿Literal
5¿VariableDeclarator¿¿fs¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":22}}¿¿VariableDeclarator
6¿CallExpression¿¿¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":22}}¿¿CallExpression
7¿Identifier¿¿require¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":16}}¿¿Identifier
8¿Literal¿string¿¿'fs'¿¿{"start":{"line":2,"column":17},"end":{"line":2,"column":21}}¿¿Literal
9¿VariableDeclarator¿¿url2parse¿¿¿{"start":{"line":3,"column":6},"end":{"line":7,"column":1}}¿¿VariableDeclarator
10¿FunctionExpression¿¿anon¿¿¿{"start":{"line":3,"column":18},"end":{"line":7,"column":1}}¿¿FunctionExpression
11¿Identifier¿¿url_str¿¿¿{"start":{"line":3,"column":28},"end":{"line":3,"column":35}}¿¿Identifier
12¿VariableDeclarator¿¿urlObj¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":35}}¿¿VariableDeclarator
13¿CallExpression¿¿¿¿¿{"start":{"line":4,"column":17},"end":{"line":4,"column":35}}¿¿CallExpression
14¿MemberExpression¿¿¿¿¿{"start":{"line":4,"column":17},"end":{"line":4,"column":26}}¿¿MemberExpression
15¿Identifier¿¿url¿¿¿{"start":{"line":4,"column":17},"end":{"line":4,"column":20}}¿¿Identifier
16¿Identifier¿¿parse¿¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":26}}¿¿Identifier
17¿Identifier¿¿url_str¿¿¿{"start":{"line":4,"column":27},"end":{"line":4,"column":34}}¿¿Identifier
18¿VariableDeclarator¿¿path¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":26}}¿¿VariableDeclarator
19¿MemberExpression¿¿¿¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":26}}¿¿MemberExpression
20¿Identifier¿¿urlObj¿¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":21}}¿¿Identifier
21¿Identifier¿¿path¿¿¿{"start":{"line":5,"column":22},"end":{"line":5,"column":26}}¿¿Identifier
22¿ReturnStatement¿¿¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":16}}¿¿ReturnStatement
23¿Identifier¿¿path¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":15}}¿¿Identifier
24¿BlockStatement¿¿¿¿¿{"start":{"line":3,"column":37},"end":{"line":7,"column":1}}¿¿BlockStatement
25¿VariableDeclarator¿¿v7¿¿¿{"start":{"line":8,"column":6},"end":{"line":27,"column":1}}¿¿VariableDeclarator
26¿FunctionExpression¿¿anon¿¿¿{"start":{"line":8,"column":11},"end":{"line":27,"column":1}}¿¿FunctionExpression
27¿Identifier¿¿parent_path¿¿¿{"start":{"line":8,"column":21},"end":{"line":8,"column":32}}¿¿Identifier
28¿VariableDeclarator¿¿v6¿¿¿{"start":{"line":9,"column":10},"end":{"line":25,"column":5}}¿¿VariableDeclarator
29¿FunctionExpression¿¿anon¿¿¿{"start":{"line":9,"column":15},"end":{"line":25,"column":5}}¿¿FunctionExpression
30¿Identifier¿¿req¿¿¿{"start":{"line":9,"column":25},"end":{"line":9,"column":28}}¿¿Identifier
31¿Identifier¿¿res¿¿¿{"start":{"line":9,"column":30},"end":{"line":9,"column":33}}¿¿Identifier
32¿Identifier¿¿next¿¿¿{"start":{"line":9,"column":35},"end":{"line":9,"column":39}}¿¿Identifier
33¿VariableDeclarator¿¿v1¿¿¿{"start":{"line":10,"column":14},"end":{"line":10,"column":26}}¿¿VariableDeclarator
34¿MemberExpression¿¿¿¿¿{"start":{"line":10,"column":19},"end":{"line":10,"column":26}}¿¿MemberExpression
35¿Identifier¿¿req¿¿¿{"start":{"line":10,"column":19},"end":{"line":10,"column":22}}¿¿Identifier
36¿Identifier¿¿url¿¿¿{"start":{"line":10,"column":23},"end":{"line":10,"column":26}}¿¿Identifier
37¿VariableDeclarator¿¿path¿¿¿{"start":{"line":11,"column":12},"end":{"line":11,"column":32}}¿¿VariableDeclarator
38¿CallExpression¿¿¿¿¿{"start":{"line":11,"column":19},"end":{"line":11,"column":32}}¿¿CallExpression
