Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
377¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":75,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/algoliasearch-helper_3.6.0/src/merge.js"}¿¿Program
378¿ExpressionStatement¿¿655¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/algoliasearch-helper_3.6.0/src/merge.js"}¿¿ExpressionStatement
379¿Literal¿string¿655¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/algoliasearch-helper_3.6.0/src/merge.js"}¿¿Literal
380¿VariableDeclarator¿¿655¿clone¿¿¿{"start":{"line":3,"column":0},"end":{"line":8,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/algoliasearch-helper_3.6.0/src/merge.js"}¿¿VariableDeclarator
381¿FunctionExpression¿¿655¿anon¿¿¿{"start":{"line":3,"column":0},"end":{"line":8,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/algoliasearch-helper_3.6.0/src/merge.js"}¿¿FunctionExpression
382¿Identifier¿¿0¿value¿¿¿{"start":{"line":3,"column":15},"end":{"line":3,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/algoliasearch-helper_3.6.0/src/merge.js"}¿¿Identifier
383¿VariableDeclarator¿¿657¿v40¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/algoliasearch-helper_3.6.0/src/merge.js"}¿¿VariableDeclarator
384¿UnaryExpression¿typeof¿657¿¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/algoliasearch-helper_3.6.0/src/merge.js"}¿¿UnaryExpression
385¿Identifier¿¿657¿value¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/algoliasearch-helper_3.6.0/src/merge.js"}¿¿Identifier
386¿VariableDeclarator¿¿657¿v41¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/algoliasearch-helper_3.6.0/src/merge.js"}¿¿VariableDeclarator
387¿BinaryExpression¿===¿657¿¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/algoliasearch-helper_3.6.0/src/merge.js"}¿¿BinaryExpression
388¿Identifier¿¿657¿v40¿¿¿¿¿Identifier
389¿Literal¿string¿657¿¿'object'¿¿{"start":{"line":4,"column":23},"end":{"line":4,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/algoliasearch-helper_3.6.0/src/merge.js"}¿¿Literal
390¿VariableDeclarator¿¿657¿v42¿¿¿{"start":{"line":4,"column":35},"end":{"line":4,"column":49},"fname":"/datasets/secbench-dataset/CWE-471/algoliasearch-helper_3.6.0/src/merge.js"}¿¿VariableDeclarator
