Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1276¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":226,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/copy-props_2.0.4/src/index.js"}¿¿Program
1277¿ExpressionStatement¿¿2223¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/copy-props_2.0.4/src/index.js"}¿¿ExpressionStatement
1278¿Literal¿string¿2223¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/copy-props_2.0.4/src/index.js"}¿¿Literal
1279¿VariableDeclarator¿¿2223¿eachProps¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/copy-props_2.0.4/src/index.js"}¿¿VariableDeclarator
1280¿CallExpression¿¿2223¿¿¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/copy-props_2.0.4/src/index.js"}¿¿CallExpression
1281¿Identifier¿¿2223¿require¿¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/copy-props_2.0.4/src/index.js"}¿¿Identifier
1282¿Literal¿string¿2223¿¿'each-props'¿¿{"start":{"line":3,"column":24},"end":{"line":3,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/copy-props_2.0.4/src/index.js"}¿¿Literal
1283¿VariableDeclarator¿¿2223¿isPlainObject¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/copy-props_2.0.4/src/index.js"}¿¿VariableDeclarator
1284¿CallExpression¿¿2223¿¿¿¿{"start":{"line":4,"column":20},"end":{"line":4,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/copy-props_2.0.4/src/index.js"}¿¿CallExpression
1285¿Identifier¿¿2223¿require¿¿¿{"start":{"line":4,"column":20},"end":{"line":4,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/copy-props_2.0.4/src/index.js"}¿¿Identifier
1286¿Literal¿string¿2223¿¿'is-plain-object'¿¿{"start":{"line":4,"column":28},"end":{"line":4,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/copy-props_2.0.4/src/index.js"}¿¿Literal
1287¿VariableDeclarator¿exported¿2223¿v108¿¿¿{"start":{"line":6,"column":0},"end":{"line":69,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/copy-props_2.0.4/src/index.js"}¿¿VariableDeclarator
1288¿FunctionExpression¿¿2223¿anon¿¿¿{"start":{"line":6,"column":17},"end":{"line":69,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/copy-props_2.0.4/src/index.js"}¿¿FunctionExpression
1289¿Identifier¿¿0¿src¿¿¿{"start":{"line":6,"column":26},"end":{"line":6,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/copy-props_2.0.4/src/index.js"}¿¿Identifier
1290¿Identifier¿¿0¿dst¿¿¿{"start":{"line":6,"column":31},"end":{"line":6,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/copy-props_2.0.4/src/index.js"}¿¿Identifier
1291¿Identifier¿¿0¿fromto¿¿¿{"start":{"line":6,"column":36},"end":{"line":6,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/copy-props_2.0.4/src/index.js"}¿¿Identifier
1292¿Identifier¿¿0¿converter¿¿¿{"start":{"line":6,"column":44},"end":{"line":6,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/copy-props_2.0.4/src/index.js"}¿¿Identifier
1293¿Identifier¿¿0¿reverse¿¿¿{"start":{"line":6,"column":55},"end":{"line":6,"column":62},"fname":"/datasets/secbench-dataset/CWE-471/copy-props_2.0.4/src/index.js"}¿¿Identifier
1294¿VariableDeclarator¿¿2225¿v89¿¿¿{"start":{"line":8,"column":7},"end":{"line":8,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/copy-props_2.0.4/src/index.js"}¿¿VariableDeclarator
1295¿CallExpression¿¿2225¿¿¿¿{"start":{"line":8,"column":7},"end":{"line":8,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/copy-props_2.0.4/src/index.js"}¿¿CallExpression
1296¿Identifier¿¿2225¿isObject¿¿¿{"start":{"line":8,"column":7},"end":{"line":8,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/copy-props_2.0.4/src/index.js"}¿¿Identifier
1297¿Identifier¿¿2225¿src¿¿¿{"start":{"line":8,"column":16},"end":{"line":8,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/copy-props_2.0.4/src/index.js"}¿¿Identifier
1298¿VariableDeclarator¿¿2225¿v90¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/copy-props_2.0.4/src/index.js"}¿¿VariableDeclarator
1299¿UnaryExpression¿!¿2225¿¿¿¿{"start":{"line":8,"column":6},"end":{"line":8,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/copy-props_2.0.4/src/index.js"}¿¿UnaryExpression
1300¿Identifier¿¿2225¿v89¿¿¿¿¿Identifier
1301¿IfStatement¿¿2225¿¿¿¿{"start":{"line":8,"column":2},"end":{"line":10,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/copy-props_2.0.4/src/index.js"}¿¿IfStatement
1302¿Identifier¿¿2225¿v90¿¿¿¿¿Identifier
1303¿ExpressionStatement¿¿2225¿¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/copy-props_2.0.4/src/index.js"}¿¿ExpressionStatement
1304¿AssignmentExpression¿=¿2225¿¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/copy-props_2.0.4/src/index.js"}¿¿AssignmentExpression
1305¿Identifier¿¿2225¿src¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/copy-props_2.0.4/src/index.js"}¿¿Identifier
1306¿ObjectExpression¿¿2225¿¿¿¿¿¿ObjectExpression
1307¿BlockStatement¿¿2225¿¿¿¿{"start":{"line":8,"column":22},"end":{"line":10,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/copy-props_2.0.4/src/index.js"}¿¿BlockStatement
1308¿VariableDeclarator¿¿2225¿v91¿¿¿{"start":{"line":12,"column":7},"end":{"line":12,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/copy-props_2.0.4/src/index.js"}¿¿VariableDeclarator
1309¿CallExpression¿¿2225¿¿¿¿{"start":{"line":12,"column":7},"end":{"line":12,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/copy-props_2.0.4/src/index.js"}¿¿CallExpression
1310¿Identifier¿¿2225¿isObject¿¿¿{"start":{"line":12,"column":7},"end":{"line":12,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/copy-props_2.0.4/src/index.js"}¿¿Identifier
1311¿Identifier¿¿2225¿dst¿¿¿{"start":{"line":12,"column":16},"end":{"line":12,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/copy-props_2.0.4/src/index.js"}¿¿Identifier
1312¿VariableDeclarator¿¿2225¿v92¿¿¿{"start":{"line":12,"column":6},"end":{"line":12,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/copy-props_2.0.4/src/index.js"}¿¿VariableDeclarator
1313¿UnaryExpression¿!¿2225¿¿¿¿{"start":{"line":12,"column":6},"end":{"line":12,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/copy-props_2.0.4/src/index.js"}¿¿UnaryExpression
1314¿Identifier¿¿2225¿v91¿¿¿¿¿Identifier
1315¿IfStatement¿¿2225¿¿¿¿{"start":{"line":12,"column":2},"end":{"line":14,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/copy-props_2.0.4/src/index.js"}¿¿IfStatement
1316¿Identifier¿¿2225¿v92¿¿¿¿¿Identifier
1317¿ExpressionStatement¿¿2225¿¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/copy-props_2.0.4/src/index.js"}¿¿ExpressionStatement
