Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
362¿Program¿¿-1¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":56,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/decal_2.1.3/src/extend.js"}¿¿Program
363¿ExpressionStatement¿¿635¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/decal_2.1.3/src/extend.js"}¿¿ExpressionStatement
364¿Literal¿string¿635¿¿'use strict'¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/decal_2.1.3/src/extend.js"}¿¿Literal
365¿VariableDeclarator¿¿635¿isObject¿¿¿{"start":{"line":12,"column":6},"end":{"line":12,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/decal_2.1.3/src/extend.js"}¿¿VariableDeclarator
366¿CallExpression¿¿635¿¿¿¿{"start":{"line":12,"column":17},"end":{"line":12,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/decal_2.1.3/src/extend.js"}¿¿CallExpression
367¿Identifier¿¿635¿require¿¿¿{"start":{"line":12,"column":17},"end":{"line":12,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/decal_2.1.3/src/extend.js"}¿¿Identifier
368¿Literal¿string¿635¿¿'./isObject'¿¿{"start":{"line":12,"column":25},"end":{"line":12,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/decal_2.1.3/src/extend.js"}¿¿Literal
369¿VariableDeclarator¿¿635¿isFunction¿¿¿{"start":{"line":13,"column":6},"end":{"line":13,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/decal_2.1.3/src/extend.js"}¿¿VariableDeclarator
370¿CallExpression¿¿635¿¿¿¿{"start":{"line":13,"column":19},"end":{"line":13,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/decal_2.1.3/src/extend.js"}¿¿CallExpression
371¿Identifier¿¿635¿require¿¿¿{"start":{"line":13,"column":19},"end":{"line":13,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/decal_2.1.3/src/extend.js"}¿¿Identifier
372¿Literal¿string¿635¿¿'./isFunction'¿¿{"start":{"line":13,"column":27},"end":{"line":13,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/decal_2.1.3/src/extend.js"}¿¿Literal
373¿VariableDeclarator¿¿635¿isPlainObject¿¿¿{"start":{"line":15,"column":0},"end":{"line":17,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/decal_2.1.3/src/extend.js"}¿¿VariableDeclarator
374¿FunctionExpression¿¿635¿anon¿¿¿{"start":{"line":15,"column":0},"end":{"line":17,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/decal_2.1.3/src/extend.js"}¿¿FunctionExpression
375¿Identifier¿¿0¿o¿¿¿{"start":{"line":15,"column":24},"end":{"line":15,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/decal_2.1.3/src/extend.js"}¿¿Identifier
