Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
665¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":72,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Program
666¿VariableDeclarator¿¿1166¿isSpecificValue¿¿¿{"start":{"line":1,"column":0},"end":{"line":3,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿VariableDeclarator
667¿FunctionExpression¿¿1166¿anon¿¿¿{"start":{"line":1,"column":0},"end":{"line":3,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿FunctionExpression
668¿Identifier¿¿0¿val¿¿¿{"start":{"line":1,"column":25},"end":{"line":1,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Identifier
669¿VariableDeclarator¿¿1168¿v70¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿VariableDeclarator
670¿BinaryExpression¿instanceof¿1168¿¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿BinaryExpression
671¿Identifier¿¿1168¿val¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Identifier
672¿Identifier¿¿1168¿Buffer¿¿¿{"start":{"line":2,"column":24},"end":{"line":2,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Identifier
673¿VariableDeclarator¿¿1168¿v71¿¿¿{"start":{"line":2,"column":34},"end":{"line":2,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿VariableDeclarator
674¿BinaryExpression¿instanceof¿1168¿¿¿¿{"start":{"line":2,"column":34},"end":{"line":2,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿BinaryExpression
675¿Identifier¿¿1168¿val¿¿¿{"start":{"line":2,"column":34},"end":{"line":2,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Identifier
676¿Identifier¿¿1168¿Date¿¿¿{"start":{"line":2,"column":49},"end":{"line":2,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Identifier
677¿VariableDeclarator¿¿1168¿v72¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿VariableDeclarator
678¿LogicalExpression¿||¿1168¿¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿LogicalExpression
679¿Identifier¿¿1168¿v70¿¿¿¿¿Identifier
680¿Identifier¿¿1168¿v71¿¿¿¿¿Identifier
681¿VariableDeclarator¿¿1168¿v73¿¿¿{"start":{"line":2,"column":57},"end":{"line":2,"column":78},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿VariableDeclarator
682¿BinaryExpression¿instanceof¿1168¿¿¿¿{"start":{"line":2,"column":57},"end":{"line":2,"column":78},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿BinaryExpression
683¿Identifier¿¿1168¿val¿¿¿{"start":{"line":2,"column":57},"end":{"line":2,"column":60},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Identifier
684¿Identifier¿¿1168¿RegExp¿¿¿{"start":{"line":2,"column":72},"end":{"line":2,"column":78},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Identifier
685¿VariableDeclarator¿¿1168¿v74¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":78},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿VariableDeclarator
686¿LogicalExpression¿||¿1168¿¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":78},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿LogicalExpression
687¿Identifier¿¿1168¿v72¿¿¿¿¿Identifier
688¿Identifier¿¿1168¿v73¿¿¿¿¿Identifier
689¿ReturnStatement¿¿1168¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":79},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿ReturnStatement
690¿Identifier¿¿1168¿v74¿¿¿¿¿Identifier
691¿BlockStatement¿¿1168¿¿¿¿{"start":{"line":1,"column":30},"end":{"line":3,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿BlockStatement
692¿VariableDeclarator¿¿1166¿cloneSpecificValue¿¿¿{"start":{"line":5,"column":0},"end":{"line":17,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿VariableDeclarator
693¿FunctionExpression¿¿1166¿anon¿¿¿{"start":{"line":5,"column":0},"end":{"line":17,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿FunctionExpression
694¿Identifier¿¿0¿val¿¿¿{"start":{"line":5,"column":28},"end":{"line":5,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Identifier
695¿VariableDeclarator¿¿1170¿v75¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿VariableDeclarator
696¿BinaryExpression¿instanceof¿1170¿¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿BinaryExpression
697¿Identifier¿¿1170¿val¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Identifier
698¿Identifier¿¿1170¿Buffer¿¿¿{"start":{"line":6,"column":21},"end":{"line":6,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Identifier
699¿IfStatement¿¿1170¿¿¿¿{"start":{"line":6,"column":2},"end":{"line":16,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿IfStatement
700¿Identifier¿¿1170¿v75¿¿¿¿¿Identifier
701¿VariableDeclarator¿¿1170¿v76¿¿¿{"start":{"line":7,"column":31},"end":{"line":7,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿VariableDeclarator
702¿MemberExpression¿¿1170¿¿¿¿{"start":{"line":7,"column":31},"end":{"line":7,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿MemberExpression
703¿Identifier¿¿1170¿val¿¿¿{"start":{"line":7,"column":31},"end":{"line":7,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/deep-override_1.0.0/src/index.js"}¿¿Identifier
