Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
2144¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":399,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/deeps_1.4.5/src/index.js"}¿¿Program
2145¿ExpressionStatement¿¿3784¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/deeps_1.4.5/src/index.js"}¿¿ExpressionStatement
2146¿Literal¿string¿3784¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/deeps_1.4.5/src/index.js"}¿¿Literal
2147¿VariableDeclarator¿¿3784¿hasOwnProperty¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/deeps_1.4.5/src/index.js"}¿¿VariableDeclarator
2148¿MemberExpression¿¿3784¿¿¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/deeps_1.4.5/src/index.js"}¿¿MemberExpression
2149¿Identifier¿¿3784¿Object¿¿¿{"start":{"line":3,"column":21},"end":{"line":3,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/deeps_1.4.5/src/index.js"}¿¿Identifier
2150¿Identifier¿¿3784¿hasOwnProperty¿¿¿{"start":{"line":3,"column":28},"end":{"line":3,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/deeps_1.4.5/src/index.js"}¿¿Identifier
2151¿VariableDeclarator¿exported¿3784¿isObject¿¿¿{"start":{"line":10,"column":0},"end":{"line":12,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/deeps_1.4.5/src/index.js"}¿¿VariableDeclarator
2152¿FunctionExpression¿¿3784¿anon¿¿¿{"start":{"line":10,"column":0},"end":{"line":12,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/deeps_1.4.5/src/index.js"}¿¿FunctionExpression
2153¿Identifier¿¿0¿item¿¿¿{"start":{"line":10,"column":18},"end":{"line":10,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/deeps_1.4.5/src/index.js"}¿¿Identifier
2154¿VariableDeclarator¿¿3786¿v192¿¿¿{"start":{"line":11,"column":18},"end":{"line":11,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/deeps_1.4.5/src/index.js"}¿¿VariableDeclarator
2155¿UnaryExpression¿typeof¿3786¿¿¿¿{"start":{"line":11,"column":18},"end":{"line":11,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/deeps_1.4.5/src/index.js"}¿¿UnaryExpression
2156¿Identifier¿¿3786¿item¿¿¿{"start":{"line":11,"column":25},"end":{"line":11,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/deeps_1.4.5/src/index.js"}¿¿Identifier
2157¿VariableDeclarator¿¿3786¿v193¿¿¿{"start":{"line":11,"column":18},"end":{"line":11,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/deeps_1.4.5/src/index.js"}¿¿VariableDeclarator
2158¿BinaryExpression¿===¿3786¿¿¿¿{"start":{"line":11,"column":18},"end":{"line":11,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/deeps_1.4.5/src/index.js"}¿¿BinaryExpression
2159¿Identifier¿¿3786¿v192¿¿¿¿¿Identifier
2160¿Literal¿string¿3786¿¿'object'¿¿{"start":{"line":11,"column":34},"end":{"line":11,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/deeps_1.4.5/src/index.js"}¿¿Literal
