Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
509¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":74,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/doc-path_2.0.0/src/path.js"}¿¿Program
510¿ExpressionStatement¿¿878¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/doc-path_2.0.0/src/path.js"}¿¿ExpressionStatement
511¿Literal¿string¿878¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/doc-path_2.0.0/src/path.js"}¿¿Literal
512¿VariableDeclarator¿¿878¿v47¿¿¿{"start":{"line":3,"column":17},"end":{"line":6,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/doc-path_2.0.0/src/path.js"}¿¿VariableDeclarator
513¿ObjectExpression¿¿878¿¿¿¿¿¿ObjectExpression
514¿ExpressionStatement¿¿878¿¿¿¿{"start":{"line":3,"column":17},"end":{"line":6,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/doc-path_2.0.0/src/path.js"}¿¿ExpressionStatement
515¿AssignmentExpression¿=¿878¿¿¿¿{"start":{"line":3,"column":17},"end":{"line":6,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/doc-path_2.0.0/src/path.js"}¿¿AssignmentExpression
516¿MemberExpression¿¿878¿¿¿¿{"start":{"line":3,"column":17},"end":{"line":6,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/doc-path_2.0.0/src/path.js"}¿¿MemberExpression
517¿Identifier¿¿878¿v47¿¿¿¿¿Identifier
518¿Identifier¿¿878¿evaluatePath¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/doc-path_2.0.0/src/path.js"}¿¿Identifier
519¿Identifier¿¿878¿evaluatePath¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/doc-path_2.0.0/src/path.js"}¿¿Identifier
520¿ExpressionStatement¿¿878¿¿¿¿{"start":{"line":3,"column":17},"end":{"line":6,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/doc-path_2.0.0/src/path.js"}¿¿ExpressionStatement
521¿AssignmentExpression¿=¿878¿¿¿¿{"start":{"line":3,"column":17},"end":{"line":6,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/doc-path_2.0.0/src/path.js"}¿¿AssignmentExpression
522¿MemberExpression¿¿878¿¿¿¿{"start":{"line":3,"column":17},"end":{"line":6,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/doc-path_2.0.0/src/path.js"}¿¿MemberExpression
523¿Identifier¿¿878¿v47¿¿¿¿¿Identifier
524¿Identifier¿¿878¿setPath¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/doc-path_2.0.0/src/path.js"}¿¿Identifier
525¿Identifier¿¿878¿setPath¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/doc-path_2.0.0/src/path.js"}¿¿Identifier
526¿ExpressionStatement¿¿878¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":6,"column":2},"fname":"/datasets/secbench-dataset/CWE-471/doc-path_2.0.0/src/path.js"}¿¿ExpressionStatement
