Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
210¿Program¿¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":68,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/dot-notes_3.2.0/src/create.js"}¿¿Program
211¿VariableDeclarator¿¿parse¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/dot-notes_3.2.0/src/create.js"}¿¿VariableDeclarator
212¿CallExpression¿¿¿¿¿{"start":{"line":1,"column":12},"end":{"line":1,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/dot-notes_3.2.0/src/create.js"}¿¿CallExpression
213¿Identifier¿¿require¿¿¿{"start":{"line":1,"column":12},"end":{"line":1,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/dot-notes_3.2.0/src/create.js"}¿¿Identifier
214¿Literal¿string¿¿'./keys'¿¿{"start":{"line":1,"column":20},"end":{"line":1,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/dot-notes_3.2.0/src/create.js"}¿¿Literal
215¿VariableDeclarator¿exported¿create¿¿¿¿¿VariableDeclarator
216¿FunctionExpression¿¿anon¿¿¿{"start":{"line":19,"column":0},"end":{"line":46,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/dot-notes_3.2.0/src/create.js"}¿¿FunctionExpression
217¿Identifier¿¿obj¿¿¿{"start":{"line":19,"column":16},"end":{"line":19,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/dot-notes_3.2.0/src/create.js"}¿¿Identifier
218¿Identifier¿¿str¿¿¿{"start":{"line":19,"column":21},"end":{"line":19,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/dot-notes_3.2.0/src/create.js"}¿¿Identifier
219¿Identifier¿¿val¿¿¿{"start":{"line":19,"column":26},"end":{"line":19,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/dot-notes_3.2.0/src/create.js"}¿¿Identifier
220¿VariableDeclarator¿¿keys¿¿¿{"start":{"line":20,"column":6},"end":{"line":20,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/dot-notes_3.2.0/src/create.js"}¿¿VariableDeclarator
221¿CallExpression¿¿¿¿¿{"start":{"line":20,"column":13},"end":{"line":20,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/dot-notes_3.2.0/src/create.js"}¿¿CallExpression
222¿Identifier¿¿parse¿¿¿{"start":{"line":20,"column":13},"end":{"line":20,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/dot-notes_3.2.0/src/create.js"}¿¿Identifier
223¿Identifier¿¿str¿¿¿{"start":{"line":20,"column":19},"end":{"line":20,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/dot-notes_3.2.0/src/create.js"}¿¿Identifier
224¿VariableDeclarator¿¿container¿¿¿{"start":{"line":22,"column":6},"end":{"line":22,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/dot-notes_3.2.0/src/create.js"}¿¿VariableDeclarator
225¿VariableDeclarator¿¿v19¿¿¿¿¿VariableDeclarator
226¿UnaryExpression¿typeof¿¿¿¿{"start":{"line":24,"column":13},"end":{"line":24,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/dot-notes_3.2.0/src/create.js"}¿¿UnaryExpression
227¿Identifier¿¿obj¿¿¿{"start":{"line":24,"column":20},"end":{"line":24,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/dot-notes_3.2.0/src/create.js"}¿¿Identifier
228¿VariableDeclarator¿¿v20¿¿¿¿¿VariableDeclarator
229¿BinaryExpression¿===¿¿¿¿{"start":{"line":24,"column":13},"end":{"line":24,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/dot-notes_3.2.0/src/create.js"}¿¿BinaryExpression
230¿Identifier¿¿v19¿¿¿¿¿Identifier
231¿Literal¿string¿¿'object'¿¿{"start":{"line":24,"column":28},"end":{"line":24,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/dot-notes_3.2.0/src/create.js"}¿¿Literal
232¿VariableDeclarator¿¿v21¿¿¿¿¿VariableDeclarator
233¿LogicalExpression¿&&¿¿¿¿{"start":{"line":24,"column":6},"end":{"line":24,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/dot-notes_3.2.0/src/create.js"}¿¿LogicalExpression
234¿Identifier¿¿obj¿¿¿{"start":{"line":24,"column":6},"end":{"line":24,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/dot-notes_3.2.0/src/create.js"}¿¿Identifier
235¿Identifier¿¿v20¿¿¿¿¿Identifier
236¿IfStatement¿¿¿¿¿{"start":{"line":24,"column":2},"end":{"line":28,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/dot-notes_3.2.0/src/create.js"}¿¿IfStatement
237¿Identifier¿¿v21¿¿¿¿¿Identifier
238¿ExpressionStatement¿¿¿¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/dot-notes_3.2.0/src/create.js"}¿¿ExpressionStatement
239¿AssignmentExpression¿=¿¿¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/dot-notes_3.2.0/src/create.js"}¿¿AssignmentExpression
240¿Identifier¿¿container¿¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/dot-notes_3.2.0/src/create.js"}¿¿Identifier
