Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1081¿Program¿¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":149,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/flat_5.0.0/src/index.js"}¿¿Program
1082¿VariableDeclarator¿¿isBuffer¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/flat_5.0.0/src/index.js"}¿¿VariableDeclarator
1083¿CallExpression¿¿¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/flat_5.0.0/src/index.js"}¿¿CallExpression
1084¿Identifier¿¿require¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/flat_5.0.0/src/index.js"}¿¿Identifier
1085¿Literal¿string¿¿'is-buffer'¿¿{"start":{"line":1,"column":23},"end":{"line":1,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/flat_5.0.0/src/index.js"}¿¿Literal
1086¿ExpressionStatement¿¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/flat_5.0.0/src/index.js"}¿¿ExpressionStatement
1087¿AssignmentExpression¿=¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/flat_5.0.0/src/index.js"}¿¿AssignmentExpression
1088¿MemberExpression¿¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/flat_5.0.0/src/index.js"}¿¿MemberExpression
1089¿Identifier¿¿module¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":6},"fname":"/datasets/secbench-dataset/CWE-471/flat_5.0.0/src/index.js"}¿¿Identifier
1090¿Identifier¿¿exports¿¿¿{"start":{"line":3,"column":7},"end":{"line":3,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/flat_5.0.0/src/index.js"}¿¿Identifier
