Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
2614¿Program¿¿-1¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":583,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Program
2615¿VariableDeclarator¿¿4591¿skipLineRex¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿VariableDeclarator
2616¿Literal¿object¿4591¿¿/^\s*(\n|\#|;)/¿¿{"start":{"line":10,"column":18},"end":{"line":10,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Literal
2617¿VariableDeclarator¿¿4591¿chompRex¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿VariableDeclarator
2618¿Literal¿object¿4591¿¿/(?:\n|\r)$/¿¿{"start":{"line":18,"column":15},"end":{"line":18,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Literal
2619¿VariableDeclarator¿¿4591¿nonWhitespaceRex¿¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿VariableDeclarator
2620¿Literal¿object¿4591¿¿/\S/¿¿{"start":{"line":25,"column":23},"end":{"line":25,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Literal
2621¿VariableDeclarator¿¿4591¿keyValueRex¿¿¿{"start":{"line":32,"column":4},"end":{"line":32,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿VariableDeclarator
2622¿Literal¿object¿4591¿¿/^\s*([^=]*\w)\s*=\s*(.*)\s*$/¿¿{"start":{"line":32,"column":18},"end":{"line":32,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Literal
2623¿VariableDeclarator¿¿4591¿groupRex¿¿¿{"start":{"line":39,"column":4},"end":{"line":39,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿VariableDeclarator
2624¿Literal¿object¿4591¿¿/^\s*\[\s*([^\]]+)\s*\]$/¿¿{"start":{"line":39,"column":15},"end":{"line":39,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/inireader_1.0.0/src/inireadercore.js"}¿¿Literal
