Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
181¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":28,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/js-extend_0.0.1/src/extend.js"}¿¿Program
182¿VariableDeclarator¿¿316¿v35¿¿¿{"start":{"line":1,"column":1},"end":{"line":28,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/js-extend_0.0.1/src/extend.js"}¿¿VariableDeclarator
183¿FunctionExpression¿¿316¿anon¿¿¿{"start":{"line":1,"column":1},"end":{"line":28,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/js-extend_0.0.1/src/extend.js"}¿¿FunctionExpression
184¿VariableDeclarator¿¿318¿v19¿¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/js-extend_0.0.1/src/extend.js"}¿¿VariableDeclarator
185¿MemberExpression¿¿318¿¿¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/js-extend_0.0.1/src/extend.js"}¿¿MemberExpression
186¿Identifier¿¿318¿Array¿¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/js-extend_0.0.1/src/extend.js"}¿¿Identifier
187¿Identifier¿¿318¿prototype¿¿¿{"start":{"line":3,"column":22},"end":{"line":3,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/js-extend_0.0.1/src/extend.js"}¿¿Identifier
188¿VariableDeclarator¿¿318¿slice¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/js-extend_0.0.1/src/extend.js"}¿¿VariableDeclarator
189¿MemberExpression¿¿318¿¿¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/js-extend_0.0.1/src/extend.js"}¿¿MemberExpression
190¿Identifier¿¿318¿v19¿¿¿¿¿Identifier
191¿Identifier¿¿318¿slice¿¿¿{"start":{"line":3,"column":32},"end":{"line":3,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/js-extend_0.0.1/src/extend.js"}¿¿Identifier
192¿VariableDeclarator¿¿318¿v20¿¿¿{"start":{"line":4,"column":16},"end":{"line":4,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/js-extend_0.0.1/src/extend.js"}¿¿VariableDeclarator
193¿MemberExpression¿¿318¿¿¿¿{"start":{"line":4,"column":16},"end":{"line":4,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/js-extend_0.0.1/src/extend.js"}¿¿MemberExpression
194¿Identifier¿¿318¿Array¿¿¿{"start":{"line":4,"column":16},"end":{"line":4,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/js-extend_0.0.1/src/extend.js"}¿¿Identifier
195¿Identifier¿¿318¿prototype¿¿¿{"start":{"line":4,"column":22},"end":{"line":4,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/js-extend_0.0.1/src/extend.js"}¿¿Identifier
196¿VariableDeclarator¿¿318¿each¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/js-extend_0.0.1/src/extend.js"}¿¿VariableDeclarator
197¿MemberExpression¿¿318¿¿¿¿{"start":{"line":4,"column":16},"end":{"line":4,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/js-extend_0.0.1/src/extend.js"}¿¿MemberExpression
198¿Identifier¿¿318¿v20¿¿¿¿¿Identifier
199¿Identifier¿¿318¿forEach¿¿¿{"start":{"line":4,"column":32},"end":{"line":4,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/js-extend_0.0.1/src/extend.js"}¿¿Identifier
200¿VariableDeclarator¿¿318¿extend¿¿¿{"start":{"line":6,"column":6},"end":{"line":24,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/js-extend_0.0.1/src/extend.js"}¿¿VariableDeclarator
201¿FunctionExpression¿¿318¿anon¿¿¿{"start":{"line":6,"column":15},"end":{"line":24,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/js-extend_0.0.1/src/extend.js"}¿¿FunctionExpression
202¿Identifier¿¿0¿obj¿¿¿{"start":{"line":6,"column":24},"end":{"line":6,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/js-extend_0.0.1/src/extend.js"}¿¿Identifier
203¿VariableDeclarator¿¿320¿v21¿¿¿{"start":{"line":7,"column":7},"end":{"line":7,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/js-extend_0.0.1/src/extend.js"}¿¿VariableDeclarator
