Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
684¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":93,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Program
685¿VariableDeclarator¿¿1189¿hasExcape¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿VariableDeclarator
686¿Literal¿object¿1189¿¿/~/¿¿{"start":{"line":1,"column":16},"end":{"line":1,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Literal
687¿VariableDeclarator¿¿1189¿escapeMatcher¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿VariableDeclarator
688¿Literal¿object¿1189¿¿/~[01]/g¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Literal
689¿VariableDeclarator¿¿1189¿escapeReplacer¿¿¿{"start":{"line":3,"column":0},"end":{"line":9,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿VariableDeclarator
690¿FunctionExpression¿¿1189¿anon¿¿¿{"start":{"line":3,"column":0},"end":{"line":9,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿FunctionExpression
691¿Identifier¿¿0¿m¿¿¿{"start":{"line":3,"column":25},"end":{"line":3,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Identifier
692¿SwitchStatement¿¿1191¿¿¿¿{"start":{"line":4,"column":2},"end":{"line":7,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿SwitchStatement
693¿Identifier¿¿1191¿m¿¿¿{"start":{"line":4,"column":10},"end":{"line":4,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Identifier
694¿SwitchCase¿¿1191¿¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿SwitchCase
695¿Literal¿string¿1191¿¿'~1'¿¿{"start":{"line":5,"column":9},"end":{"line":5,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Literal
696¿ReturnStatement¿¿1191¿¿¿¿{"start":{"line":5,"column":15},"end":{"line":5,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿ReturnStatement
697¿Literal¿string¿1191¿¿'/'¿¿{"start":{"line":5,"column":22},"end":{"line":5,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Literal
698¿SwitchCase¿¿1191¿¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿SwitchCase
699¿Literal¿string¿1191¿¿'~0'¿¿{"start":{"line":6,"column":9},"end":{"line":6,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Literal
700¿ReturnStatement¿¿1191¿¿¿¿{"start":{"line":6,"column":15},"end":{"line":6,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿ReturnStatement
701¿Literal¿string¿1191¿¿'~'¿¿{"start":{"line":6,"column":22},"end":{"line":6,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Literal
702¿VariableDeclarator¿¿1191¿v58¿¿¿{"start":{"line":8,"column":18},"end":{"line":8,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿VariableDeclarator
703¿BinaryExpression¿+¿1191¿¿¿¿{"start":{"line":8,"column":18},"end":{"line":8,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿BinaryExpression
704¿Literal¿string¿1191¿¿'Invalid tilde escape: '¿¿{"start":{"line":8,"column":18},"end":{"line":8,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/jsonpointer_4.0.0/src/jsonpointer.js"}¿¿Literal
