Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1300¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":320,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/keyget_2.2.0/src/index.js"}¿¿Program
1301¿ExpressionStatement¿¿2245¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/keyget_2.2.0/src/index.js"}¿¿ExpressionStatement
1302¿AssignmentExpression¿=¿2245¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/keyget_2.2.0/src/index.js"}¿¿AssignmentExpression
1303¿MemberExpression¿¿2245¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/keyget_2.2.0/src/index.js"}¿¿MemberExpression
1304¿Identifier¿¿2245¿exports¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/keyget_2.2.0/src/index.js"}¿¿Identifier
1305¿Identifier¿¿2245¿get¿¿¿{"start":{"line":1,"column":8},"end":{"line":1,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/keyget_2.2.0/src/index.js"}¿¿Identifier
1306¿Identifier¿¿2245¿getByPath¿¿¿{"start":{"line":1,"column":14},"end":{"line":1,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/keyget_2.2.0/src/index.js"}¿¿Identifier
1307¿ExpressionStatement¿¿2245¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":2,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/keyget_2.2.0/src/index.js"}¿¿ExpressionStatement
1308¿AssignmentExpression¿=¿2245¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":2,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/keyget_2.2.0/src/index.js"}¿¿AssignmentExpression
1309¿MemberExpression¿¿2245¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":2,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/keyget_2.2.0/src/index.js"}¿¿MemberExpression
1310¿Identifier¿¿2245¿exports¿¿¿{"start":{"line":2,"column":0},"end":{"line":2,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/keyget_2.2.0/src/index.js"}¿¿Identifier
1311¿Identifier¿¿2245¿set¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/keyget_2.2.0/src/index.js"}¿¿Identifier
1312¿Identifier¿¿2245¿setByPath¿¿¿{"start":{"line":2,"column":14},"end":{"line":2,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/keyget_2.2.0/src/index.js"}¿¿Identifier
1313¿ExpressionStatement¿¿2245¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/keyget_2.2.0/src/index.js"}¿¿ExpressionStatement
1314¿AssignmentExpression¿=¿2245¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/keyget_2.2.0/src/index.js"}¿¿AssignmentExpression
1315¿MemberExpression¿¿2245¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/keyget_2.2.0/src/index.js"}¿¿MemberExpression
1316¿Identifier¿¿2245¿exports¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/keyget_2.2.0/src/index.js"}¿¿Identifier
1317¿Identifier¿¿2245¿has¿¿¿{"start":{"line":3,"column":8},"end":{"line":3,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/keyget_2.2.0/src/index.js"}¿¿Identifier
1318¿Identifier¿¿2245¿hasPath¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/keyget_2.2.0/src/index.js"}¿¿Identifier
1319¿ExpressionStatement¿¿2245¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/keyget_2.2.0/src/index.js"}¿¿ExpressionStatement
1320¿AssignmentExpression¿=¿2245¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/keyget_2.2.0/src/index.js"}¿¿AssignmentExpression
1321¿MemberExpression¿¿2245¿¿¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/keyget_2.2.0/src/index.js"}¿¿MemberExpression
1322¿Identifier¿¿2245¿exports¿¿¿{"start":{"line":4,"column":0},"end":{"line":4,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/keyget_2.2.0/src/index.js"}¿¿Identifier
1323¿Identifier¿¿2245¿push¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/keyget_2.2.0/src/index.js"}¿¿Identifier
1324¿Identifier¿¿2245¿pushByPath¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/keyget_2.2.0/src/index.js"}¿¿Identifier
1325¿ExpressionStatement¿¿2245¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/keyget_2.2.0/src/index.js"}¿¿ExpressionStatement
1326¿AssignmentExpression¿=¿2245¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/keyget_2.2.0/src/index.js"}¿¿AssignmentExpression
1327¿MemberExpression¿¿2245¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/keyget_2.2.0/src/index.js"}¿¿MemberExpression
1328¿Identifier¿¿2245¿exports¿¿¿{"start":{"line":5,"column":0},"end":{"line":5,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/keyget_2.2.0/src/index.js"}¿¿Identifier
1329¿Identifier¿¿2245¿method¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/keyget_2.2.0/src/index.js"}¿¿Identifier
1330¿Identifier¿¿2245¿methodByPath¿¿¿{"start":{"line":5,"column":17},"end":{"line":5,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/keyget_2.2.0/src/index.js"}¿¿Identifier
1331¿ExpressionStatement¿¿2245¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/keyget_2.2.0/src/index.js"}¿¿ExpressionStatement
1332¿AssignmentExpression¿=¿2245¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/keyget_2.2.0/src/index.js"}¿¿AssignmentExpression
1333¿MemberExpression¿¿2245¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/keyget_2.2.0/src/index.js"}¿¿MemberExpression
1334¿Identifier¿¿2245¿exports¿¿¿{"start":{"line":6,"column":0},"end":{"line":6,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/keyget_2.2.0/src/index.js"}¿¿Identifier
1335¿Identifier¿¿2245¿call¿¿¿{"start":{"line":6,"column":8},"end":{"line":6,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/keyget_2.2.0/src/index.js"}¿¿Identifier
