Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
2096¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":203,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/minimist_1.0.0/src/index.js"}¿¿Program
2097¿VariableDeclarator¿exported¿3746¿v503¿¿¿{"start":{"line":1,"column":0},"end":{"line":168,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/minimist_1.0.0/src/index.js"}¿¿VariableDeclarator
2098¿FunctionExpression¿¿3746¿anon¿¿¿{"start":{"line":1,"column":17},"end":{"line":168,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/minimist_1.0.0/src/index.js"}¿¿FunctionExpression
2099¿Identifier¿¿0¿args¿¿¿{"start":{"line":1,"column":27},"end":{"line":1,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/minimist_1.0.0/src/index.js"}¿¿Identifier
2100¿Identifier¿¿0¿opts¿¿¿{"start":{"line":1,"column":33},"end":{"line":1,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/minimist_1.0.0/src/index.js"}¿¿Identifier
2101¿VariableDeclarator¿¿3748¿v269¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/minimist_1.0.0/src/index.js"}¿¿VariableDeclarator
2102¿UnaryExpression¿!¿3748¿¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/minimist_1.0.0/src/index.js"}¿¿UnaryExpression
2103¿Identifier¿¿3748¿opts¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/minimist_1.0.0/src/index.js"}¿¿Identifier
2104¿IfStatement¿¿3748¿¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/minimist_1.0.0/src/index.js"}¿¿IfStatement
2105¿Identifier¿¿3748¿v269¿¿¿¿¿Identifier
2106¿ExpressionStatement¿¿3748¿¿¿¿{"start":{"line":2,"column":15},"end":{"line":2,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/minimist_1.0.0/src/index.js"}¿¿ExpressionStatement
2107¿AssignmentExpression¿=¿3748¿¿¿¿{"start":{"line":2,"column":15},"end":{"line":2,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/minimist_1.0.0/src/index.js"}¿¿AssignmentExpression
2108¿Identifier¿¿3748¿opts¿¿¿{"start":{"line":2,"column":15},"end":{"line":2,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/minimist_1.0.0/src/index.js"}¿¿Identifier
2109¿ObjectExpression¿¿3748¿¿¿¿¿¿ObjectExpression
2110¿BlockStatement¿¿3748¿¿¿¿¿¿BlockStatement
2111¿VariableDeclarator¿¿3748¿v270¿¿¿{"start":{"line":4,"column":26},"end":{"line":4,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/minimist_1.0.0/src/index.js"}¿¿VariableDeclarator
2112¿ObjectExpression¿¿3748¿¿¿¿¿¿ObjectExpression
2113¿VariableDeclarator¿¿3748¿v271¿¿¿{"start":{"line":4,"column":40},"end":{"line":4,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/minimist_1.0.0/src/index.js"}¿¿VariableDeclarator
2114¿ObjectExpression¿¿3748¿¿¿¿¿¿ObjectExpression
2115¿VariableDeclarator¿¿3748¿flags¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/minimist_1.0.0/src/index.js"}¿¿VariableDeclarator
2116¿ObjectExpression¿¿3748¿¿¿¿¿¿ObjectExpression
2117¿ExpressionStatement¿¿3748¿¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/minimist_1.0.0/src/index.js"}¿¿ExpressionStatement
2118¿AssignmentExpression¿=¿3748¿¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/minimist_1.0.0/src/index.js"}¿¿AssignmentExpression
2119¿MemberExpression¿¿3748¿¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/minimist_1.0.0/src/index.js"}¿¿MemberExpression
2120¿Identifier¿¿3748¿flags¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/minimist_1.0.0/src/index.js"}¿¿Identifier
2121¿Identifier¿¿3748¿bools¿¿¿{"start":{"line":4,"column":18},"end":{"line":4,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/minimist_1.0.0/src/index.js"}¿¿Identifier
2122¿Identifier¿¿3748¿v270¿¿¿¿¿Identifier
