Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
193¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":34,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/mixin-deep_2.0.0/src/index.js"}¿¿Program
194¿ExpressionStatement¿¿330¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/mixin-deep_2.0.0/src/index.js"}¿¿ExpressionStatement
195¿Literal¿string¿330¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/mixin-deep_2.0.0/src/index.js"}¿¿Literal
196¿VariableDeclarator¿exported¿330¿mixinDeep¿¿¿{"start":{"line":3,"column":0},"end":{"line":14,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/mixin-deep_2.0.0/src/index.js"}¿¿VariableDeclarator
197¿FunctionExpression¿¿330¿anon¿¿¿{"start":{"line":3,"column":0},"end":{"line":14,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/mixin-deep_2.0.0/src/index.js"}¿¿FunctionExpression
198¿Identifier¿¿0¿target¿¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/mixin-deep_2.0.0/src/index.js"}¿¿Identifier
199¿RestElement¿¿0¿¿¿¿{"start":{"line":3,"column":27},"end":{"line":3,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/mixin-deep_2.0.0/src/index.js"}¿¿RestElement
200¿Identifier¿¿0¿rest¿¿¿{"start":{"line":3,"column":30},"end":{"line":3,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/mixin-deep_2.0.0/src/index.js"}¿¿Identifier
201¿VariableDeclarator¿¿332¿obj¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/mixin-deep_2.0.0/src/index.js"}¿¿VariableDeclarator
202¿ForOfStatement¿¿332¿¿¿¿{"start":{"line":4,"column":2},"end":{"line":12,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/mixin-deep_2.0.0/src/index.js"}¿¿ForOfStatement
203¿Identifier¿¿332¿obj¿¿¿{"start":{"line":4,"column":11},"end":{"line":4,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/mixin-deep_2.0.0/src/index.js"}¿¿Identifier
204¿Identifier¿¿332¿rest¿¿¿{"start":{"line":4,"column":18},"end":{"line":4,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/mixin-deep_2.0.0/src/index.js"}¿¿Identifier
205¿VariableDeclarator¿¿332¿v19¿¿¿{"start":{"line":5,"column":8},"end":{"line":5,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/mixin-deep_2.0.0/src/index.js"}¿¿VariableDeclarator
