Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
511¿Program¿¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":105,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/node-extend_1.0.0/src/extend.js"}¿¿Program
512¿VariableDeclarator¿¿fs¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/node-extend_1.0.0/src/extend.js"}¿¿VariableDeclarator
513¿CallExpression¿¿¿¿¿{"start":{"line":10,"column":9},"end":{"line":10,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/node-extend_1.0.0/src/extend.js"}¿¿CallExpression
514¿Identifier¿¿require¿¿¿{"start":{"line":10,"column":9},"end":{"line":10,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/node-extend_1.0.0/src/extend.js"}¿¿Identifier
515¿Literal¿string¿¿'fs'¿¿{"start":{"line":10,"column":18},"end":{"line":10,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/node-extend_1.0.0/src/extend.js"}¿¿Literal
516¿VariableDeclarator¿¿is_plain_obj¿¿¿¿¿VariableDeclarator
517¿FunctionExpression¿¿anon¿¿¿{"start":{"line":12,"column":0},"end":{"line":37,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/node-extend_1.0.0/src/extend.js"}¿¿FunctionExpression
518¿Identifier¿¿obj¿¿¿{"start":{"line":12,"column":23},"end":{"line":12,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/node-extend_1.0.0/src/extend.js"}¿¿Identifier
519¿VariableDeclarator¿¿v53¿¿¿¿¿VariableDeclarator
520¿UnaryExpression¿!¿¿¿¿{"start":{"line":13,"column":7},"end":{"line":13,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/node-extend_1.0.0/src/extend.js"}¿¿UnaryExpression
521¿Identifier¿¿obj¿¿¿{"start":{"line":13,"column":8},"end":{"line":13,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/node-extend_1.0.0/src/extend.js"}¿¿Identifier
522¿VariableDeclarator¿¿v54¿¿¿¿¿VariableDeclarator
523¿ObjectExpression¿¿¿¿¿{"start":{"line":14,"column":7},"end":{"line":14,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/node-extend_1.0.0/src/extend.js"}¿¿ObjectExpression
524¿VariableDeclarator¿¿v55¿¿¿¿¿VariableDeclarator
525¿MemberExpression¿¿¿¿¿{"start":{"line":14,"column":7},"end":{"line":14,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/node-extend_1.0.0/src/extend.js"}¿¿MemberExpression
526¿Identifier¿¿v54¿¿¿¿¿Identifier
527¿Identifier¿¿toString¿¿¿{"start":{"line":14,"column":10},"end":{"line":14,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/node-extend_1.0.0/src/extend.js"}¿¿Identifier
528¿VariableDeclarator¿¿v56¿¿¿¿¿VariableDeclarator
529¿CallExpression¿¿¿¿¿{"start":{"line":14,"column":7},"end":{"line":14,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/node-extend_1.0.0/src/extend.js"}¿¿CallExpression
530¿MemberExpression¿¿¿¿¿{"start":{"line":14,"column":7},"end":{"line":14,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/node-extend_1.0.0/src/extend.js"}¿¿MemberExpression
531¿Identifier¿¿v55¿¿¿¿¿Identifier
532¿Identifier¿¿call¿¿¿{"start":{"line":14,"column":19},"end":{"line":14,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/node-extend_1.0.0/src/extend.js"}¿¿Identifier
533¿Identifier¿¿obj¿¿¿{"start":{"line":14,"column":25},"end":{"line":14,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/node-extend_1.0.0/src/extend.js"}¿¿Identifier
534¿VariableDeclarator¿¿v57¿¿¿¿¿VariableDeclarator
535¿BinaryExpression¿!==¿¿¿¿{"start":{"line":14,"column":7},"end":{"line":14,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/node-extend_1.0.0/src/extend.js"}¿¿BinaryExpression
536¿Identifier¿¿v56¿¿¿¿¿Identifier
537¿Literal¿string¿¿'[object Object]'¿¿{"start":{"line":14,"column":35},"end":{"line":14,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/node-extend_1.0.0/src/extend.js"}¿¿Literal
538¿VariableDeclarator¿¿v58¿¿¿¿¿VariableDeclarator
539¿LogicalExpression¿||¿¿¿¿{"start":{"line":13,"column":7},"end":{"line":14,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/node-extend_1.0.0/src/extend.js"}¿¿LogicalExpression
540¿Identifier¿¿v53¿¿¿¿¿Identifier
541¿Identifier¿¿v57¿¿¿¿¿Identifier
542¿VariableDeclarator¿¿v59¿¿¿¿¿VariableDeclarator
543¿MemberExpression¿¿¿¿¿{"start":{"line":15,"column":7},"end":{"line":15,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/node-extend_1.0.0/src/extend.js"}¿¿MemberExpression
544¿Identifier¿¿obj¿¿¿{"start":{"line":15,"column":7},"end":{"line":15,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/node-extend_1.0.0/src/extend.js"}¿¿Identifier
545¿Identifier¿¿nodeType¿¿¿{"start":{"line":15,"column":11},"end":{"line":15,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/node-extend_1.0.0/src/extend.js"}¿¿Identifier
546¿VariableDeclarator¿¿v60¿¿¿¿¿VariableDeclarator
