Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
736¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":127,"column":4},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Program
737¿ExpressionStatement¿¿1321¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿ExpressionStatement
738¿Literal¿string¿1321¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Literal
739¿VariableDeclarator¿¿1321¿isObject¿¿¿{"start":{"line":3,"column":6},"end":{"line":4,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿VariableDeclarator
740¿ArrowFunctionExpression¿¿1321¿¿¿¿{"start":{"line":3,"column":17},"end":{"line":4,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿ArrowFunctionExpression
741¿Identifier¿¿0¿element¿¿¿{"start":{"line":3,"column":17},"end":{"line":3,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Identifier
742¿VariableDeclarator¿¿1323¿v92¿¿¿{"start":{"line":4,"column":2},"end":{"line":4,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿VariableDeclarator
743¿UnaryExpression¿typeof¿1323¿¿¿¿{"start":{"line":4,"column":2},"end":{"line":4,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿UnaryExpression
744¿Identifier¿¿1323¿element¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Identifier
745¿VariableDeclarator¿¿1323¿v93¿¿¿{"start":{"line":4,"column":2},"end":{"line":4,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿VariableDeclarator
746¿BinaryExpression¿===¿1323¿¿¿¿{"start":{"line":4,"column":2},"end":{"line":4,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿BinaryExpression
747¿Identifier¿¿1323¿v92¿¿¿¿¿Identifier
748¿Literal¿string¿1323¿¿'object'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Literal
749¿ReturnStatement¿¿1323¿¿¿¿¿¿ReturnStatement
750¿Identifier¿¿1323¿v93¿¿¿¿¿Identifier
751¿BlockStatement¿¿1323¿¿¿¿¿¿BlockStatement
752¿VariableDeclarator¿¿1321¿noObjectsInArray¿¿¿{"start":{"line":6,"column":6},"end":{"line":7,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿VariableDeclarator
753¿ArrowFunctionExpression¿¿1321¿¿¿¿{"start":{"line":6,"column":25},"end":{"line":7,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿ArrowFunctionExpression
754¿Identifier¿¿0¿array¿¿¿{"start":{"line":6,"column":25},"end":{"line":6,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Identifier
755¿VariableDeclarator¿¿1325¿v94¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿VariableDeclarator
756¿CallExpression¿¿1325¿¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿CallExpression
757¿MemberExpression¿¿1325¿¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿MemberExpression
758¿Identifier¿¿1325¿array¿¿¿{"start":{"line":7,"column":2},"end":{"line":7,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Identifier
759¿Identifier¿¿1325¿findIndex¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Identifier
760¿Identifier¿¿1325¿isObject¿¿¿{"start":{"line":7,"column":18},"end":{"line":7,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿Identifier
761¿VariableDeclarator¿¿1325¿v95¿¿¿{"start":{"line":7,"column":32},"end":{"line":7,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿VariableDeclarator
762¿UnaryExpression¿-¿1325¿¿¿¿{"start":{"line":7,"column":32},"end":{"line":7,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/patchmerge_1.0.1/src/index.js"}¿¿UnaryExpression
