Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
842¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":291,"column":2},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Program
843¿ExpressionStatement¿¿1503¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿ExpressionStatement
844¿Literal¿string¿1503¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Literal
845¿VariableDeclarator¿exported¿1503¿hasProperty¿¿¿{"start":{"line":47,"column":0},"end":{"line":54,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿VariableDeclarator
846¿FunctionExpression¿¿1503¿anon¿¿¿{"start":{"line":47,"column":0},"end":{"line":54,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿FunctionExpression
847¿Identifier¿¿0¿obj¿¿¿{"start":{"line":47,"column":21},"end":{"line":47,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Identifier
848¿Identifier¿¿0¿name¿¿¿{"start":{"line":47,"column":26},"end":{"line":47,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Identifier
849¿VariableDeclarator¿¿1505¿v76¿¿¿{"start":{"line":48,"column":6},"end":{"line":48,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿VariableDeclarator
850¿UnaryExpression¿typeof¿1505¿¿¿¿{"start":{"line":48,"column":6},"end":{"line":48,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿UnaryExpression
851¿Identifier¿¿1505¿obj¿¿¿{"start":{"line":48,"column":13},"end":{"line":48,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿Identifier
852¿VariableDeclarator¿¿1505¿v77¿¿¿{"start":{"line":48,"column":6},"end":{"line":48,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿VariableDeclarator
853¿BinaryExpression¿===¿1505¿¿¿¿{"start":{"line":48,"column":6},"end":{"line":48,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/pathval_1.1.0/src/index.js"}¿¿BinaryExpression
854¿Identifier¿¿1505¿v76¿¿¿¿¿Identifier
