Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
256¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":33,"column":69},"fname":"/datasets/secbench-dataset/CWE-471/plain-object-merge_1.0.1/src/index.js"}¿¿Program
257¿ExpressionStatement¿¿447¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/plain-object-merge_1.0.1/src/index.js"}¿¿ExpressionStatement
258¿Literal¿string¿447¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/plain-object-merge_1.0.1/src/index.js"}¿¿Literal
259¿VariableDeclarator¿¿447¿plain_object_clone_1¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":56},"fname":"/datasets/secbench-dataset/CWE-471/plain-object-merge_1.0.1/src/index.js"}¿¿VariableDeclarator
260¿CallExpression¿¿447¿¿¿¿{"start":{"line":3,"column":27},"end":{"line":3,"column":56},"fname":"/datasets/secbench-dataset/CWE-471/plain-object-merge_1.0.1/src/index.js"}¿¿CallExpression
261¿Identifier¿¿447¿require¿¿¿{"start":{"line":3,"column":27},"end":{"line":3,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/plain-object-merge_1.0.1/src/index.js"}¿¿Identifier
262¿Literal¿string¿447¿¿'plain-object-clone'¿¿{"start":{"line":3,"column":35},"end":{"line":3,"column":55},"fname":"/datasets/secbench-dataset/CWE-471/plain-object-merge_1.0.1/src/index.js"}¿¿Literal
263¿VariableDeclarator¿¿447¿isPrimitive¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/plain-object-merge_1.0.1/src/index.js"}¿¿VariableDeclarator
264¿CallExpression¿¿447¿¿¿¿{"start":{"line":4,"column":18},"end":{"line":4,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/plain-object-merge_1.0.1/src/index.js"}¿¿CallExpression
265¿Identifier¿¿447¿require¿¿¿{"start":{"line":4,"column":18},"end":{"line":4,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/plain-object-merge_1.0.1/src/index.js"}¿¿Identifier
266¿Literal¿string¿447¿¿'is-primitive'¿¿{"start":{"line":4,"column":26},"end":{"line":4,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/plain-object-merge_1.0.1/src/index.js"}¿¿Literal
267¿VariableDeclarator¿exported¿447¿merge¿¿¿{"start":{"line":6,"column":0},"end":{"line":12,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/plain-object-merge_1.0.1/src/index.js"}¿¿VariableDeclarator
268¿FunctionExpression¿¿447¿anon¿¿¿{"start":{"line":6,"column":0},"end":{"line":12,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/plain-object-merge_1.0.1/src/index.js"}¿¿FunctionExpression
269¿Identifier¿¿0¿objects¿¿¿{"start":{"line":6,"column":15},"end":{"line":6,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/plain-object-merge_1.0.1/src/index.js"}¿¿Identifier
270¿VariableDeclarator¿¿449¿v22¿¿¿{"start":{"line":7,"column":46},"end":{"line":7,"column":56},"fname":"/datasets/secbench-dataset/CWE-471/plain-object-merge_1.0.1/src/index.js"}¿¿VariableDeclarator
271¿MemberExpression¿computed¿449¿¿¿¿{"start":{"line":7,"column":46},"end":{"line":7,"column":56},"fname":"/datasets/secbench-dataset/CWE-471/plain-object-merge_1.0.1/src/index.js"}¿¿MemberExpression
272¿Identifier¿¿449¿objects¿¿¿{"start":{"line":7,"column":46},"end":{"line":7,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/plain-object-merge_1.0.1/src/index.js"}¿¿Identifier
