Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
2004¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":362,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Program
2005¿VariableDeclarator¿¿3513¿fs¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿VariableDeclarator
2006¿CallExpression¿¿3513¿¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿CallExpression
2007¿Identifier¿¿3513¿require¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Identifier
2008¿Literal¿string¿3513¿¿'fs'¿¿{"start":{"line":1,"column":19},"end":{"line":1,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Literal
2009¿VariableDeclarator¿¿3513¿v209¿¿¿{"start":{"line":2,"column":25},"end":{"line":2,"column":55},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿VariableDeclarator
2010¿CallExpression¿¿3513¿¿¿¿{"start":{"line":2,"column":25},"end":{"line":2,"column":55},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿CallExpression
2011¿Identifier¿¿3513¿require¿¿¿{"start":{"line":2,"column":25},"end":{"line":2,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Identifier
2012¿Literal¿string¿3513¿¿'./property-appender'¿¿{"start":{"line":2,"column":33},"end":{"line":2,"column":54},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Literal
2013¿VariableDeclarator¿¿3513¿propertyAppender¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":72},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿VariableDeclarator
2014¿MemberExpression¿¿3513¿¿¿¿{"start":{"line":2,"column":25},"end":{"line":2,"column":72},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿MemberExpression
2015¿Identifier¿¿3513¿v209¿¿¿¿¿Identifier
2016¿Identifier¿¿3513¿propertyAppender¿¿¿{"start":{"line":2,"column":56},"end":{"line":2,"column":72},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿Identifier
2017¿VariableDeclarator¿exported¿3513¿PropertiesReader¿¿¿{"start":{"line":10,"column":0},"end":{"line":17,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/properties-reader_2.0.0/src/properties-reader.js"}¿¿VariableDeclarator
