Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
516¿Program¿¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":61,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿Program
517¿VariableDeclarator¿¿defaultDelimiter¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿VariableDeclarator
518¿Literal¿string¿¿'.'¿¿{"start":{"line":1,"column":25},"end":{"line":1,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿Literal
519¿VariableDeclarator¿¿isDate¿¿¿{"start":{"line":3,"column":6},"end":{"line":5,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿VariableDeclarator
520¿ArrowFunctionExpression¿¿¿¿¿{"start":{"line":3,"column":15},"end":{"line":5,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿ArrowFunctionExpression
521¿Identifier¿¿obj¿¿¿{"start":{"line":3,"column":16},"end":{"line":3,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿Identifier
522¿VariableDeclarator¿¿v55¿¿¿¿¿VariableDeclarator
523¿BinaryExpression¿instanceof¿¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿BinaryExpression
524¿Identifier¿¿obj¿¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿Identifier
525¿Identifier¿¿Date¿¿¿{"start":{"line":4,"column":24},"end":{"line":4,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿Identifier
526¿ReturnStatement¿¿¿¿¿{"start":{"line":4,"column":2},"end":{"line":4,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿ReturnStatement
527¿Identifier¿¿v55¿¿¿¿¿Identifier
528¿BlockStatement¿¿¿¿¿{"start":{"line":3,"column":24},"end":{"line":5,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿BlockStatement
529¿VariableDeclarator¿¿flatten¿¿¿{"start":{"line":7,"column":6},"end":{"line":36,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿VariableDeclarator
530¿ArrowFunctionExpression¿¿¿¿¿{"start":{"line":7,"column":16},"end":{"line":36,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿ArrowFunctionExpression
531¿Identifier¿¿obj¿¿¿{"start":{"line":7,"column":17},"end":{"line":7,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿Identifier
532¿Identifier¿¿delimiter¿¿¿{"start":{"line":7,"column":22},"end":{"line":7,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿Identifier
533¿VariableDeclarator¿¿result¿¿¿{"start":{"line":8,"column":8},"end":{"line":8,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿VariableDeclarator
534¿ObjectExpression¿¿¿¿¿¿¿ObjectExpression
535¿VariableDeclarator¿¿seperator¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":49},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿VariableDeclarator
536¿LogicalExpression¿||¿¿¿¿{"start":{"line":9,"column":20},"end":{"line":9,"column":49},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿LogicalExpression
537¿Identifier¿¿delimiter¿¿¿{"start":{"line":9,"column":20},"end":{"line":9,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿Identifier
538¿Identifier¿¿defaultDelimiter¿¿¿{"start":{"line":9,"column":33},"end":{"line":9,"column":49},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿Identifier
539¿VariableDeclarator¿¿v56¿¿¿¿¿VariableDeclarator
540¿UnaryExpression¿typeof¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿UnaryExpression
541¿Identifier¿¿obj¿¿¿{"start":{"line":11,"column":13},"end":{"line":11,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿Identifier
542¿VariableDeclarator¿¿v57¿¿¿¿¿VariableDeclarator
543¿BinaryExpression¿!==¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿BinaryExpression
544¿Identifier¿¿v56¿¿¿¿¿Identifier
545¿Literal¿string¿¿'object'¿¿{"start":{"line":11,"column":21},"end":{"line":11,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿Literal
546¿VariableDeclarator¿¿v58¿¿¿¿¿VariableDeclarator
547¿CallExpression¿¿¿¿¿{"start":{"line":11,"column":33},"end":{"line":11,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿CallExpression
548¿Identifier¿¿isDate¿¿¿{"start":{"line":11,"column":33},"end":{"line":11,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿Identifier
549¿Identifier¿¿obj¿¿¿{"start":{"line":11,"column":40},"end":{"line":11,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿Identifier
550¿VariableDeclarator¿¿v59¿¿¿¿¿VariableDeclarator
551¿LogicalExpression¿||¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿LogicalExpression
552¿Identifier¿¿v57¿¿¿¿¿Identifier
553¿Identifier¿¿v58¿¿¿¿¿Identifier
554¿IfStatement¿¿¿¿¿{"start":{"line":11,"column":2},"end":{"line":11,"column":56},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿IfStatement
555¿Identifier¿¿v59¿¿¿¿¿Identifier
556¿ReturnStatement¿¿¿¿¿{"start":{"line":11,"column":46},"end":{"line":11,"column":56},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿ReturnStatement
557¿Identifier¿¿obj¿¿¿{"start":{"line":11,"column":53},"end":{"line":11,"column":56},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿Identifier
558¿BlockStatement¿¿¿¿¿¿¿BlockStatement
559¿VariableDeclarator¿¿flat¿¿¿{"start":{"line":13,"column":8},"end":{"line":31,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿VariableDeclarator
560¿ArrowFunctionExpression¿¿¿¿¿{"start":{"line":13,"column":15},"end":{"line":31,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿ArrowFunctionExpression
561¿Identifier¿¿original¿¿¿{"start":{"line":13,"column":16},"end":{"line":13,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿Identifier
562¿Identifier¿¿stack¿¿¿{"start":{"line":13,"column":26},"end":{"line":13,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿Identifier
563¿Identifier¿¿prev¿¿¿{"start":{"line":13,"column":33},"end":{"line":13,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿Identifier
564¿VariableDeclarator¿¿v60¿¿¿¿¿VariableDeclarator
565¿CallExpression¿¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿CallExpression
566¿MemberExpression¿¿¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿MemberExpression
567¿Identifier¿¿Object¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿Identifier
568¿Identifier¿¿entries¿¿¿{"start":{"line":14,"column":11},"end":{"line":14,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿Identifier
569¿Identifier¿¿original¿¿¿{"start":{"line":14,"column":19},"end":{"line":14,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿Identifier
570¿VariableDeclarator¿¿v80¿¿¿¿¿VariableDeclarator
571¿ArrowFunctionExpression¿¿¿¿¿{"start":{"line":14,"column":37},"end":{"line":30,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿ArrowFunctionExpression
572¿ArrayPattern¿¿¿¿¿{"start":{"line":14,"column":38},"end":{"line":14,"column":50},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿ArrayPattern
573¿VariableDeclarator¿¿newKey¿¿¿{"start":{"line":15,"column":12},"end":{"line":17,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿VariableDeclarator
574¿VariableDeclarator¿¿v61¿¿¿¿¿VariableDeclarator
575¿BinaryExpression¿+¿¿¿¿{"start":{"line":16,"column":10},"end":{"line":16,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿BinaryExpression
576¿Identifier¿¿prev¿¿¿{"start":{"line":16,"column":10},"end":{"line":16,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿Identifier
577¿Identifier¿¿seperator¿¿¿{"start":{"line":16,"column":17},"end":{"line":16,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿Identifier
578¿VariableDeclarator¿¿v62¿¿¿¿¿VariableDeclarator
579¿BinaryExpression¿+¿¿¿¿{"start":{"line":16,"column":10},"end":{"line":16,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿BinaryExpression
580¿Identifier¿¿v61¿¿¿¿¿Identifier
581¿Identifier¿¿key¿¿¿{"start":{"line":16,"column":29},"end":{"line":16,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿Identifier
582¿IfStatement¿¿¿¿¿{"start":{"line":15,"column":21},"end":{"line":17,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿IfStatement
583¿Identifier¿¿prev¿¿¿{"start":{"line":15,"column":21},"end":{"line":15,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿Identifier
584¿ExpressionStatement¿¿¿¿¿{"start":{"line":15,"column":21},"end":{"line":17,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿ExpressionStatement
585¿AssignmentExpression¿=¿¿¿¿{"start":{"line":15,"column":21},"end":{"line":17,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿AssignmentExpression
586¿Identifier¿¿newKey¿¿¿{"start":{"line":15,"column":21},"end":{"line":17,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿Identifier
587¿Identifier¿¿v62¿¿¿¿¿Identifier
588¿BlockStatement¿¿¿¿¿¿¿BlockStatement
589¿ExpressionStatement¿¿¿¿¿{"start":{"line":15,"column":21},"end":{"line":17,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿ExpressionStatement
590¿AssignmentExpression¿=¿¿¿¿{"start":{"line":15,"column":21},"end":{"line":17,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿AssignmentExpression
591¿Identifier¿¿newKey¿¿¿{"start":{"line":15,"column":21},"end":{"line":17,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿Identifier
592¿Identifier¿¿key¿¿¿{"start":{"line":17,"column":10},"end":{"line":17,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿Identifier
593¿BlockStatement¿¿¿¿¿¿¿BlockStatement
594¿VariableDeclarator¿¿v63¿¿¿¿¿VariableDeclarator
595¿UnaryExpression¿typeof¿¿¿¿{"start":{"line":18,"column":10},"end":{"line":18,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿UnaryExpression
596¿Identifier¿¿value¿¿¿{"start":{"line":18,"column":17},"end":{"line":18,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿Identifier
597¿VariableDeclarator¿¿v64¿¿¿¿¿VariableDeclarator
598¿BinaryExpression¿===¿¿¿¿{"start":{"line":18,"column":10},"end":{"line":18,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿BinaryExpression
599¿Identifier¿¿v63¿¿¿¿¿Identifier
600¿Literal¿string¿¿'object'¿¿{"start":{"line":18,"column":27},"end":{"line":18,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿Literal
601¿VariableDeclarator¿¿v65¿¿¿¿¿VariableDeclarator
602¿BinaryExpression¿!==¿¿¿¿{"start":{"line":18,"column":39},"end":{"line":18,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿BinaryExpression
603¿Identifier¿¿value¿¿¿{"start":{"line":18,"column":39},"end":{"line":18,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿Identifier
604¿Literal¿object¿¿null¿¿{"start":{"line":18,"column":49},"end":{"line":18,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿Literal
605¿VariableDeclarator¿¿v66¿¿¿¿¿VariableDeclarator
606¿LogicalExpression¿&&¿¿¿¿{"start":{"line":18,"column":10},"end":{"line":18,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿LogicalExpression
607¿Identifier¿¿v64¿¿¿¿¿Identifier
608¿Identifier¿¿v65¿¿¿¿¿Identifier
609¿IfStatement¿¿¿¿¿{"start":{"line":18,"column":6},"end":{"line":28,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿IfStatement
610¿Identifier¿¿v66¿¿¿¿¿Identifier
611¿VariableDeclarator¿¿v71¿¿¿¿¿VariableDeclarator
612¿ArrowFunctionExpression¿¿¿¿¿{"start":{"line":19,"column":22},"end":{"line":23,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿ArrowFunctionExpression
613¿Identifier¿¿s¿¿¿{"start":{"line":19,"column":23},"end":{"line":19,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿Identifier
614¿VariableDeclarator¿¿v67¿¿¿¿¿VariableDeclarator
615¿BinaryExpression¿===¿¿¿¿{"start":{"line":20,"column":14},"end":{"line":20,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿BinaryExpression
616¿Identifier¿¿value¿¿¿{"start":{"line":20,"column":14},"end":{"line":20,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿Identifier
617¿Identifier¿¿s¿¿¿{"start":{"line":20,"column":24},"end":{"line":20,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿Identifier
618¿VariableDeclarator¿¿v68¿¿¿¿¿VariableDeclarator
619¿CallExpression¿¿¿¿¿{"start":{"line":20,"column":30},"end":{"line":20,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿CallExpression
620¿Identifier¿¿isDate¿¿¿{"start":{"line":20,"column":30},"end":{"line":20,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿Identifier
621¿Identifier¿¿value¿¿¿{"start":{"line":20,"column":37},"end":{"line":20,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿Identifier
622¿VariableDeclarator¿¿v69¿¿¿¿¿VariableDeclarator
623¿UnaryExpression¿!¿¿¿¿{"start":{"line":20,"column":29},"end":{"line":20,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿UnaryExpression
624¿Identifier¿¿v68¿¿¿¿¿Identifier
625¿VariableDeclarator¿¿v70¿¿¿¿¿VariableDeclarator
626¿LogicalExpression¿&&¿¿¿¿{"start":{"line":20,"column":14},"end":{"line":20,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿LogicalExpression
627¿Identifier¿¿v67¿¿¿¿¿Identifier
628¿Identifier¿¿v69¿¿¿¿¿Identifier
629¿IfStatement¿¿¿¿¿{"start":{"line":20,"column":10},"end":{"line":22,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿IfStatement
630¿Identifier¿¿v70¿¿¿¿¿Identifier
631¿ExpressionStatement¿¿¿¿¿{"start":{"line":21,"column":12},"end":{"line":21,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿ExpressionStatement
632¿AssignmentExpression¿=¿¿¿¿{"start":{"line":21,"column":12},"end":{"line":21,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿AssignmentExpression
633¿Identifier¿¿value¿¿¿{"start":{"line":21,"column":12},"end":{"line":21,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿Identifier
634¿Literal¿string¿¿'[Circular]'¿¿{"start":{"line":21,"column":20},"end":{"line":21,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿Literal
635¿BlockStatement¿¿¿¿¿{"start":{"line":20,"column":45},"end":{"line":22,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/safe-flat_2.0.0/src/index.js"}¿¿BlockStatement
