Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
384¿Program¿¿¿¿¿{"start":{"line":14,"column":0},"end":{"line":85,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/style-dictionary_2.10.2/src/deepExtend.js"}¿¿Program
385¿VariableDeclarator¿¿_¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/style-dictionary_2.10.2/src/deepExtend.js"}¿¿VariableDeclarator
386¿CallExpression¿¿¿¿¿{"start":{"line":14,"column":8},"end":{"line":14,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/style-dictionary_2.10.2/src/deepExtend.js"}¿¿CallExpression
387¿Identifier¿¿require¿¿¿{"start":{"line":14,"column":8},"end":{"line":14,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/style-dictionary_2.10.2/src/deepExtend.js"}¿¿Identifier
388¿Literal¿string¿¿'lodash'¿¿{"start":{"line":14,"column":16},"end":{"line":14,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/style-dictionary_2.10.2/src/deepExtend.js"}¿¿Literal
389¿VariableDeclarator¿exported¿deepExtend¿¿¿¿¿VariableDeclarator
390¿FunctionExpression¿¿anon¿¿¿{"start":{"line":24,"column":0},"end":{"line":83,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/style-dictionary_2.10.2/src/deepExtend.js"}¿¿FunctionExpression
391¿Identifier¿¿objects¿¿¿{"start":{"line":24,"column":20},"end":{"line":24,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/style-dictionary_2.10.2/src/deepExtend.js"}¿¿Identifier
392¿Identifier¿¿collision¿¿¿{"start":{"line":24,"column":29},"end":{"line":24,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/style-dictionary_2.10.2/src/deepExtend.js"}¿¿Identifier
393¿Identifier¿¿path¿¿¿{"start":{"line":24,"column":40},"end":{"line":24,"column":44},"fname":"/datasets/secbench-dataset/CWE-471/style-dictionary_2.10.2/src/deepExtend.js"}¿¿Identifier
394¿VariableDeclarator¿¿v33¿¿¿¿¿VariableDeclarator
395¿BinaryExpression¿==¿¿¿¿{"start":{"line":25,"column":6},"end":{"line":25,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/style-dictionary_2.10.2/src/deepExtend.js"}¿¿BinaryExpression
396¿Identifier¿¿objects¿¿¿{"start":{"line":25,"column":6},"end":{"line":25,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/style-dictionary_2.10.2/src/deepExtend.js"}¿¿Identifier
