Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
7524¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":918,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿Program
7525¿VariableDeclarator¿¿13127¿v649¿¿¿{"start":{"line":1,"column":1},"end":{"line":5,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿VariableDeclarator
7526¿FunctionExpression¿¿13127¿anon¿¿¿{"start":{"line":1,"column":1},"end":{"line":5,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿FunctionExpression
7527¿Identifier¿¿0¿global¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿Identifier
7528¿Identifier¿¿0¿factory¿¿¿{"start":{"line":1,"column":19},"end":{"line":1,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿Identifier
7529¿VariableDeclarator¿¿13129¿v633¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿VariableDeclarator
7530¿UnaryExpression¿typeof¿13129¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿UnaryExpression
7531¿Identifier¿¿13129¿exports¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿Identifier
7532¿VariableDeclarator¿¿13129¿v634¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿VariableDeclarator
7533¿BinaryExpression¿===¿13129¿¿¿¿{"start":{"line":2,"column":2},"end":{"line":2,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿BinaryExpression
7534¿Identifier¿¿13129¿v633¿¿¿¿¿Identifier
7535¿Literal¿string¿13129¿¿'object'¿¿{"start":{"line":2,"column":21},"end":{"line":2,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿Literal
7536¿VariableDeclarator¿¿13129¿v635¿¿¿{"start":{"line":2,"column":33},"end":{"line":2,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿VariableDeclarator
7537¿UnaryExpression¿typeof¿13129¿¿¿¿{"start":{"line":2,"column":33},"end":{"line":2,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿UnaryExpression
7538¿Identifier¿¿13129¿module¿¿¿{"start":{"line":2,"column":40},"end":{"line":2,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/vega-util_1.13.0/src/vega-util.js"}¿¿Identifier
