Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
322¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":49,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/x-assign_0.1.4/src/index.js"}¿¿Program
323¿ExpressionStatement¿¿566¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/x-assign_0.1.4/src/index.js"}¿¿ExpressionStatement
324¿Literal¿string¿566¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/x-assign_0.1.4/src/index.js"}¿¿Literal
325¿VariableDeclarator¿exported¿566¿v66¿¿¿{"start":{"line":4,"column":10},"end":{"line":46,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/x-assign_0.1.4/src/index.js"}¿¿VariableDeclarator
326¿FunctionExpression¿¿566¿anon¿¿¿{"start":{"line":4,"column":10},"end":{"line":46,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/x-assign_0.1.4/src/index.js"}¿¿FunctionExpression
327¿RestElement¿¿0¿¿¿¿{"start":{"line":4,"column":20},"end":{"line":4,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/x-assign_0.1.4/src/index.js"}¿¿RestElement
328¿Identifier¿¿0¿args¿¿¿{"start":{"line":4,"column":23},"end":{"line":4,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/x-assign_0.1.4/src/index.js"}¿¿Identifier
329¿VariableDeclarator¿¿568¿apply¿¿¿{"start":{"line":12,"column":4},"end":{"line":37,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/x-assign_0.1.4/src/index.js"}¿¿VariableDeclarator
330¿FunctionExpression¿¿568¿anon¿¿¿{"start":{"line":12,"column":4},"end":{"line":37,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/x-assign_0.1.4/src/index.js"}¿¿FunctionExpression
331¿Identifier¿¿0¿acc¿¿¿{"start":{"line":12,"column":19},"end":{"line":12,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/x-assign_0.1.4/src/index.js"}¿¿Identifier
332¿Identifier¿¿0¿obj¿¿¿{"start":{"line":12,"column":24},"end":{"line":12,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/x-assign_0.1.4/src/index.js"}¿¿Identifier
333¿VariableDeclarator¿¿570¿v34¿¿¿{"start":{"line":13,"column":10},"end":{"line":13,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/x-assign_0.1.4/src/index.js"}¿¿VariableDeclarator
334¿BinaryExpression¿==¿570¿¿¿¿{"start":{"line":13,"column":10},"end":{"line":13,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/x-assign_0.1.4/src/index.js"}¿¿BinaryExpression
335¿Identifier¿¿570¿obj¿¿¿{"start":{"line":13,"column":10},"end":{"line":13,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/x-assign_0.1.4/src/index.js"}¿¿Identifier
336¿Literal¿object¿570¿¿null¿¿{"start":{"line":13,"column":17},"end":{"line":13,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/x-assign_0.1.4/src/index.js"}¿¿Literal
337¿VariableDeclarator¿¿570¿v35¿¿¿{"start":{"line":13,"column":25},"end":{"line":13,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/x-assign_0.1.4/src/index.js"}¿¿VariableDeclarator
338¿UnaryExpression¿typeof¿570¿¿¿¿{"start":{"line":13,"column":25},"end":{"line":13,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/x-assign_0.1.4/src/index.js"}¿¿UnaryExpression
339¿Identifier¿¿570¿obj¿¿¿{"start":{"line":13,"column":32},"end":{"line":13,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/x-assign_0.1.4/src/index.js"}¿¿Identifier
340¿VariableDeclarator¿¿570¿v36¿¿¿{"start":{"line":13,"column":25},"end":{"line":13,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/x-assign_0.1.4/src/index.js"}¿¿VariableDeclarator
341¿BinaryExpression¿!==¿570¿¿¿¿{"start":{"line":13,"column":25},"end":{"line":13,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/x-assign_0.1.4/src/index.js"}¿¿BinaryExpression
342¿Identifier¿¿570¿v35¿¿¿¿¿Identifier
343¿Literal¿string¿570¿¿'object'¿¿{"start":{"line":13,"column":40},"end":{"line":13,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/x-assign_0.1.4/src/index.js"}¿¿Literal
344¿VariableDeclarator¿¿570¿v37¿¿¿{"start":{"line":13,"column":10},"end":{"line":13,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/x-assign_0.1.4/src/index.js"}¿¿VariableDeclarator
