Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
3216¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":597,"column":2},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿Program
3217¿VariableDeclarator¿¿5522¿v262¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿VariableDeclarator
3218¿CallExpression¿¿5522¿¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿CallExpression
3219¿Identifier¿¿5522¿require¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿Identifier
3220¿Literal¿string¿5522¿¿'child_process'¿¿{"start":{"line":1,"column":19},"end":{"line":1,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿Literal
3221¿VariableDeclarator¿¿5522¿exec¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿VariableDeclarator
3222¿MemberExpression¿¿5522¿¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿MemberExpression
3223¿Identifier¿¿5522¿v262¿¿¿¿¿Identifier
3224¿Identifier¿¿5522¿exec¿¿¿{"start":{"line":1,"column":36},"end":{"line":1,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿Identifier
3225¿VariableDeclarator¿¿5522¿_¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿VariableDeclarator
3226¿CallExpression¿¿5522¿¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿CallExpression
3227¿Identifier¿¿5522¿require¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿Identifier
3228¿Literal¿string¿5522¿¿'underscore'¿¿{"start":{"line":2,"column":16},"end":{"line":2,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿Literal
3229¿VariableDeclarator¿¿5522¿utils¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿VariableDeclarator
3230¿CallExpression¿¿5522¿¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿CallExpression
3231¿Identifier¿¿5522¿require¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿Identifier
3232¿Literal¿string¿5522¿¿'util'¿¿{"start":{"line":3,"column":20},"end":{"line":3,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿Literal
3233¿VariableDeclarator¿¿5522¿v307¿¿¿{"start":{"line":6,"column":16},"end":{"line":121,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿VariableDeclarator
3234¿FunctionExpression¿¿5522¿anon¿¿¿{"start":{"line":6,"column":16},"end":{"line":121,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿FunctionExpression
3235¿VariableDeclarator¿¿5524¿_items¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/alfred-workflow-nodejs_2.0.1/src/alfredNode.js"}¿¿VariableDeclarator
