Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
548¿Program¿¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":96,"column":2},"fname":"/datasets/secbench-dataset/CWE-78/connection-tester_0.2.0/src/index.js"}¿¿Program
549¿ExpressionStatement¿¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/connection-tester_0.2.0/src/index.js"}¿¿ExpressionStatement
550¿Literal¿string¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/connection-tester_0.2.0/src/index.js"}¿¿Literal
551¿VariableDeclarator¿¿net¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/connection-tester_0.2.0/src/index.js"}¿¿VariableDeclarator
552¿CallExpression¿¿¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/connection-tester_0.2.0/src/index.js"}¿¿CallExpression
553¿Identifier¿¿require¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/connection-tester_0.2.0/src/index.js"}¿¿Identifier
554¿Literal¿string¿¿'net'¿¿{"start":{"line":3,"column":20},"end":{"line":3,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/connection-tester_0.2.0/src/index.js"}¿¿Literal
555¿VariableDeclarator¿¿util¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/connection-tester_0.2.0/src/index.js"}¿¿VariableDeclarator
556¿CallExpression¿¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/connection-tester_0.2.0/src/index.js"}¿¿CallExpression
557¿Identifier¿¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/connection-tester_0.2.0/src/index.js"}¿¿Identifier
558¿Literal¿string¿¿'util'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/connection-tester_0.2.0/src/index.js"}¿¿Literal
559¿VariableDeclarator¿¿path¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/connection-tester_0.2.0/src/index.js"}¿¿VariableDeclarator
560¿CallExpression¿¿¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/connection-tester_0.2.0/src/index.js"}¿¿CallExpression
561¿Identifier¿¿require¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/connection-tester_0.2.0/src/index.js"}¿¿Identifier
562¿Literal¿string¿¿'path'¿¿{"start":{"line":5,"column":21},"end":{"line":5,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/connection-tester_0.2.0/src/index.js"}¿¿Literal
563¿VariableDeclarator¿¿shell¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/connection-tester_0.2.0/src/index.js"}¿¿VariableDeclarator
564¿CallExpression¿¿¿¿¿{"start":{"line":6,"column":14},"end":{"line":6,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/connection-tester_0.2.0/src/index.js"}¿¿CallExpression
565¿Identifier¿¿require¿¿¿{"start":{"line":6,"column":14},"end":{"line":6,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/connection-tester_0.2.0/src/index.js"}¿¿Identifier
566¿Literal¿string¿¿'child_process'¿¿{"start":{"line":6,"column":22},"end":{"line":6,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/connection-tester_0.2.0/src/index.js"}¿¿Literal
567¿VariableDeclarator¿¿SOCKET_TIMEOUT¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/connection-tester_0.2.0/src/index.js"}¿¿VariableDeclarator
568¿Literal¿number¿¿1000¿¿{"start":{"line":8,"column":21},"end":{"line":8,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/connection-tester_0.2.0/src/index.js"}¿¿Literal
569¿VariableDeclarator¿¿testSync¿¿¿¿¿VariableDeclarator
570¿FunctionExpression¿¿anon¿¿¿{"start":{"line":10,"column":0},"end":{"line":32,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/connection-tester_0.2.0/src/index.js"}¿¿FunctionExpression
571¿Identifier¿¿host¿¿¿{"start":{"line":10,"column":18},"end":{"line":10,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/connection-tester_0.2.0/src/index.js"}¿¿Identifier
572¿Identifier¿¿port¿¿¿{"start":{"line":10,"column":24},"end":{"line":10,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/connection-tester_0.2.0/src/index.js"}¿¿Identifier
