Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
373¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":49,"column":2},"fname":"/datasets/secbench-dataset/CWE-78/diskusage-ng_0.2.6/src/posix.js"}¿¿Program
374¿ExpressionStatement¿¿640¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/diskusage-ng_0.2.6/src/posix.js"}¿¿ExpressionStatement
375¿Literal¿string¿640¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/diskusage-ng_0.2.6/src/posix.js"}¿¿Literal
376¿VariableDeclarator¿¿640¿v39¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/diskusage-ng_0.2.6/src/posix.js"}¿¿VariableDeclarator
377¿CallExpression¿¿640¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/diskusage-ng_0.2.6/src/posix.js"}¿¿CallExpression
378¿Identifier¿¿640¿require¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/diskusage-ng_0.2.6/src/posix.js"}¿¿Identifier
379¿Literal¿string¿640¿¿'child_process'¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/diskusage-ng_0.2.6/src/posix.js"}¿¿Literal
380¿VariableDeclarator¿¿640¿exec¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/diskusage-ng_0.2.6/src/posix.js"}¿¿VariableDeclarator
381¿MemberExpression¿¿640¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/diskusage-ng_0.2.6/src/posix.js"}¿¿MemberExpression
382¿Identifier¿¿640¿v39¿¿¿¿¿Identifier
383¿Identifier¿¿640¿exec¿¿¿{"start":{"line":3,"column":36},"end":{"line":3,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/diskusage-ng_0.2.6/src/posix.js"}¿¿Identifier
384¿VariableDeclarator¿¿640¿v40¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/diskusage-ng_0.2.6/src/posix.js"}¿¿VariableDeclarator
385¿CallExpression¿¿640¿¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/diskusage-ng_0.2.6/src/posix.js"}¿¿CallExpression
386¿Identifier¿¿640¿require¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/diskusage-ng_0.2.6/src/posix.js"}¿¿Identifier
387¿Literal¿string¿640¿¿'./utils'¿¿{"start":{"line":4,"column":23},"end":{"line":4,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/diskusage-ng_0.2.6/src/posix.js"}¿¿Literal
388¿VariableDeclarator¿¿640¿isDigits¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/diskusage-ng_0.2.6/src/posix.js"}¿¿VariableDeclarator
389¿MemberExpression¿¿640¿¿¿¿{"start":{"line":4,"column":15},"end":{"line":4,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/diskusage-ng_0.2.6/src/posix.js"}¿¿MemberExpression
390¿Identifier¿¿640¿v40¿¿¿¿¿Identifier
391¿Identifier¿¿640¿isDigits¿¿¿{"start":{"line":4,"column":34},"end":{"line":4,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/diskusage-ng_0.2.6/src/posix.js"}¿¿Identifier
392¿VariableDeclarator¿exported¿640¿diskusage¿¿¿{"start":{"line":6,"column":0},"end":{"line":22,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/diskusage-ng_0.2.6/src/posix.js"}¿¿VariableDeclarator
393¿FunctionExpression¿¿640¿anon¿¿¿{"start":{"line":6,"column":0},"end":{"line":22,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/diskusage-ng_0.2.6/src/posix.js"}¿¿FunctionExpression
394¿Identifier¿¿0¿path¿¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/diskusage-ng_0.2.6/src/posix.js"}¿¿Identifier
395¿Identifier¿¿0¿cb¿¿¿{"start":{"line":6,"column":25},"end":{"line":6,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/diskusage-ng_0.2.6/src/posix.js"}¿¿Identifier
396¿VariableDeclarator¿¿642¿v41¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/diskusage-ng_0.2.6/src/posix.js"}¿¿VariableDeclarator
397¿CallExpression¿¿642¿¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/diskusage-ng_0.2.6/src/posix.js"}¿¿CallExpression
398¿MemberExpression¿¿642¿¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/diskusage-ng_0.2.6/src/posix.js"}¿¿MemberExpression
399¿Identifier¿¿642¿path¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/diskusage-ng_0.2.6/src/posix.js"}¿¿Identifier
400¿Identifier¿¿642¿indexOf¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/diskusage-ng_0.2.6/src/posix.js"}¿¿Identifier
401¿Literal¿string¿642¿¿'''¿¿{"start":{"line":7,"column":21},"end":{"line":7,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/diskusage-ng_0.2.6/src/posix.js"}¿¿Literal
402¿VariableDeclarator¿¿642¿v42¿¿¿{"start":{"line":7,"column":30},"end":{"line":7,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/diskusage-ng_0.2.6/src/posix.js"}¿¿VariableDeclarator
403¿UnaryExpression¿-¿642¿¿¿¿{"start":{"line":7,"column":30},"end":{"line":7,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/diskusage-ng_0.2.6/src/posix.js"}¿¿UnaryExpression
404¿Literal¿number¿642¿¿1¿¿{"start":{"line":7,"column":31},"end":{"line":7,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/diskusage-ng_0.2.6/src/posix.js"}¿¿Literal
405¿VariableDeclarator¿¿642¿v43¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/diskusage-ng_0.2.6/src/posix.js"}¿¿VariableDeclarator
406¿BinaryExpression¿!==¿642¿¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/diskusage-ng_0.2.6/src/posix.js"}¿¿BinaryExpression
407¿Identifier¿¿642¿v41¿¿¿¿¿Identifier
408¿Identifier¿¿642¿v42¿¿¿¿¿Identifier
409¿IfStatement¿¿642¿¿¿¿{"start":{"line":7,"column":4},"end":{"line":9,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/diskusage-ng_0.2.6/src/posix.js"}¿¿IfStatement
410¿Identifier¿¿642¿v43¿¿¿¿¿Identifier
411¿VariableDeclarator¿¿642¿v44¿¿¿{"start":{"line":8,"column":18},"end":{"line":8,"column":77},"fname":"/datasets/secbench-dataset/CWE-78/diskusage-ng_0.2.6/src/posix.js"}¿¿VariableDeclarator
412¿NewExpression¿¿642¿¿¿¿{"start":{"line":8,"column":18},"end":{"line":8,"column":77},"fname":"/datasets/secbench-dataset/CWE-78/diskusage-ng_0.2.6/src/posix.js"}¿¿NewExpression
413¿Identifier¿¿642¿Error¿¿¿{"start":{"line":8,"column":22},"end":{"line":8,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/diskusage-ng_0.2.6/src/posix.js"}¿¿Identifier
414¿Literal¿string¿642¿¿'Paths with double quotes are not supported yet'¿¿{"start":{"line":8,"column":28},"end":{"line":8,"column":76},"fname":"/datasets/secbench-dataset/CWE-78/diskusage-ng_0.2.6/src/posix.js"}¿¿Literal
415¿VariableDeclarator¿¿642¿v45¿¿¿{"start":{"line":8,"column":15},"end":{"line":8,"column":78},"fname":"/datasets/secbench-dataset/CWE-78/diskusage-ng_0.2.6/src/posix.js"}¿¿VariableDeclarator
416¿CallExpression¿¿642¿¿¿¿{"start":{"line":8,"column":15},"end":{"line":8,"column":78},"fname":"/datasets/secbench-dataset/CWE-78/diskusage-ng_0.2.6/src/posix.js"}¿¿CallExpression
417¿Identifier¿¿642¿cb¿¿¿{"start":{"line":8,"column":15},"end":{"line":8,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/diskusage-ng_0.2.6/src/posix.js"}¿¿Identifier
418¿Identifier¿¿642¿v44¿¿¿¿¿Identifier
419¿ReturnStatement¿¿642¿¿¿¿{"start":{"line":8,"column":8},"end":{"line":8,"column":79},"fname":"/datasets/secbench-dataset/CWE-78/diskusage-ng_0.2.6/src/posix.js"}¿¿ReturnStatement
420¿Identifier¿¿642¿v45¿¿¿¿¿Identifier
