Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
679¿Program¿¿-1¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":126,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/enpeem_2.2.0/src/index.js"}¿¿Program
680¿VariableDeclarator¿¿1192¿v75¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/enpeem_2.2.0/src/index.js"}¿¿VariableDeclarator
681¿CallExpression¿¿1192¿¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/enpeem_2.2.0/src/index.js"}¿¿CallExpression
682¿Identifier¿¿1192¿require¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/enpeem_2.2.0/src/index.js"}¿¿Identifier
683¿Literal¿string¿1192¿¿'./reduceStream'¿¿{"start":{"line":5,"column":21},"end":{"line":5,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/enpeem_2.2.0/src/index.js"}¿¿Literal
684¿VariableDeclarator¿¿1192¿concat¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/enpeem_2.2.0/src/index.js"}¿¿VariableDeclarator
685¿MemberExpression¿¿1192¿¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/enpeem_2.2.0/src/index.js"}¿¿MemberExpression
686¿Identifier¿¿1192¿v75¿¿¿¿¿Identifier
687¿Identifier¿¿1192¿concat¿¿¿{"start":{"line":5,"column":39},"end":{"line":5,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/enpeem_2.2.0/src/index.js"}¿¿Identifier
688¿VariableDeclarator¿¿1192¿v76¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/enpeem_2.2.0/src/index.js"}¿¿VariableDeclarator
689¿CallExpression¿¿1192¿¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/enpeem_2.2.0/src/index.js"}¿¿CallExpression
690¿Identifier¿¿1192¿require¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/enpeem_2.2.0/src/index.js"}¿¿Identifier
691¿Literal¿string¿1192¿¿'child_process'¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/enpeem_2.2.0/src/index.js"}¿¿Literal
692¿VariableDeclarator¿¿1192¿exec¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/enpeem_2.2.0/src/index.js"}¿¿VariableDeclarator
693¿MemberExpression¿¿1192¿¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/enpeem_2.2.0/src/index.js"}¿¿MemberExpression
694¿Identifier¿¿1192¿v76¿¿¿¿¿Identifier
695¿Identifier¿¿1192¿exec¿¿¿{"start":{"line":6,"column":36},"end":{"line":6,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/enpeem_2.2.0/src/index.js"}¿¿Identifier
696¿VariableDeclarator¿¿1192¿Err¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/enpeem_2.2.0/src/index.js"}¿¿VariableDeclarator
697¿CallExpression¿¿1192¿¿¿¿{"start":{"line":7,"column":10},"end":{"line":7,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/enpeem_2.2.0/src/index.js"}¿¿CallExpression
698¿Identifier¿¿1192¿require¿¿¿{"start":{"line":7,"column":10},"end":{"line":7,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/enpeem_2.2.0/src/index.js"}¿¿Identifier
699¿Literal¿string¿1192¿¿'./errors'¿¿{"start":{"line":7,"column":18},"end":{"line":7,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/enpeem_2.2.0/src/index.js"}¿¿Literal
