Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
441¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":84,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/eslint-fixer_0.1.5/src/index.js"}¿¿Program
442¿VariableDeclarator¿¿745¿path¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/eslint-fixer_0.1.5/src/index.js"}¿¿VariableDeclarator
443¿CallExpression¿¿745¿¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/eslint-fixer_0.1.5/src/index.js"}¿¿CallExpression
444¿Identifier¿¿745¿require¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/eslint-fixer_0.1.5/src/index.js"}¿¿Identifier
445¿Literal¿string¿745¿¿'path'¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/eslint-fixer_0.1.5/src/index.js"}¿¿Literal
446¿VariableDeclarator¿¿745¿childProcess¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/eslint-fixer_0.1.5/src/index.js"}¿¿VariableDeclarator
447¿CallExpression¿¿745¿¿¿¿{"start":{"line":2,"column":21},"end":{"line":2,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/eslint-fixer_0.1.5/src/index.js"}¿¿CallExpression
448¿Identifier¿¿745¿require¿¿¿{"start":{"line":2,"column":21},"end":{"line":2,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/eslint-fixer_0.1.5/src/index.js"}¿¿Identifier
449¿Literal¿string¿745¿¿'child_process'¿¿{"start":{"line":2,"column":29},"end":{"line":2,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/eslint-fixer_0.1.5/src/index.js"}¿¿Literal
450¿VariableDeclarator¿¿745¿pWaitFor¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/eslint-fixer_0.1.5/src/index.js"}¿¿VariableDeclarator
451¿CallExpression¿¿745¿¿¿¿{"start":{"line":3,"column":17},"end":{"line":3,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/eslint-fixer_0.1.5/src/index.js"}¿¿CallExpression
452¿Identifier¿¿745¿require¿¿¿{"start":{"line":3,"column":17},"end":{"line":3,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/eslint-fixer_0.1.5/src/index.js"}¿¿Identifier
453¿Literal¿string¿745¿¿'p-wait-for'¿¿{"start":{"line":3,"column":25},"end":{"line":3,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/eslint-fixer_0.1.5/src/index.js"}¿¿Literal
454¿VariableDeclarator¿¿745¿cacheIsEslintAvailable¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/eslint-fixer_0.1.5/src/index.js"}¿¿VariableDeclarator
455¿VariableDeclarator¿¿745¿eslintCheckInProgress¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/eslint-fixer_0.1.5/src/index.js"}¿¿VariableDeclarator
456¿Literal¿boolean¿745¿¿false¿¿{"start":{"line":6,"column":28},"end":{"line":6,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/eslint-fixer_0.1.5/src/index.js"}¿¿Literal
457¿VariableDeclarator¿¿745¿exec¿¿¿{"start":{"line":21,"column":0},"end":{"line":32,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/eslint-fixer_0.1.5/src/index.js"}¿¿VariableDeclarator
458¿FunctionExpression¿¿745¿anon¿¿¿{"start":{"line":21,"column":0},"end":{"line":32,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/eslint-fixer_0.1.5/src/index.js"}¿¿FunctionExpression
459¿Identifier¿¿0¿cmd¿¿¿{"start":{"line":21,"column":14},"end":{"line":21,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/eslint-fixer_0.1.5/src/index.js"}¿¿Identifier
460¿VariableDeclarator¿¿747¿v42¿¿¿{"start":{"line":22,"column":21},"end":{"line":31,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/eslint-fixer_0.1.5/src/index.js"}¿¿VariableDeclarator
461¿ArrowFunctionExpression¿¿747¿¿¿¿{"start":{"line":22,"column":21},"end":{"line":31,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/eslint-fixer_0.1.5/src/index.js"}¿¿ArrowFunctionExpression
462¿Identifier¿¿0¿resolve¿¿¿{"start":{"line":22,"column":22},"end":{"line":22,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/eslint-fixer_0.1.5/src/index.js"}¿¿Identifier
463¿Identifier¿¿0¿reject¿¿¿{"start":{"line":22,"column":31},"end":{"line":22,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/eslint-fixer_0.1.5/src/index.js"}¿¿Identifier
464¿VariableDeclarator¿¿749¿v40¿¿¿{"start":{"line":24,"column":27},"end":{"line":30,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/eslint-fixer_0.1.5/src/index.js"}¿¿VariableDeclarator
465¿ArrowFunctionExpression¿¿749¿¿¿¿{"start":{"line":24,"column":27},"end":{"line":30,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/eslint-fixer_0.1.5/src/index.js"}¿¿ArrowFunctionExpression
466¿Identifier¿¿0¿error¿¿¿{"start":{"line":24,"column":28},"end":{"line":24,"column":33},"fname":"/datasets/secbench-dataset/CWE-78/eslint-fixer_0.1.5/src/index.js"}¿¿Identifier
467¿Identifier¿¿0¿stdout¿¿¿{"start":{"line":24,"column":35},"end":{"line":24,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/eslint-fixer_0.1.5/src/index.js"}¿¿Identifier
468¿Identifier¿¿0¿stderr¿¿¿{"start":{"line":24,"column":43},"end":{"line":24,"column":49},"fname":"/datasets/secbench-dataset/CWE-78/eslint-fixer_0.1.5/src/index.js"}¿¿Identifier
469¿IfStatement¿¿751¿¿¿¿{"start":{"line":25,"column":6},"end":{"line":27,"column":7},"fname":"/datasets/secbench-dataset/CWE-78/eslint-fixer_0.1.5/src/index.js"}¿¿IfStatement
470¿Identifier¿¿751¿error¿¿¿{"start":{"line":25,"column":10},"end":{"line":25,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/eslint-fixer_0.1.5/src/index.js"}¿¿Identifier
471¿ExpressionStatement¿¿751¿¿¿¿{"start":{"line":26,"column":8},"end":{"line":26,"column":50},"fname":"/datasets/secbench-dataset/CWE-78/eslint-fixer_0.1.5/src/index.js"}¿¿ExpressionStatement
472¿AssignmentExpression¿+=¿751¿¿¿¿{"start":{"line":26,"column":8},"end":{"line":26,"column":49},"fname":"/datasets/secbench-dataset/CWE-78/eslint-fixer_0.1.5/src/index.js"}¿¿AssignmentExpression
