Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
550¿Program¿¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":65,"column":2},"fname":"/datasets/secbench-dataset/CWE-78/ffmpeg-sdk_0.0.5/src/index.js"}¿¿Program
551¿VariableDeclarator¿¿v53¿¿¿¿¿VariableDeclarator
552¿CallExpression¿¿¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/ffmpeg-sdk_0.0.5/src/index.js"}¿¿CallExpression
553¿Identifier¿¿require¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/ffmpeg-sdk_0.0.5/src/index.js"}¿¿Identifier
554¿Literal¿string¿¿'child_process'¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/ffmpeg-sdk_0.0.5/src/index.js"}¿¿Literal
555¿VariableDeclarator¿¿exec¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/ffmpeg-sdk_0.0.5/src/index.js"}¿¿VariableDeclarator
556¿MemberExpression¿¿¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/ffmpeg-sdk_0.0.5/src/index.js"}¿¿MemberExpression
557¿Identifier¿¿v53¿¿¿¿¿Identifier
558¿Identifier¿¿exec¿¿¿{"start":{"line":1,"column":38},"end":{"line":1,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/ffmpeg-sdk_0.0.5/src/index.js"}¿¿Identifier
559¿VariableDeclarator¿exported¿execute¿¿¿¿¿VariableDeclarator
560¿FunctionExpression¿¿anon¿¿¿{"start":{"line":7,"column":0},"end":{"line":17,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/ffmpeg-sdk_0.0.5/src/index.js"}¿¿FunctionExpression
561¿Identifier¿¿command¿¿¿{"start":{"line":7,"column":17},"end":{"line":7,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/ffmpeg-sdk_0.0.5/src/index.js"}¿¿Identifier
562¿VariableDeclarator¿¿v58¿¿¿¿¿VariableDeclarator
563¿ArrowFunctionExpression¿¿¿¿¿{"start":{"line":8,"column":21},"end":{"line":16,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/ffmpeg-sdk_0.0.5/src/index.js"}¿¿ArrowFunctionExpression
564¿Identifier¿¿resolve¿¿¿{"start":{"line":8,"column":22},"end":{"line":8,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/ffmpeg-sdk_0.0.5/src/index.js"}¿¿Identifier
565¿Identifier¿¿reject¿¿¿{"start":{"line":8,"column":31},"end":{"line":8,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/ffmpeg-sdk_0.0.5/src/index.js"}¿¿Identifier
566¿VariableDeclarator¿¿v56¿¿¿¿¿VariableDeclarator
567¿ArrowFunctionExpression¿¿¿¿¿{"start":{"line":9,"column":18},"end":{"line":15,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/ffmpeg-sdk_0.0.5/src/index.js"}¿¿ArrowFunctionExpression
568¿Identifier¿¿error¿¿¿{"start":{"line":9,"column":19},"end":{"line":9,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/ffmpeg-sdk_0.0.5/src/index.js"}¿¿Identifier
569¿Identifier¿¿stdout¿¿¿{"start":{"line":9,"column":26},"end":{"line":9,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/ffmpeg-sdk_0.0.5/src/index.js"}¿¿Identifier
570¿Identifier¿¿stderr¿¿¿{"start":{"line":9,"column":34},"end":{"line":9,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/ffmpeg-sdk_0.0.5/src/index.js"}¿¿Identifier
571¿IfStatement¿¿¿¿¿{"start":{"line":10,"column":6},"end":{"line":14,"column":7},"fname":"/datasets/secbench-dataset/CWE-78/ffmpeg-sdk_0.0.5/src/index.js"}¿¿IfStatement
