Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1413¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":208,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/ffmpegdotjs_0.0.4/src/index.js"}¿¿Program
1414¿VariableDeclarator¿¿2342¿v135¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/ffmpegdotjs_0.0.4/src/index.js"}¿¿VariableDeclarator
1415¿CallExpression¿¿2342¿¿¿¿{"start":{"line":1,"column":17},"end":{"line":1,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/ffmpegdotjs_0.0.4/src/index.js"}¿¿CallExpression
1416¿Identifier¿¿2342¿require¿¿¿{"start":{"line":1,"column":17},"end":{"line":1,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/ffmpegdotjs_0.0.4/src/index.js"}¿¿Identifier
1417¿Literal¿string¿2342¿¿'child_process'¿¿{"start":{"line":1,"column":25},"end":{"line":1,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/ffmpegdotjs_0.0.4/src/index.js"}¿¿Literal
1418¿VariableDeclarator¿¿2342¿exec¿¿¿{"start":{"line":1,"column":8},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/ffmpegdotjs_0.0.4/src/index.js"}¿¿VariableDeclarator
1419¿MemberExpression¿¿2342¿¿¿¿{"start":{"line":1,"column":8},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/ffmpegdotjs_0.0.4/src/index.js"}¿¿MemberExpression
1420¿Identifier¿¿2342¿v135¿¿¿¿¿Identifier
1421¿Identifier¿¿2342¿exec¿¿¿{"start":{"line":1,"column":8},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/ffmpegdotjs_0.0.4/src/index.js"}¿¿Identifier
1422¿VariableDeclarator¿¿2342¿fs¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/ffmpegdotjs_0.0.4/src/index.js"}¿¿VariableDeclarator
