Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
753¿Program¿¿-1¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":173,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Program
754¿ExpressionStatement¿¿1292¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿ExpressionStatement
755¿Literal¿string¿1292¿¿'use strict'¿¿{"start":{"line":8,"column":0},"end":{"line":8,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Literal
756¿VariableDeclarator¿¿1292¿cp¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
757¿CallExpression¿¿1292¿¿¿¿{"start":{"line":10,"column":11},"end":{"line":10,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿CallExpression
758¿Identifier¿¿1292¿require¿¿¿{"start":{"line":10,"column":11},"end":{"line":10,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
759¿Literal¿string¿1292¿¿'child_process'¿¿{"start":{"line":10,"column":19},"end":{"line":10,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Literal
760¿VariableDeclarator¿¿1292¿UNIT_MB¿¿¿{"start":{"line":12,"column":6},"end":{"line":12,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
761¿BinaryExpression¿*¿1292¿¿¿¿{"start":{"line":12,"column":16},"end":{"line":12,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿BinaryExpression
762¿Literal¿number¿1292¿¿1024¿¿{"start":{"line":12,"column":16},"end":{"line":12,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Literal
763¿Literal¿number¿1292¿¿1024¿¿{"start":{"line":12,"column":23},"end":{"line":12,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Literal
764¿VariableDeclarator¿exported¿1292¿v67¿¿¿{"start":{"line":18,"column":7},"end":{"line":23,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
765¿FunctionExpression¿¿1292¿anon¿¿¿{"start":{"line":18,"column":7},"end":{"line":23,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿FunctionExpression
766¿Identifier¿¿0¿cmd¿¿¿{"start":{"line":18,"column":8},"end":{"line":18,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
767¿Identifier¿¿0¿callback¿¿¿{"start":{"line":18,"column":13},"end":{"line":18,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
768¿VariableDeclarator¿¿1294¿v64¿¿¿{"start":{"line":20,"column":17},"end":{"line":20,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
