Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
2020¿Program¿¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":296,"column":2},"fname":"/datasets/secbench-dataset/CWE-78/git-lib_1.6.0/src/git.js"}¿¿Program
2021¿ExpressionStatement¿¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/git-lib_1.6.0/src/git.js"}¿¿ExpressionStatement
2022¿Literal¿string¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/git-lib_1.6.0/src/git.js"}¿¿Literal
2023¿VariableDeclarator¿¿Promise¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/git-lib_1.6.0/src/git.js"}¿¿VariableDeclarator
2024¿CallExpression¿¿¿¿¿{"start":{"line":2,"column":14},"end":{"line":2,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/git-lib_1.6.0/src/git.js"}¿¿CallExpression
2025¿Identifier¿¿require¿¿¿{"start":{"line":2,"column":14},"end":{"line":2,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/git-lib_1.6.0/src/git.js"}¿¿Identifier
2026¿Literal¿string¿¿'promise'¿¿{"start":{"line":2,"column":22},"end":{"line":2,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/git-lib_1.6.0/src/git.js"}¿¿Literal
2027¿VariableDeclarator¿¿v172¿¿¿¿¿VariableDeclarator
2028¿CallExpression¿¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/git-lib_1.6.0/src/git.js"}¿¿CallExpression
2029¿Identifier¿¿require¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/git-lib_1.6.0/src/git.js"}¿¿Identifier
2030¿Literal¿string¿¿'child_process'¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/git-lib_1.6.0/src/git.js"}¿¿Literal
2031¿VariableDeclarator¿¿exec¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/git-lib_1.6.0/src/git.js"}¿¿VariableDeclarator
2032¿MemberExpression¿¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/git-lib_1.6.0/src/git.js"}¿¿MemberExpression
2033¿Identifier¿¿v172¿¿¿¿¿Identifier
2034¿Identifier¿¿exec¿¿¿{"start":{"line":3,"column":36},"end":{"line":3,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/git-lib_1.6.0/src/git.js"}¿¿Identifier
