Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
507¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":41,"column":2},"fname":"/datasets/secbench-dataset/CWE-78/git-tags-remote_1.0.2/src/index.js"}¿¿Program
508¿VariableDeclarator¿¿838¿semver¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/git-tags-remote_1.0.2/src/index.js"}¿¿VariableDeclarator
509¿CallExpression¿¿838¿¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/git-tags-remote_1.0.2/src/index.js"}¿¿CallExpression
510¿Identifier¿¿838¿require¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/git-tags-remote_1.0.2/src/index.js"}¿¿Identifier
511¿Literal¿string¿838¿¿'semver'¿¿{"start":{"line":1,"column":23},"end":{"line":1,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/git-tags-remote_1.0.2/src/index.js"}¿¿Literal
512¿VariableDeclarator¿¿838¿v53¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/git-tags-remote_1.0.2/src/index.js"}¿¿VariableDeclarator
513¿CallExpression¿¿838¿¿¿¿{"start":{"line":2,"column":17},"end":{"line":2,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/git-tags-remote_1.0.2/src/index.js"}¿¿CallExpression
514¿Identifier¿¿838¿require¿¿¿{"start":{"line":2,"column":17},"end":{"line":2,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/git-tags-remote_1.0.2/src/index.js"}¿¿Identifier
515¿Literal¿string¿838¿¿'child_process'¿¿{"start":{"line":2,"column":25},"end":{"line":2,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/git-tags-remote_1.0.2/src/index.js"}¿¿Literal
516¿VariableDeclarator¿¿838¿exec¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/git-tags-remote_1.0.2/src/index.js"}¿¿VariableDeclarator
517¿MemberExpression¿¿838¿¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/git-tags-remote_1.0.2/src/index.js"}¿¿MemberExpression
518¿Identifier¿¿838¿v53¿¿¿¿¿Identifier
519¿Identifier¿¿838¿exec¿¿¿{"start":{"line":2,"column":8},"end":{"line":2,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/git-tags-remote_1.0.2/src/index.js"}¿¿Identifier
520¿VariableDeclarator¿¿838¿lsRemoteTags¿¿¿{"start":{"line":4,"column":6},"end":{"line":9,"column":2},"fname":"/datasets/secbench-dataset/CWE-78/git-tags-remote_1.0.2/src/index.js"}¿¿VariableDeclarator
521¿ArrowFunctionExpression¿¿838¿¿¿¿{"start":{"line":4,"column":21},"end":{"line":9,"column":2},"fname":"/datasets/secbench-dataset/CWE-78/git-tags-remote_1.0.2/src/index.js"}¿¿ArrowFunctionExpression
522¿Identifier¿¿0¿repo¿¿¿{"start":{"line":4,"column":22},"end":{"line":4,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/git-tags-remote_1.0.2/src/index.js"}¿¿Identifier
523¿VariableDeclarator¿¿840¿v62¿¿¿{"start":{"line":4,"column":43},"end":{"line":9,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/git-tags-remote_1.0.2/src/index.js"}¿¿VariableDeclarator
524¿ArrowFunctionExpression¿¿840¿¿¿¿{"start":{"line":4,"column":43},"end":{"line":9,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/git-tags-remote_1.0.2/src/index.js"}¿¿ArrowFunctionExpression
525¿Identifier¿¿0¿resolve¿¿¿{"start":{"line":4,"column":44},"end":{"line":4,"column":51},"fname":"/datasets/secbench-dataset/CWE-78/git-tags-remote_1.0.2/src/index.js"}¿¿Identifier
526¿Identifier¿¿0¿reject¿¿¿{"start":{"line":4,"column":53},"end":{"line":4,"column":59},"fname":"/datasets/secbench-dataset/CWE-78/git-tags-remote_1.0.2/src/index.js"}¿¿Identifier
527¿VariableDeclarator¿¿842¿v54¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/git-tags-remote_1.0.2/src/index.js"}¿¿VariableDeclarator
528¿TemplateLiteral¿¿842¿¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/git-tags-remote_1.0.2/src/index.js"}¿¿TemplateLiteral
529¿Identifier¿¿842¿repo¿¿¿{"start":{"line":5,"column":30},"end":{"line":5,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/git-tags-remote_1.0.2/src/index.js"}¿¿Identifier
