Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
2229¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":231,"column":2},"fname":"/datasets/secbench-dataset/CWE-78/giting_0.0.7/src/git.js"}¿¿Program
2230¿VariableDeclarator¿¿3873¿os¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/giting_0.0.7/src/git.js"}¿¿VariableDeclarator
2231¿CallExpression¿¿3873¿¿¿¿{"start":{"line":1,"column":9},"end":{"line":1,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/giting_0.0.7/src/git.js"}¿¿CallExpression
2232¿Identifier¿¿3873¿require¿¿¿{"start":{"line":1,"column":9},"end":{"line":1,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/giting_0.0.7/src/git.js"}¿¿Identifier
2233¿Literal¿string¿3873¿¿'os'¿¿{"start":{"line":1,"column":17},"end":{"line":1,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/giting_0.0.7/src/git.js"}¿¿Literal
2234¿VariableDeclarator¿¿3873¿fs¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/giting_0.0.7/src/git.js"}¿¿VariableDeclarator
2235¿CallExpression¿¿3873¿¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/giting_0.0.7/src/git.js"}¿¿CallExpression
2236¿Identifier¿¿3873¿require¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/giting_0.0.7/src/git.js"}¿¿Identifier
2237¿Literal¿string¿3873¿¿'fs'¿¿{"start":{"line":2,"column":17},"end":{"line":2,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/giting_0.0.7/src/git.js"}¿¿Literal
2238¿VariableDeclarator¿¿3873¿path¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/giting_0.0.7/src/git.js"}¿¿VariableDeclarator
2239¿CallExpression¿¿3873¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/giting_0.0.7/src/git.js"}¿¿CallExpression
2240¿Identifier¿¿3873¿require¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/giting_0.0.7/src/git.js"}¿¿Identifier
2241¿Literal¿string¿3873¿¿'path'¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/giting_0.0.7/src/git.js"}¿¿Literal
2242¿VariableDeclarator¿¿3873¿crypto¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/giting_0.0.7/src/git.js"}¿¿VariableDeclarator
2243¿CallExpression¿¿3873¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/giting_0.0.7/src/git.js"}¿¿CallExpression
2244¿Identifier¿¿3873¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/giting_0.0.7/src/git.js"}¿¿Identifier
2245¿Literal¿string¿3873¿¿'crypto'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/giting_0.0.7/src/git.js"}¿¿Literal
2246¿VariableDeclarator¿¿3873¿child¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/giting_0.0.7/src/git.js"}¿¿VariableDeclarator
