Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1522¿Program¿¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":257,"column":2},"fname":"/datasets/secbench-dataset/CWE-78/imagickal_5.0.1/src/imagickal.js"}¿¿Program
1523¿ExpressionStatement¿¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/imagickal_5.0.1/src/imagickal.js"}¿¿ExpressionStatement
1524¿Literal¿string¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/imagickal_5.0.1/src/imagickal.js"}¿¿Literal
1525¿VariableDeclarator¿¿Promise¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/imagickal_5.0.1/src/imagickal.js"}¿¿VariableDeclarator
1526¿CallExpression¿¿¿¿¿{"start":{"line":2,"column":16},"end":{"line":2,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/imagickal_5.0.1/src/imagickal.js"}¿¿CallExpression
1527¿Identifier¿¿require¿¿¿{"start":{"line":2,"column":16},"end":{"line":2,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/imagickal_5.0.1/src/imagickal.js"}¿¿Identifier
1528¿Literal¿string¿¿'bluebird'¿¿{"start":{"line":2,"column":24},"end":{"line":2,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/imagickal_5.0.1/src/imagickal.js"}¿¿Literal
1529¿VariableDeclarator¿¿v154¿¿¿¿¿VariableDeclarator
1530¿CallExpression¿¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/imagickal_5.0.1/src/imagickal.js"}¿¿CallExpression
1531¿Identifier¿¿require¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/imagickal_5.0.1/src/imagickal.js"}¿¿Identifier
