Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1742¿Program¿¿-1¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":334,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Program
1743¿VariableDeclarator¿¿3084¿v175¿¿¿{"start":{"line":2,"column":12},"end":{"line":2,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿VariableDeclarator
1744¿CallExpression¿¿3084¿¿¿¿{"start":{"line":2,"column":12},"end":{"line":2,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿CallExpression
1745¿Identifier¿¿3084¿require¿¿¿{"start":{"line":2,"column":12},"end":{"line":2,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Identifier
1746¿Literal¿string¿3084¿¿'child_process'¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Literal
1747¿VariableDeclarator¿¿3084¿spawn¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿VariableDeclarator
1748¿MemberExpression¿¿3084¿¿¿¿{"start":{"line":2,"column":12},"end":{"line":2,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿MemberExpression
1749¿Identifier¿¿3084¿v175¿¿¿¿¿Identifier
1750¿Identifier¿¿3084¿spawn¿¿¿{"start":{"line":2,"column":37},"end":{"line":2,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Identifier
1751¿VariableDeclarator¿¿3084¿v176¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿VariableDeclarator
1752¿CallExpression¿¿3084¿¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿CallExpression
1753¿Identifier¿¿3084¿require¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Identifier
1754¿Literal¿string¿3084¿¿'child_process'¿¿{"start":{"line":3,"column":20},"end":{"line":3,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Literal
1755¿VariableDeclarator¿¿3084¿exec¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿VariableDeclarator
1756¿MemberExpression¿¿3084¿¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿MemberExpression
1757¿Identifier¿¿3084¿v176¿¿¿¿¿Identifier
1758¿Identifier¿¿3084¿execSync¿¿¿{"start":{"line":3,"column":37},"end":{"line":3,"column":45},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Identifier
1759¿VariableDeclarator¿¿3084¿v177¿¿¿{"start":{"line":5,"column":19},"end":{"line":5,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿VariableDeclarator
1760¿CallExpression¿¿3084¿¿¿¿{"start":{"line":5,"column":19},"end":{"line":5,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿CallExpression
1761¿Identifier¿¿3084¿require¿¿¿{"start":{"line":5,"column":19},"end":{"line":5,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Identifier
1762¿Literal¿string¿3084¿¿'events'¿¿{"start":{"line":5,"column":27},"end":{"line":5,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Literal
1763¿VariableDeclarator¿¿3084¿eventEmitter¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":49},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿VariableDeclarator
1764¿MemberExpression¿¿3084¿¿¿¿{"start":{"line":5,"column":19},"end":{"line":5,"column":49},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿MemberExpression
1765¿Identifier¿¿3084¿v177¿¿¿¿¿Identifier
1766¿Identifier¿¿3084¿EventEmitter¿¿¿{"start":{"line":5,"column":37},"end":{"line":5,"column":49},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Identifier
1767¿VariableDeclarator¿¿3084¿_¿¿¿{"start":{"line":9,"column":4},"end":{"line":9,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿VariableDeclarator
1768¿CallExpression¿¿3084¿¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿CallExpression
1769¿Identifier¿¿3084¿require¿¿¿{"start":{"line":9,"column":8},"end":{"line":9,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Identifier
1770¿Literal¿string¿3084¿¿'lodash'¿¿{"start":{"line":9,"column":16},"end":{"line":9,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Literal
1771¿VariableDeclarator¿¿3084¿commandModule¿¿¿{"start":{"line":13,"column":4},"end":{"line":13,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿VariableDeclarator
1772¿CallExpression¿¿3084¿¿¿¿{"start":{"line":13,"column":20},"end":{"line":13,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿CallExpression
1773¿Identifier¿¿3084¿require¿¿¿{"start":{"line":13,"column":20},"end":{"line":13,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Identifier
1774¿Literal¿string¿3084¿¿'./_commands'¿¿{"start":{"line":13,"column":28},"end":{"line":13,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿Literal
1775¿VariableDeclarator¿¿3084¿controlModule¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿VariableDeclarator
1776¿CallExpression¿¿3084¿¿¿¿{"start":{"line":14,"column":21},"end":{"line":14,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/node-mpv_0.12.2/src/mpv.js"}¿¿CallExpression
