Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
268¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":32,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/node-unrar_0.1.0/src/index.js"}¿¿Program
269¿ExpressionStatement¿¿452¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/node-unrar_0.1.0/src/index.js"}¿¿ExpressionStatement
270¿Literal¿string¿452¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/node-unrar_0.1.0/src/index.js"}¿¿Literal
271¿VariableDeclarator¿¿452¿child_process¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/node-unrar_0.1.0/src/index.js"}¿¿VariableDeclarator
272¿CallExpression¿¿452¿¿¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/node-unrar_0.1.0/src/index.js"}¿¿CallExpression
273¿Identifier¿¿452¿require¿¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":27},"fname":"/datasets/secbench-dataset/CWE-78/node-unrar_0.1.0/src/index.js"}¿¿Identifier
274¿Literal¿string¿452¿¿'child_process'¿¿{"start":{"line":2,"column":28},"end":{"line":2,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/node-unrar_0.1.0/src/index.js"}¿¿Literal
275¿VariableDeclarator¿¿452¿exec¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/node-unrar_0.1.0/src/index.js"}¿¿VariableDeclarator
276¿MemberExpression¿¿452¿¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/node-unrar_0.1.0/src/index.js"}¿¿MemberExpression
277¿Identifier¿¿452¿child_process¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/node-unrar_0.1.0/src/index.js"}¿¿Identifier
278¿Identifier¿¿452¿exec¿¿¿{"start":{"line":3,"column":26},"end":{"line":3,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/node-unrar_0.1.0/src/index.js"}¿¿Identifier
279¿VariableDeclarator¿exported¿452¿UnrarModule¿¿¿{"start":{"line":5,"column":4},"end":{"line":7,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/node-unrar_0.1.0/src/index.js"}¿¿VariableDeclarator
280¿FunctionExpression¿¿452¿anon¿¿¿{"start":{"line":5,"column":18},"end":{"line":7,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/node-unrar_0.1.0/src/index.js"}¿¿FunctionExpression
