Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
412¿Program¿¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":95,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/onion-oled-js_0.0.2/src/oled-exp.js"}¿¿Program
413¿VariableDeclarator¿¿Promise¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/onion-oled-js_0.0.2/src/oled-exp.js"}¿¿VariableDeclarator
414¿CallExpression¿¿¿¿¿{"start":{"line":1,"column":14},"end":{"line":1,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/onion-oled-js_0.0.2/src/oled-exp.js"}¿¿CallExpression
415¿Identifier¿¿require¿¿¿{"start":{"line":1,"column":14},"end":{"line":1,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/onion-oled-js_0.0.2/src/oled-exp.js"}¿¿Identifier
416¿Literal¿string¿¿'promise'¿¿{"start":{"line":1,"column":22},"end":{"line":1,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/onion-oled-js_0.0.2/src/oled-exp.js"}¿¿Literal
417¿VariableDeclarator¿¿v43¿¿¿¿¿VariableDeclarator
418¿CallExpression¿¿¿¿¿{"start":{"line":2,"column":29},"end":{"line":2,"column":53},"fname":"/datasets/secbench-dataset/CWE-78/onion-oled-js_0.0.2/src/oled-exp.js"}¿¿CallExpression
419¿Identifier¿¿require¿¿¿{"start":{"line":2,"column":29},"end":{"line":2,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/onion-oled-js_0.0.2/src/oled-exp.js"}¿¿Identifier
420¿Literal¿string¿¿'child_process'¿¿{"start":{"line":2,"column":37},"end":{"line":2,"column":52},"fname":"/datasets/secbench-dataset/CWE-78/onion-oled-js_0.0.2/src/oled-exp.js"}¿¿Literal
421¿VariableDeclarator¿¿v44¿¿¿¿¿VariableDeclarator
422¿MemberExpression¿¿¿¿¿{"start":{"line":2,"column":29},"end":{"line":2,"column":58},"fname":"/datasets/secbench-dataset/CWE-78/onion-oled-js_0.0.2/src/oled-exp.js"}¿¿MemberExpression
423¿Identifier¿¿v43¿¿¿¿¿Identifier
424¿Identifier¿¿exec¿¿¿{"start":{"line":2,"column":54},"end":{"line":2,"column":58},"fname":"/datasets/secbench-dataset/CWE-78/onion-oled-js_0.0.2/src/oled-exp.js"}¿¿Identifier
425¿VariableDeclarator¿¿exec¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":59},"fname":"/datasets/secbench-dataset/CWE-78/onion-oled-js_0.0.2/src/oled-exp.js"}¿¿VariableDeclarator
426¿CallExpression¿¿¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":59},"fname":"/datasets/secbench-dataset/CWE-78/onion-oled-js_0.0.2/src/oled-exp.js"}¿¿CallExpression
427¿MemberExpression¿¿¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/onion-oled-js_0.0.2/src/oled-exp.js"}¿¿MemberExpression
428¿Identifier¿¿Promise¿¿¿{"start":{"line":2,"column":11},"end":{"line":2,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/onion-oled-js_0.0.2/src/oled-exp.js"}¿¿Identifier
429¿Identifier¿¿denodeify¿¿¿{"start":{"line":2,"column":19},"end":{"line":2,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/onion-oled-js_0.0.2/src/oled-exp.js"}¿¿Identifier
430¿Identifier¿¿v44¿¿¿¿¿Identifier
431¿VariableDeclarator¿¿oledExecutable¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/onion-oled-js_0.0.2/src/oled-exp.js"}¿¿VariableDeclarator
432¿Literal¿string¿¿'/usr/sbin/oled-exp'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/onion-oled-js_0.0.2/src/oled-exp.js"}¿¿Literal
433¿VariableDeclarator¿exported¿v47¿¿¿¿¿VariableDeclarator
434¿FunctionExpression¿¿anon¿¿¿{"start":{"line":16,"column":16},"end":{"line":18,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/onion-oled-js_0.0.2/src/oled-exp.js"}¿¿FunctionExpression
435¿VariableDeclarator¿¿v45¿¿¿¿¿VariableDeclarator
436¿BinaryExpression¿+¿¿¿¿{"start":{"line":17,"column":20},"end":{"line":17,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/onion-oled-js_0.0.2/src/oled-exp.js"}¿¿BinaryExpression
437¿Identifier¿¿oledExecutable¿¿¿{"start":{"line":17,"column":20},"end":{"line":17,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/onion-oled-js_0.0.2/src/oled-exp.js"}¿¿Identifier
438¿Literal¿string¿¿' -i'¿¿{"start":{"line":17,"column":37},"end":{"line":17,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/onion-oled-js_0.0.2/src/oled-exp.js"}¿¿Literal
439¿VariableDeclarator¿¿v46¿¿¿¿¿VariableDeclarator
440¿CallExpression¿¿¿¿¿{"start":{"line":17,"column":15},"end":{"line":17,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/onion-oled-js_0.0.2/src/oled-exp.js"}¿¿CallExpression
441¿Identifier¿¿exec¿¿¿{"start":{"line":17,"column":15},"end":{"line":17,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/onion-oled-js_0.0.2/src/oled-exp.js"}¿¿Identifier
442¿Identifier¿¿v45¿¿¿¿¿Identifier
443¿ReturnStatement¿¿¿¿¿{"start":{"line":17,"column":8},"end":{"line":17,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/onion-oled-js_0.0.2/src/oled-exp.js"}¿¿ReturnStatement
444¿Identifier¿¿v46¿¿¿¿¿Identifier
445¿BlockStatement¿¿¿¿¿{"start":{"line":16,"column":28},"end":{"line":18,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/onion-oled-js_0.0.2/src/oled-exp.js"}¿¿BlockStatement
446¿VariableDeclarator¿exported¿v50¿¿¿¿¿VariableDeclarator
447¿FunctionExpression¿¿anon¿¿¿{"start":{"line":24,"column":11},"end":{"line":26,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/onion-oled-js_0.0.2/src/oled-exp.js"}¿¿FunctionExpression
448¿VariableDeclarator¿¿v48¿¿¿¿¿VariableDeclarator
449¿BinaryExpression¿+¿¿¿¿{"start":{"line":25,"column":20},"end":{"line":25,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/onion-oled-js_0.0.2/src/oled-exp.js"}¿¿BinaryExpression
450¿Identifier¿¿oledExecutable¿¿¿{"start":{"line":25,"column":20},"end":{"line":25,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/onion-oled-js_0.0.2/src/oled-exp.js"}¿¿Identifier
451¿Literal¿string¿¿' -c'¿¿{"start":{"line":25,"column":37},"end":{"line":25,"column":42},"fname":"/datasets/secbench-dataset/CWE-78/onion-oled-js_0.0.2/src/oled-exp.js"}¿¿Literal
452¿VariableDeclarator¿¿v49¿¿¿¿¿VariableDeclarator
453¿CallExpression¿¿¿¿¿{"start":{"line":25,"column":15},"end":{"line":25,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/onion-oled-js_0.0.2/src/oled-exp.js"}¿¿CallExpression
