Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1675¿Program¿¿-1¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":224,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/pdf-image_2.0.0/src/index.js"}¿¿Program
1676¿VariableDeclarator¿¿2848¿v155¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/pdf-image_2.0.0/src/index.js"}¿¿VariableDeclarator
1677¿CallExpression¿¿2848¿¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/pdf-image_2.0.0/src/index.js"}¿¿CallExpression
1678¿Identifier¿¿2848¿require¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/pdf-image_2.0.0/src/index.js"}¿¿Identifier
1679¿Literal¿string¿2848¿¿'es6-promise'¿¿{"start":{"line":3,"column":22},"end":{"line":3,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/pdf-image_2.0.0/src/index.js"}¿¿Literal
1680¿VariableDeclarator¿¿2848¿Promise¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/pdf-image_2.0.0/src/index.js"}¿¿VariableDeclarator
1681¿MemberExpression¿¿2848¿¿¿¿{"start":{"line":3,"column":14},"end":{"line":3,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/pdf-image_2.0.0/src/index.js"}¿¿MemberExpression
1682¿Identifier¿¿2848¿v155¿¿¿¿¿Identifier
1683¿Identifier¿¿2848¿Promise¿¿¿{"start":{"line":3,"column":37},"end":{"line":3,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/pdf-image_2.0.0/src/index.js"}¿¿Identifier
1684¿VariableDeclarator¿¿2848¿path¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/pdf-image_2.0.0/src/index.js"}¿¿VariableDeclarator
1685¿CallExpression¿¿2848¿¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/pdf-image_2.0.0/src/index.js"}¿¿CallExpression
1686¿Identifier¿¿2848¿require¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/pdf-image_2.0.0/src/index.js"}¿¿Identifier
1687¿Literal¿string¿2848¿¿'path'¿¿{"start":{"line":5,"column":19},"end":{"line":5,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/pdf-image_2.0.0/src/index.js"}¿¿Literal
1688¿VariableDeclarator¿¿2848¿fs¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/pdf-image_2.0.0/src/index.js"}¿¿VariableDeclarator
1689¿CallExpression¿¿2848¿¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/pdf-image_2.0.0/src/index.js"}¿¿CallExpression
1690¿Identifier¿¿2848¿require¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/pdf-image_2.0.0/src/index.js"}¿¿Identifier
1691¿Literal¿string¿2848¿¿'fs'¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/pdf-image_2.0.0/src/index.js"}¿¿Literal
1692¿VariableDeclarator¿¿2848¿util¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/pdf-image_2.0.0/src/index.js"}¿¿VariableDeclarator
1693¿CallExpression¿¿2848¿¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/pdf-image_2.0.0/src/index.js"}¿¿CallExpression
1694¿Identifier¿¿2848¿require¿¿¿{"start":{"line":7,"column":11},"end":{"line":7,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/pdf-image_2.0.0/src/index.js"}¿¿Identifier
1695¿Literal¿string¿2848¿¿'util'¿¿{"start":{"line":7,"column":19},"end":{"line":7,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/pdf-image_2.0.0/src/index.js"}¿¿Literal
1696¿VariableDeclarator¿¿2848¿v156¿¿¿{"start":{"line":8,"column":11},"end":{"line":8,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/pdf-image_2.0.0/src/index.js"}¿¿VariableDeclarator
1697¿CallExpression¿¿2848¿¿¿¿{"start":{"line":8,"column":11},"end":{"line":8,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/pdf-image_2.0.0/src/index.js"}¿¿CallExpression
1698¿Identifier¿¿2848¿require¿¿¿{"start":{"line":8,"column":11},"end":{"line":8,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/pdf-image_2.0.0/src/index.js"}¿¿Identifier
1699¿Literal¿string¿2848¿¿'child_process'¿¿{"start":{"line":8,"column":19},"end":{"line":8,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/pdf-image_2.0.0/src/index.js"}¿¿Literal
1700¿VariableDeclarator¿¿2848¿exec¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/pdf-image_2.0.0/src/index.js"}¿¿VariableDeclarator
1701¿MemberExpression¿¿2848¿¿¿¿{"start":{"line":8,"column":11},"end":{"line":8,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/pdf-image_2.0.0/src/index.js"}¿¿MemberExpression
1702¿Identifier¿¿2848¿v156¿¿¿¿¿Identifier
1703¿Identifier¿¿2848¿exec¿¿¿{"start":{"line":8,"column":36},"end":{"line":8,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/pdf-image_2.0.0/src/index.js"}¿¿Identifier
1704¿VariableDeclarator¿exported¿2848¿PDFImage¿¿¿{"start":{"line":10,"column":0},"end":{"line":22,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/pdf-image_2.0.0/src/index.js"}¿¿VariableDeclarator
1705¿FunctionExpression¿¿2848¿anon¿¿¿{"start":{"line":10,"column":0},"end":{"line":22,"column":1},"fname":"/datasets/secbench-dataset/CWE-78/pdf-image_2.0.0/src/index.js"}¿¿FunctionExpression
1706¿Identifier¿¿0¿pdfFilePath¿¿¿{"start":{"line":10,"column":18},"end":{"line":10,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/pdf-image_2.0.0/src/index.js"}¿¿Identifier
1707¿Identifier¿¿0¿options¿¿¿{"start":{"line":10,"column":31},"end":{"line":10,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/pdf-image_2.0.0/src/index.js"}¿¿Identifier
1708¿VariableDeclarator¿¿2850¿v157¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/pdf-image_2.0.0/src/index.js"}¿¿VariableDeclarator
1709¿UnaryExpression¿!¿2850¿¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/pdf-image_2.0.0/src/index.js"}¿¿UnaryExpression
1710¿Identifier¿¿2850¿options¿¿¿{"start":{"line":11,"column":7},"end":{"line":11,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/pdf-image_2.0.0/src/index.js"}¿¿Identifier
1711¿IfStatement¿¿2850¿¿¿¿{"start":{"line":11,"column":2},"end":{"line":11,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/pdf-image_2.0.0/src/index.js"}¿¿IfStatement
1712¿Identifier¿¿2850¿v157¿¿¿¿¿Identifier
1713¿ExpressionStatement¿¿2850¿¿¿¿{"start":{"line":11,"column":16},"end":{"line":11,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/pdf-image_2.0.0/src/index.js"}¿¿ExpressionStatement
