Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
4326¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":379,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Program
4327¿ExpressionStatement¿¿7585¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿ExpressionStatement
4328¿Literal¿string¿7585¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Literal
4329¿VariableDeclarator¿¿7585¿v414¿¿¿{"start":{"line":3,"column":45},"end":{"line":3,"column":60},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿VariableDeclarator
4330¿ObjectExpression¿¿7585¿¿¿¿{"start":{"line":3,"column":45},"end":{"line":3,"column":60},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿ObjectExpression
4331¿Property¿¿7585¿¿¿¿{"start":{"line":3,"column":47},"end":{"line":3,"column":58},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Property
4332¿Identifier¿¿7585¿value¿¿¿{"start":{"line":3,"column":47},"end":{"line":3,"column":52},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Identifier
4333¿Literal¿boolean¿7585¿¿true¿¿{"start":{"line":3,"column":54},"end":{"line":3,"column":58},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Literal
4334¿VariableDeclarator¿¿7585¿v415¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":61},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿VariableDeclarator
4335¿CallExpression¿¿7585¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":61},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿CallExpression
4336¿MemberExpression¿¿7585¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿MemberExpression
4337¿Identifier¿¿7585¿Object¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":6},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Identifier
4338¿Identifier¿¿7585¿defineProperty¿¿¿{"start":{"line":3,"column":7},"end":{"line":3,"column":21},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Identifier
4339¿Identifier¿¿7585¿exports¿¿¿{"start":{"line":3,"column":22},"end":{"line":3,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Identifier
4340¿Literal¿string¿7585¿¿'__esModule'¿¿{"start":{"line":3,"column":31},"end":{"line":3,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Literal
4341¿Identifier¿¿7585¿v414¿¿¿¿¿Identifier
4342¿ExpressionStatement¿¿7585¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":62},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿ExpressionStatement
4343¿Identifier¿¿7585¿v415¿¿¿¿¿Identifier
4344¿VariableDeclarator¿¿7585¿checks¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿VariableDeclarator
4345¿CallExpression¿¿7585¿¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿CallExpression
4346¿Identifier¿¿7585¿require¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Identifier
4347¿Literal¿string¿7585¿¿'@thi.ng/checks'¿¿{"start":{"line":5,"column":21},"end":{"line":5,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Literal
4348¿VariableDeclarator¿¿7585¿errors¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿VariableDeclarator
4349¿CallExpression¿¿7585¿¿¿¿{"start":{"line":6,"column":13},"end":{"line":6,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿CallExpression
4350¿Identifier¿¿7585¿require¿¿¿{"start":{"line":6,"column":13},"end":{"line":6,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Identifier
4351¿Literal¿string¿7585¿¿'@thi.ng/errors'¿¿{"start":{"line":6,"column":21},"end":{"line":6,"column":37},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Literal
4352¿VariableDeclarator¿¿7585¿transducersBinary¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":61},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿VariableDeclarator
4353¿CallExpression¿¿7585¿¿¿¿{"start":{"line":7,"column":24},"end":{"line":7,"column":61},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿CallExpression
4354¿Identifier¿¿7585¿require¿¿¿{"start":{"line":7,"column":24},"end":{"line":7,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Identifier
4355¿Literal¿string¿7585¿¿'@thi.ng/transducers-binary'¿¿{"start":{"line":7,"column":32},"end":{"line":7,"column":60},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿Literal
4356¿VariableDeclarator¿¿7585¿associative¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":48},"fname":"/datasets/secbench-dataset/CWE-78/thi.ng-egf_0.3.0/src/index.js"}¿¿VariableDeclarator
