Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
913¿Program¿¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":149,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Program
914¿VariableDeclarator¿¿ip¿¿¿{"start":{"line":1,"column":4},"end":{"line":1,"column":22},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
915¿CallExpression¿¿¿¿¿{"start":{"line":1,"column":9},"end":{"line":1,"column":22},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿CallExpression
916¿Identifier¿¿require¿¿¿{"start":{"line":1,"column":9},"end":{"line":1,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
917¿Literal¿string¿¿'ip'¿¿{"start":{"line":1,"column":17},"end":{"line":1,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Literal
918¿VariableDeclarator¿¿os¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":22},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
919¿CallExpression¿¿¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":22},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿CallExpression
920¿Identifier¿¿require¿¿¿{"start":{"line":2,"column":9},"end":{"line":2,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
921¿Literal¿string¿¿'os'¿¿{"start":{"line":2,"column":17},"end":{"line":2,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Literal
922¿VariableDeclarator¿¿net¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":24},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
923¿CallExpression¿¿¿¿¿{"start":{"line":3,"column":10},"end":{"line":3,"column":24},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿CallExpression
924¿Identifier¿¿require¿¿¿{"start":{"line":3,"column":10},"end":{"line":3,"column":17},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
925¿Literal¿string¿¿'net'¿¿{"start":{"line":3,"column":18},"end":{"line":3,"column":23},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Literal
926¿VariableDeclarator¿¿cp¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":36},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
