Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
2314¿Program¿¿-1¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":349,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Program
2315¿VariableDeclarator¿¿4044¿esprima¿¿¿{"start":{"line":2,"column":4},"end":{"line":2,"column":32},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿VariableDeclarator
2316¿CallExpression¿¿4044¿¿¿¿{"start":{"line":2,"column":14},"end":{"line":2,"column":32},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿CallExpression
2317¿Identifier¿¿4044¿require¿¿¿{"start":{"line":2,"column":14},"end":{"line":2,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
2318¿Literal¿string¿4044¿¿'esprima'¿¿{"start":{"line":2,"column":22},"end":{"line":2,"column":31},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Literal
2319¿VariableDeclarator¿¿4044¿path¿¿¿{"start":{"line":3,"column":4},"end":{"line":3,"column":26},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿VariableDeclarator
2320¿CallExpression¿¿4044¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":26},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿CallExpression
2321¿Identifier¿¿4044¿require¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
2322¿Literal¿string¿4044¿¿'path'¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":25},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Literal
2323¿VariableDeclarator¿¿4044¿v217¿¿¿{"start":{"line":4,"column":10},"end":{"line":4,"column":29},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿VariableDeclarator
2324¿CallExpression¿¿4044¿¿¿¿{"start":{"line":4,"column":10},"end":{"line":4,"column":29},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿CallExpression
2325¿Identifier¿¿4044¿require¿¿¿{"start":{"line":4,"column":10},"end":{"line":4,"column":17},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
2326¿Literal¿string¿4044¿¿'cmd-util'¿¿{"start":{"line":4,"column":18},"end":{"line":4,"column":28},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Literal
2327¿VariableDeclarator¿¿4044¿ast¿¿¿{"start":{"line":4,"column":4},"end":{"line":4,"column":33},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿VariableDeclarator
2328¿MemberExpression¿¿4044¿¿¿¿{"start":{"line":4,"column":10},"end":{"line":4,"column":33},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿MemberExpression
2329¿Identifier¿¿4044¿v217¿¿¿¿¿Identifier
2330¿Identifier¿¿4044¿ast¿¿¿{"start":{"line":4,"column":30},"end":{"line":4,"column":33},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
2331¿VariableDeclarator¿¿4044¿v218¿¿¿{"start":{"line":5,"column":12},"end":{"line":5,"column":31},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿VariableDeclarator
2332¿CallExpression¿¿4044¿¿¿¿{"start":{"line":5,"column":12},"end":{"line":5,"column":31},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿CallExpression
2333¿Identifier¿¿4044¿require¿¿¿{"start":{"line":5,"column":12},"end":{"line":5,"column":19},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
2334¿Literal¿string¿4044¿¿'cmd-util'¿¿{"start":{"line":5,"column":20},"end":{"line":5,"column":30},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Literal
2335¿VariableDeclarator¿¿4044¿iduri¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":37},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿VariableDeclarator
2336¿MemberExpression¿¿4044¿¿¿¿{"start":{"line":5,"column":12},"end":{"line":5,"column":37},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿MemberExpression
2337¿Identifier¿¿4044¿v218¿¿¿¿¿Identifier
2338¿Identifier¿¿4044¿iduri¿¿¿{"start":{"line":5,"column":32},"end":{"line":5,"column":37},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
2339¿VariableDeclarator¿¿4044¿file¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":28},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿VariableDeclarator
2340¿CallExpression¿¿4044¿¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":28},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿CallExpression
2341¿Identifier¿¿4044¿require¿¿¿{"start":{"line":6,"column":11},"end":{"line":6,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
2342¿Literal¿string¿4044¿¿'./file'¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":27},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Literal
2343¿VariableDeclarator¿¿4044¿_¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":29},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿VariableDeclarator
2344¿CallExpression¿¿4044¿¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":29},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿CallExpression
2345¿Identifier¿¿4044¿require¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":15},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
2346¿Literal¿string¿4044¿¿'underscore'¿¿{"start":{"line":7,"column":16},"end":{"line":7,"column":28},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Literal
2347¿VariableDeclarator¿¿4044¿logger¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":32},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿VariableDeclarator
2348¿CallExpression¿¿4044¿¿¿¿{"start":{"line":8,"column":13},"end":{"line":8,"column":32},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿CallExpression
2349¿Identifier¿¿4044¿require¿¿¿{"start":{"line":8,"column":13},"end":{"line":8,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
2350¿Literal¿string¿4044¿¿'./logger'¿¿{"start":{"line":8,"column":21},"end":{"line":8,"column":31},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Literal
2351¿ExpressionStatement¿¿4044¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":22},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿ExpressionStatement
2352¿AssignmentExpression¿=¿4044¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿AssignmentExpression
2353¿MemberExpression¿¿4044¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":13},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿MemberExpression
2354¿Identifier¿¿4044¿exports¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":7},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
2355¿Identifier¿¿4044¿build¿¿¿{"start":{"line":10,"column":8},"end":{"line":10,"column":13},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
2356¿Identifier¿¿4044¿build¿¿¿{"start":{"line":10,"column":16},"end":{"line":10,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
2357¿VariableDeclarator¿exported¿4044¿build¿¿¿{"start":{"line":12,"column":0},"end":{"line":66,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿VariableDeclarator
2358¿FunctionExpression¿¿4044¿anon¿¿¿{"start":{"line":12,"column":0},"end":{"line":66,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿FunctionExpression
2359¿Identifier¿¿0¿inputFile¿¿¿{"start":{"line":12,"column":15},"end":{"line":12,"column":24},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
2360¿Identifier¿¿0¿options¿¿¿{"start":{"line":12,"column":26},"end":{"line":12,"column":33},"fname":"/datasets/secbench-dataset/CWE-94/modjs_0.4.0/src/sea.js"}¿¿Identifier
