Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
859¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":182,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Program
860¿ExpressionStatement¿¿1453¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿ExpressionStatement
861¿Literal¿string¿1453¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Literal
862¿VariableDeclarator¿¿1453¿_¿¿¿{"start":{"line":31,"column":4},"end":{"line":31,"column":25},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿VariableDeclarator
863¿CallExpression¿¿1453¿¿¿¿{"start":{"line":31,"column":8},"end":{"line":31,"column":25},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿CallExpression
864¿Identifier¿¿1453¿require¿¿¿{"start":{"line":31,"column":8},"end":{"line":31,"column":15},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
865¿Literal¿string¿1453¿¿'lodash'¿¿{"start":{"line":31,"column":16},"end":{"line":31,"column":24},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Literal
866¿VariableDeclarator¿exported¿1453¿v75¿¿¿{"start":{"line":33,"column":10},"end":{"line":54,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿VariableDeclarator
867¿FunctionExpression¿¿1453¿anon¿¿¿{"start":{"line":33,"column":27},"end":{"line":54,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿FunctionExpression
868¿Identifier¿¿0¿values¿¿¿{"start":{"line":33,"column":37},"end":{"line":33,"column":43},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
869¿VariableDeclarator¿¿1455¿v60¿¿¿{"start":{"line":34,"column":15},"end":{"line":34,"column":29},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿VariableDeclarator
870¿MemberExpression¿¿1455¿¿¿¿{"start":{"line":34,"column":15},"end":{"line":34,"column":29},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿MemberExpression
871¿Identifier¿¿1455¿module¿¿¿{"start":{"line":34,"column":15},"end":{"line":34,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
872¿Identifier¿¿1455¿exports¿¿¿{"start":{"line":34,"column":22},"end":{"line":34,"column":29},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
873¿VariableDeclarator¿¿1455¿mask¿¿¿{"start":{"line":34,"column":8},"end":{"line":34,"column":34},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿VariableDeclarator
874¿MemberExpression¿¿1455¿¿¿¿{"start":{"line":34,"column":15},"end":{"line":34,"column":34},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿MemberExpression
875¿Identifier¿¿1455¿v60¿¿¿¿¿Identifier
876¿Identifier¿¿1455¿mask¿¿¿{"start":{"line":34,"column":30},"end":{"line":34,"column":34},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
877¿VariableDeclarator¿¿1455¿wrap¿¿¿{"start":{"line":36,"column":4},"end":{"line":47,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿VariableDeclarator
878¿FunctionExpression¿¿1455¿anon¿¿¿{"start":{"line":36,"column":4},"end":{"line":47,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿FunctionExpression
879¿Identifier¿¿0¿original¿¿¿{"start":{"line":36,"column":18},"end":{"line":36,"column":26},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
880¿VariableDeclarator¿¿1457¿v66¿¿¿{"start":{"line":37,"column":15},"end":{"line":46,"column":9},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿VariableDeclarator
881¿FunctionExpression¿¿1457¿anon¿¿¿{"start":{"line":37,"column":15},"end":{"line":46,"column":9},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿FunctionExpression
882¿Identifier¿¿0¿obj¿¿¿{"start":{"line":37,"column":25},"end":{"line":37,"column":28},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
883¿VariableDeclarator¿¿1459¿v61¿¿¿{"start":{"line":38,"column":16},"end":{"line":38,"column":36},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿VariableDeclarator
884¿CallExpression¿¿1459¿¿¿¿{"start":{"line":38,"column":16},"end":{"line":38,"column":36},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿CallExpression
885¿MemberExpression¿¿1459¿¿¿¿{"start":{"line":38,"column":16},"end":{"line":38,"column":28},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿MemberExpression
886¿Identifier¿¿1459¿_¿¿¿{"start":{"line":38,"column":16},"end":{"line":38,"column":17},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
887¿Identifier¿¿1459¿isFunction¿¿¿{"start":{"line":38,"column":18},"end":{"line":38,"column":28},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
888¿Identifier¿¿1459¿values¿¿¿{"start":{"line":38,"column":29},"end":{"line":38,"column":35},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿Identifier
889¿IfStatement¿¿1459¿¿¿¿{"start":{"line":38,"column":12},"end":{"line":45,"column":13},"fname":"/datasets/secbench-dataset/CWE-94/mongoosemask_0.0.6/src/index.js"}¿¿IfStatement
890¿Identifier¿¿1459¿v61¿¿¿¿¿Identifier
