Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
85¿Program¿¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":86,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/underscore_1.13.0-0/src/template.js"}¿¿Program
86¿ImportDeclaration¿¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":37},"fname":"/datasets/secbench-dataset/CWE-94/underscore_1.13.0-0/src/template.js"}¿¿ImportDeclaration
87¿ImportDeclaration¿¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":2,"column":32},"fname":"/datasets/secbench-dataset/CWE-94/underscore_1.13.0-0/src/template.js"}¿¿ImportDeclaration
88¿ImportDeclaration¿¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":31},"fname":"/datasets/secbench-dataset/CWE-94/underscore_1.13.0-0/src/template.js"}¿¿ImportDeclaration
89¿VariableDeclarator¿¿noMatch¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/underscore_1.13.0-0/src/template.js"}¿¿VariableDeclarator
90¿Literal¿object¿¿/(.)^/¿¿{"start":{"line":8,"column":14},"end":{"line":8,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/underscore_1.13.0-0/src/template.js"}¿¿Literal
91¿VariableDeclarator¿¿escapes¿¿¿{"start":{"line":12,"column":4},"end":{"line":19,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/underscore_1.13.0-0/src/template.js"}¿¿VariableDeclarator
92¿ObjectExpression¿¿¿¿¿¿¿ObjectExpression
93¿ExpressionStatement¿¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":19,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/underscore_1.13.0-0/src/template.js"}¿¿ExpressionStatement
94¿AssignmentExpression¿=¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":19,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/underscore_1.13.0-0/src/template.js"}¿¿AssignmentExpression
95¿MemberExpression¿computed¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":19,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/underscore_1.13.0-0/src/template.js"}¿¿MemberExpression
96¿Identifier¿¿escapes¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":11},"fname":"/datasets/secbench-dataset/CWE-94/underscore_1.13.0-0/src/template.js"}¿¿Identifier
97¿Literal¿string¿¿'''¿¿{"start":{"line":13,"column":2},"end":{"line":13,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/underscore_1.13.0-0/src/template.js"}¿¿Literal
98¿Literal¿string¿¿'''¿¿{"start":{"line":13,"column":7},"end":{"line":13,"column":10},"fname":"/datasets/secbench-dataset/CWE-94/underscore_1.13.0-0/src/template.js"}¿¿Literal
99¿ExpressionStatement¿¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":19,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/underscore_1.13.0-0/src/template.js"}¿¿ExpressionStatement
100¿AssignmentExpression¿=¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":19,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/underscore_1.13.0-0/src/template.js"}¿¿AssignmentExpression
101¿MemberExpression¿computed¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":19,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/underscore_1.13.0-0/src/template.js"}¿¿MemberExpression
102¿Identifier¿¿escapes¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":11},"fname":"/datasets/secbench-dataset/CWE-94/underscore_1.13.0-0/src/template.js"}¿¿Identifier
103¿Literal¿string¿¿'\\'¿¿{"start":{"line":14,"column":2},"end":{"line":14,"column":6},"fname":"/datasets/secbench-dataset/CWE-94/underscore_1.13.0-0/src/template.js"}¿¿Literal
104¿Literal¿string¿¿'\\'¿¿{"start":{"line":14,"column":8},"end":{"line":14,"column":12},"fname":"/datasets/secbench-dataset/CWE-94/underscore_1.13.0-0/src/template.js"}¿¿Literal
105¿ExpressionStatement¿¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":19,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/underscore_1.13.0-0/src/template.js"}¿¿ExpressionStatement
106¿AssignmentExpression¿=¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":19,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/underscore_1.13.0-0/src/template.js"}¿¿AssignmentExpression
107¿MemberExpression¿computed¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":19,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/underscore_1.13.0-0/src/template.js"}¿¿MemberExpression
108¿Identifier¿¿escapes¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":11},"fname":"/datasets/secbench-dataset/CWE-94/underscore_1.13.0-0/src/template.js"}¿¿Identifier
109¿Literal¿string¿¿'\r'¿¿{"start":{"line":15,"column":2},"end":{"line":15,"column":6},"fname":"/datasets/secbench-dataset/CWE-94/underscore_1.13.0-0/src/template.js"}¿¿Literal
110¿Literal¿string¿¿'r'¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":11},"fname":"/datasets/secbench-dataset/CWE-94/underscore_1.13.0-0/src/template.js"}¿¿Literal
111¿ExpressionStatement¿¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":19,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/underscore_1.13.0-0/src/template.js"}¿¿ExpressionStatement
112¿AssignmentExpression¿=¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":19,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/underscore_1.13.0-0/src/template.js"}¿¿AssignmentExpression
113¿MemberExpression¿computed¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":19,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/underscore_1.13.0-0/src/template.js"}¿¿MemberExpression
114¿Identifier¿¿escapes¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":11},"fname":"/datasets/secbench-dataset/CWE-94/underscore_1.13.0-0/src/template.js"}¿¿Identifier
115¿Literal¿string¿¿'\n'¿¿{"start":{"line":16,"column":2},"end":{"line":16,"column":6},"fname":"/datasets/secbench-dataset/CWE-94/underscore_1.13.0-0/src/template.js"}¿¿Literal
116¿Literal¿string¿¿'n'¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":11},"fname":"/datasets/secbench-dataset/CWE-94/underscore_1.13.0-0/src/template.js"}¿¿Literal
117¿ExpressionStatement¿¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":19,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/underscore_1.13.0-0/src/template.js"}¿¿ExpressionStatement
118¿AssignmentExpression¿=¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":19,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/underscore_1.13.0-0/src/template.js"}¿¿AssignmentExpression
119¿MemberExpression¿computed¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":19,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/underscore_1.13.0-0/src/template.js"}¿¿MemberExpression
120¿Identifier¿¿escapes¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":11},"fname":"/datasets/secbench-dataset/CWE-94/underscore_1.13.0-0/src/template.js"}¿¿Identifier
121¿Literal¿string¿¿'\u2028'¿¿{"start":{"line":17,"column":2},"end":{"line":17,"column":10},"fname":"/datasets/secbench-dataset/CWE-94/underscore_1.13.0-0/src/template.js"}¿¿Literal
122¿Literal¿string¿¿'u2028'¿¿{"start":{"line":17,"column":12},"end":{"line":17,"column":19},"fname":"/datasets/secbench-dataset/CWE-94/underscore_1.13.0-0/src/template.js"}¿¿Literal
123¿ExpressionStatement¿¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":19,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/underscore_1.13.0-0/src/template.js"}¿¿ExpressionStatement
124¿AssignmentExpression¿=¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":19,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/underscore_1.13.0-0/src/template.js"}¿¿AssignmentExpression
125¿MemberExpression¿computed¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":19,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/underscore_1.13.0-0/src/template.js"}¿¿MemberExpression
126¿Identifier¿¿escapes¿¿¿{"start":{"line":12,"column":4},"end":{"line":12,"column":11},"fname":"/datasets/secbench-dataset/CWE-94/underscore_1.13.0-0/src/template.js"}¿¿Identifier
