Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
65¿Program¿¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":20,"column":23},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿Program
66¿VariableDeclarator¿¿vm¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":24},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿VariableDeclarator
67¿CallExpression¿¿¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":24},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿CallExpression
68¿Identifier¿¿require¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿Identifier
69¿Literal¿string¿¿'vm'¿¿{"start":{"line":1,"column":19},"end":{"line":1,"column":23},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿Literal
70¿VariableDeclarator¿exported¿veval¿¿¿¿¿VariableDeclarator
71¿FunctionExpression¿¿anon¿¿¿{"start":{"line":8,"column":0},"end":{"line":18,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿FunctionExpression
72¿AssignmentPattern¿¿¿¿¿{"start":{"line":8,"column":15},"end":{"line":8,"column":23},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿AssignmentPattern
73¿AssignmentPattern¿¿¿¿¿{"start":{"line":8,"column":25},"end":{"line":8,"column":33},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿AssignmentPattern
74¿VariableDeclarator¿¿context¿¿¿{"start":{"line":10,"column":8},"end":{"line":10,"column":39},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿VariableDeclarator
75¿CallExpression¿¿¿¿¿{"start":{"line":10,"column":18},"end":{"line":10,"column":39},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿CallExpression
76¿MemberExpression¿¿¿¿¿{"start":{"line":10,"column":18},"end":{"line":10,"column":34},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿MemberExpression
77¿Identifier¿¿vm¿¿¿{"start":{"line":10,"column":18},"end":{"line":10,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿Identifier
78¿Identifier¿¿createContext¿¿¿{"start":{"line":10,"column":21},"end":{"line":10,"column":34},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿Identifier
79¿Identifier¿¿ctx¿¿¿{"start":{"line":10,"column":35},"end":{"line":10,"column":38},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿Identifier
80¿VariableDeclarator¿¿output¿¿¿{"start":{"line":11,"column":8},"end":{"line":11,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿VariableDeclarator
81¿Literal¿object¿¿null¿¿{"start":{"line":11,"column":17},"end":{"line":11,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿Literal
82¿TryStatement¿¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":16,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿TryStatement
83¿ExpressionStatement¿¿¿¿¿{"start":{"line":13,"column":8},"end":{"line":13,"column":47},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿ExpressionStatement
84¿AssignmentExpression¿=¿¿¿¿{"start":{"line":13,"column":8},"end":{"line":13,"column":46},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿AssignmentExpression
85¿Identifier¿¿output¿¿¿{"start":{"line":13,"column":8},"end":{"line":13,"column":14},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿Identifier
86¿CallExpression¿¿¿¿¿{"start":{"line":13,"column":17},"end":{"line":13,"column":46},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿CallExpression
87¿MemberExpression¿¿¿¿¿{"start":{"line":13,"column":17},"end":{"line":13,"column":32},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿MemberExpression
88¿Identifier¿¿vm¿¿¿{"start":{"line":13,"column":17},"end":{"line":13,"column":19},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿Identifier
89¿Identifier¿¿runInContext¿¿¿{"start":{"line":13,"column":20},"end":{"line":13,"column":32},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿Identifier
90¿Identifier¿¿scr¿¿¿{"start":{"line":13,"column":33},"end":{"line":13,"column":36},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿Identifier
91¿Identifier¿¿context¿¿¿{"start":{"line":13,"column":38},"end":{"line":13,"column":45},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿Identifier
92¿BlockStatement¿¿¿¿¿{"start":{"line":12,"column":8},"end":{"line":14,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿BlockStatement
93¿CatchClause¿¿¿¿¿{"start":{"line":14,"column":6},"end":{"line":16,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿CatchClause
94¿ExpressionStatement¿¿¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿ExpressionStatement
95¿AssignmentExpression¿=¿¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":19},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿AssignmentExpression
96¿Identifier¿¿output¿¿¿{"start":{"line":15,"column":8},"end":{"line":15,"column":14},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿Identifier
97¿Identifier¿¿ex¿¿¿{"start":{"line":15,"column":17},"end":{"line":15,"column":19},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿Identifier
98¿BlockStatement¿¿¿¿¿{"start":{"line":14,"column":16},"end":{"line":16,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿BlockStatement
99¿Identifier¿¿ex¿¿¿{"start":{"line":14,"column":12},"end":{"line":14,"column":14},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿Identifier
100¿ReturnStatement¿¿¿¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿ReturnStatement
101¿Identifier¿¿output¿¿¿{"start":{"line":17,"column":11},"end":{"line":17,"column":17},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿Identifier
102¿BlockStatement¿¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":18,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿BlockStatement
103¿ExpressionStatement¿¿¿¿¿{"start":{"line":20,"column":0},"end":{"line":20,"column":23},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿ExpressionStatement
104¿AssignmentExpression¿=¿¿¿¿{"start":{"line":20,"column":0},"end":{"line":20,"column":22},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿AssignmentExpression
105¿MemberExpression¿¿¿¿¿{"start":{"line":20,"column":0},"end":{"line":20,"column":14},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿MemberExpression
106¿Identifier¿¿module¿¿¿{"start":{"line":20,"column":0},"end":{"line":20,"column":6},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿Identifier
107¿Identifier¿¿exports¿¿¿{"start":{"line":20,"column":7},"end":{"line":20,"column":14},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿Identifier
108¿Identifier¿¿veval¿¿¿{"start":{"line":20,"column":17},"end":{"line":20,"column":22},"fname":"/datasets/secbench-dataset/CWE-94/veval_1.0.0/src/index.js"}¿¿Identifier
109¿CFG_F_START¿¿__main__¿¿¿¿¿CFG_F_START
110¿CFG_F_END¿¿__main__¿¿¿¿¿CFG_F_END
111¿CFG_F_START¿¿71_anon¿¿¿¿¿CFG_F_START
112¿CFG_F_END¿¿71_anon¿¿¿¿¿CFG_F_END
113¿CFG_TRY_STMT_END¿¿¿¿¿¿¿CFG_TRY_STMT_END
114¿TAINT_SOURCE¿¿TAINT_SOURCE¿¿¿¿¿TAINT_SOURCE
115¿PDG_CALL¿¿109.CALL->require-o14¿¿¿¿¿PDG_CALL
116¿PDG_OBJECT¿¿109.vm-o15¿¿¿¿¿PDG_OBJECT
117¿TAINT_SINK¿¿require¿¿¿¿¿TAINT_SINK
118¿PDG_OBJECT¿¿111.this-o16¿¿¿¿¿PDG_OBJECT
119¿PDG_OBJECT¿¿111.ctx-o17¿¿¿¿¿PDG_OBJECT
120¿PDG_OBJECT¿¿111.scr-o18¿¿¿¿¿PDG_OBJECT
121¿PDG_OBJECT¿¿109.veval-o19¿¿¿¿¿PDG_OBJECT
122¿PDG_OBJECT¿¿109.module-o20¿¿¿¿¿PDG_OBJECT
123¿PDG_OBJECT¿¿109.module.exports-o21¿¿¿¿¿PDG_OBJECT
124¿PDG_CALL¿¿111.CALL->vm.createContext-o22¿¿¿¿¿PDG_CALL
125¿PDG_OBJECT¿¿111.context-o23¿¿¿¿¿PDG_OBJECT
126¿PDG_CALL¿¿111.CALL->vm.runInContext-o24¿¿¿¿¿PDG_CALL
127¿PDG_OBJECT¿¿111.output-o25¿¿¿¿¿PDG_OBJECT
128¿TAINT_SINK¿¿runInContext¿¿¿¿¿TAINT_SINK
129¿PDG_RETURN¿¿111.RET_OBJ-o26¿¿¿¿¿PDG_RETURN
