Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
290¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":62,"column":1},"fname":"/datasets/vulcan-dataset/CWE-22/GHSA-hj3m-v758-jwx5/src/file-system.js"}¿¿Program
291¿VariableDeclarator¿¿494¿fs¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":24},"fname":"/datasets/vulcan-dataset/CWE-22/GHSA-hj3m-v758-jwx5/src/file-system.js"}¿¿VariableDeclarator
292¿CallExpression¿¿494¿¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":24},"fname":"/datasets/vulcan-dataset/CWE-22/GHSA-hj3m-v758-jwx5/src/file-system.js"}¿¿CallExpression
293¿Identifier¿¿494¿require¿¿¿{"start":{"line":1,"column":11},"end":{"line":1,"column":18},"fname":"/datasets/vulcan-dataset/CWE-22/GHSA-hj3m-v758-jwx5/src/file-system.js"}¿¿Identifier
294¿Literal¿string¿494¿¿'fs'¿¿{"start":{"line":1,"column":19},"end":{"line":1,"column":23},"fname":"/datasets/vulcan-dataset/CWE-22/GHSA-hj3m-v758-jwx5/src/file-system.js"}¿¿Literal
295¿VariableDeclarator¿¿494¿fsp¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":34},"fname":"/datasets/vulcan-dataset/CWE-22/GHSA-hj3m-v758-jwx5/src/file-system.js"}¿¿VariableDeclarator
296¿CallExpression¿¿494¿¿¿¿{"start":{"line":2,"column":12},"end":{"line":2,"column":34},"fname":"/datasets/vulcan-dataset/CWE-22/GHSA-hj3m-v758-jwx5/src/file-system.js"}¿¿CallExpression
297¿Identifier¿¿494¿require¿¿¿{"start":{"line":2,"column":12},"end":{"line":2,"column":19},"fname":"/datasets/vulcan-dataset/CWE-22/GHSA-hj3m-v758-jwx5/src/file-system.js"}¿¿Identifier
298¿Literal¿string¿494¿¿'fs/promises'¿¿{"start":{"line":2,"column":20},"end":{"line":2,"column":33},"fname":"/datasets/vulcan-dataset/CWE-22/GHSA-hj3m-v758-jwx5/src/file-system.js"}¿¿Literal
299¿VariableDeclarator¿¿494¿path¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":28},"fname":"/datasets/vulcan-dataset/CWE-22/GHSA-hj3m-v758-jwx5/src/file-system.js"}¿¿VariableDeclarator
300¿CallExpression¿¿494¿¿¿¿{"start":{"line":3,"column":13},"end":{"line":3,"column":28},"fname":"/datasets/vulcan-dataset/CWE-22/GHSA-hj3m-v758-jwx5/src/file-system.js"}¿¿CallExpression
