Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
367¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":53,"column":27},"fname":"/datasets/vulcan-dataset/CWE-22/GHSA-hj3m-v758-jwx5/src/server.js"}¿¿Program
368¿VariableDeclarator¿¿631¿http¿¿¿{"start":{"line":1,"column":6},"end":{"line":1,"column":28},"fname":"/datasets/vulcan-dataset/CWE-22/GHSA-hj3m-v758-jwx5/src/server.js"}¿¿VariableDeclarator
369¿CallExpression¿¿631¿¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":28},"fname":"/datasets/vulcan-dataset/CWE-22/GHSA-hj3m-v758-jwx5/src/server.js"}¿¿CallExpression
370¿Identifier¿¿631¿require¿¿¿{"start":{"line":1,"column":13},"end":{"line":1,"column":20},"fname":"/datasets/vulcan-dataset/CWE-22/GHSA-hj3m-v758-jwx5/src/server.js"}¿¿Identifier
371¿Literal¿string¿631¿¿'http'¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":27},"fname":"/datasets/vulcan-dataset/CWE-22/GHSA-hj3m-v758-jwx5/src/server.js"}¿¿Literal
372¿VariableDeclarator¿¿631¿config¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":34},"fname":"/datasets/vulcan-dataset/CWE-22/GHSA-hj3m-v758-jwx5/src/server.js"}¿¿VariableDeclarator
373¿CallExpression¿¿631¿¿¿¿{"start":{"line":3,"column":15},"end":{"line":3,"column":34},"fname":"/datasets/vulcan-dataset/CWE-22/GHSA-hj3m-v758-jwx5/src/server.js"}¿¿CallExpression
374¿Identifier¿¿631¿require¿¿¿{"start":{"line":3,"column":15},"end":{"line":3,"column":22},"fname":"/datasets/vulcan-dataset/CWE-22/GHSA-hj3m-v758-jwx5/src/server.js"}¿¿Identifier
375¿Literal¿string¿631¿¿'./config'¿¿{"start":{"line":3,"column":23},"end":{"line":3,"column":33},"fname":"/datasets/vulcan-dataset/CWE-22/GHSA-hj3m-v758-jwx5/src/server.js"}¿¿Literal
376¿VariableDeclarator¿¿631¿mime¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":39},"fname":"/datasets/vulcan-dataset/CWE-22/GHSA-hj3m-v758-jwx5/src/server.js"}¿¿VariableDeclarator
377¿CallExpression¿¿631¿¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":39},"fname":"/datasets/vulcan-dataset/CWE-22/GHSA-hj3m-v758-jwx5/src/server.js"}¿¿CallExpression
378¿Identifier¿¿631¿require¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":20},"fname":"/datasets/vulcan-dataset/CWE-22/GHSA-hj3m-v758-jwx5/src/server.js"}¿¿Identifier
379¿Literal¿string¿631¿¿'./utils/mime.js'¿¿{"start":{"line":5,"column":21},"end":{"line":5,"column":38},"fname":"/datasets/vulcan-dataset/CWE-22/GHSA-hj3m-v758-jwx5/src/server.js"}¿¿Literal
380¿VariableDeclarator¿¿631¿fileSystem¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":49},"fname":"/datasets/vulcan-dataset/CWE-22/GHSA-hj3m-v758-jwx5/src/server.js"}¿¿VariableDeclarator
381¿CallExpression¿¿631¿¿¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":49},"fname":"/datasets/vulcan-dataset/CWE-22/GHSA-hj3m-v758-jwx5/src/server.js"}¿¿CallExpression
382¿Identifier¿¿631¿require¿¿¿{"start":{"line":6,"column":19},"end":{"line":6,"column":26},"fname":"/datasets/vulcan-dataset/CWE-22/GHSA-hj3m-v758-jwx5/src/server.js"}¿¿Identifier
383¿Literal¿string¿631¿¿'./utils/file-system'¿¿{"start":{"line":6,"column":27},"end":{"line":6,"column":48},"fname":"/datasets/vulcan-dataset/CWE-22/GHSA-hj3m-v758-jwx5/src/server.js"}¿¿Literal
384¿VariableDeclarator¿¿631¿v46¿¿¿{"start":{"line":10,"column":33},"end":{"line":35,"column":1},"fname":"/datasets/vulcan-dataset/CWE-22/GHSA-hj3m-v758-jwx5/src/server.js"}¿¿VariableDeclarator
385¿ArrowFunctionExpression¿¿631¿¿¿¿{"start":{"line":10,"column":33},"end":{"line":35,"column":1},"fname":"/datasets/vulcan-dataset/CWE-22/GHSA-hj3m-v758-jwx5/src/server.js"}¿¿ArrowFunctionExpression
386¿Identifier¿¿0¿req¿¿¿{"start":{"line":10,"column":40},"end":{"line":10,"column":43},"fname":"/datasets/vulcan-dataset/CWE-22/GHSA-hj3m-v758-jwx5/src/server.js"}¿¿Identifier
387¿Identifier¿¿0¿res¿¿¿{"start":{"line":10,"column":45},"end":{"line":10,"column":48},"fname":"/datasets/vulcan-dataset/CWE-22/GHSA-hj3m-v758-jwx5/src/server.js"}¿¿Identifier
388¿VariableDeclarator¿¿633¿readStream¿¿¿{"start":{"line":11,"column":8},"end":{"line":11,"column":18},"fname":"/datasets/vulcan-dataset/CWE-22/GHSA-hj3m-v758-jwx5/src/server.js"}¿¿VariableDeclarator
389¿VariableDeclarator¿¿633¿v30¿¿¿{"start":{"line":12,"column":10},"end":{"line":12,"column":23},"fname":"/datasets/vulcan-dataset/CWE-22/GHSA-hj3m-v758-jwx5/src/server.js"}¿¿VariableDeclarator
