Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
8086¿Program¿¿-1¿¿¿¿{"start":{"line":11,"column":0},"end":{"line":2207,"column":27},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿Program
8087¿VariableDeclarator¿¿14140¿LARGE_ARRAY_SIZE¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":26},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿VariableDeclarator
8088¿Literal¿number¿14140¿¿200¿¿{"start":{"line":11,"column":23},"end":{"line":11,"column":26},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿Literal
8089¿VariableDeclarator¿¿14140¿HASH_UNDEFINED¿¿¿{"start":{"line":14,"column":4},"end":{"line":14,"column":48},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿VariableDeclarator
8090¿Literal¿string¿14140¿¿'__lodash_hash_undefined__'¿¿{"start":{"line":14,"column":21},"end":{"line":14,"column":48},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿Literal
8091¿VariableDeclarator¿¿14140¿MAX_SAFE_INTEGER¿¿¿{"start":{"line":17,"column":4},"end":{"line":17,"column":39},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿VariableDeclarator
8092¿Literal¿number¿14140¿¿9007199254740991¿¿{"start":{"line":17,"column":23},"end":{"line":17,"column":39},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿Literal
8093¿VariableDeclarator¿¿14140¿argsTag¿¿¿{"start":{"line":20,"column":4},"end":{"line":20,"column":34},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿VariableDeclarator
8094¿Literal¿string¿14140¿¿'[object Arguments]'¿¿{"start":{"line":20,"column":14},"end":{"line":20,"column":34},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿Literal
8095¿VariableDeclarator¿¿14140¿arrayTag¿¿¿{"start":{"line":21,"column":4},"end":{"line":21,"column":31},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿VariableDeclarator
8096¿Literal¿string¿14140¿¿'[object Array]'¿¿{"start":{"line":21,"column":15},"end":{"line":21,"column":31},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿Literal
8097¿VariableDeclarator¿¿14140¿boolTag¿¿¿{"start":{"line":22,"column":4},"end":{"line":22,"column":32},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿VariableDeclarator
8098¿Literal¿string¿14140¿¿'[object Boolean]'¿¿{"start":{"line":22,"column":14},"end":{"line":22,"column":32},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿Literal
8099¿VariableDeclarator¿¿14140¿dateTag¿¿¿{"start":{"line":23,"column":4},"end":{"line":23,"column":29},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿VariableDeclarator
8100¿Literal¿string¿14140¿¿'[object Date]'¿¿{"start":{"line":23,"column":14},"end":{"line":23,"column":29},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿Literal
8101¿VariableDeclarator¿¿14140¿errorTag¿¿¿{"start":{"line":24,"column":4},"end":{"line":24,"column":31},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿VariableDeclarator
8102¿Literal¿string¿14140¿¿'[object Error]'¿¿{"start":{"line":24,"column":15},"end":{"line":24,"column":31},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿Literal
8103¿VariableDeclarator¿¿14140¿funcTag¿¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":33},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿VariableDeclarator
8104¿Literal¿string¿14140¿¿'[object Function]'¿¿{"start":{"line":25,"column":14},"end":{"line":25,"column":33},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿Literal
8105¿VariableDeclarator¿¿14140¿genTag¿¿¿{"start":{"line":26,"column":4},"end":{"line":26,"column":41},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿VariableDeclarator
8106¿Literal¿string¿14140¿¿'[object GeneratorFunction]'¿¿{"start":{"line":26,"column":13},"end":{"line":26,"column":41},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿Literal
8107¿VariableDeclarator¿¿14140¿mapTag¿¿¿{"start":{"line":27,"column":4},"end":{"line":27,"column":27},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿VariableDeclarator
8108¿Literal¿string¿14140¿¿'[object Map]'¿¿{"start":{"line":27,"column":13},"end":{"line":27,"column":27},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿Literal
8109¿VariableDeclarator¿¿14140¿numberTag¿¿¿{"start":{"line":28,"column":4},"end":{"line":28,"column":33},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿VariableDeclarator
8110¿Literal¿string¿14140¿¿'[object Number]'¿¿{"start":{"line":28,"column":16},"end":{"line":28,"column":33},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿Literal
8111¿VariableDeclarator¿¿14140¿objectTag¿¿¿{"start":{"line":29,"column":4},"end":{"line":29,"column":33},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿VariableDeclarator
8112¿Literal¿string¿14140¿¿'[object Object]'¿¿{"start":{"line":29,"column":16},"end":{"line":29,"column":33},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿Literal
8113¿VariableDeclarator¿¿14140¿promiseTag¿¿¿{"start":{"line":30,"column":4},"end":{"line":30,"column":35},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿VariableDeclarator
8114¿Literal¿string¿14140¿¿'[object Promise]'¿¿{"start":{"line":30,"column":17},"end":{"line":30,"column":35},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿Literal
8115¿VariableDeclarator¿¿14140¿regexpTag¿¿¿{"start":{"line":31,"column":4},"end":{"line":31,"column":33},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿VariableDeclarator
8116¿Literal¿string¿14140¿¿'[object RegExp]'¿¿{"start":{"line":31,"column":16},"end":{"line":31,"column":33},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿Literal
8117¿VariableDeclarator¿¿14140¿setTag¿¿¿{"start":{"line":32,"column":4},"end":{"line":32,"column":27},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿VariableDeclarator
8118¿Literal¿string¿14140¿¿'[object Set]'¿¿{"start":{"line":32,"column":13},"end":{"line":32,"column":27},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿Literal
8119¿VariableDeclarator¿¿14140¿stringTag¿¿¿{"start":{"line":33,"column":4},"end":{"line":33,"column":33},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿VariableDeclarator
8120¿Literal¿string¿14140¿¿'[object String]'¿¿{"start":{"line":33,"column":16},"end":{"line":33,"column":33},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿Literal
8121¿VariableDeclarator¿¿14140¿symbolTag¿¿¿{"start":{"line":34,"column":4},"end":{"line":34,"column":33},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿VariableDeclarator
8122¿Literal¿string¿14140¿¿'[object Symbol]'¿¿{"start":{"line":34,"column":16},"end":{"line":34,"column":33},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿Literal
8123¿VariableDeclarator¿¿14140¿weakMapTag¿¿¿{"start":{"line":35,"column":4},"end":{"line":35,"column":35},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿VariableDeclarator
8124¿Literal¿string¿14140¿¿'[object WeakMap]'¿¿{"start":{"line":35,"column":17},"end":{"line":35,"column":35},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿Literal
8125¿VariableDeclarator¿¿14140¿arrayBufferTag¿¿¿{"start":{"line":37,"column":4},"end":{"line":37,"column":43},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿VariableDeclarator
8126¿Literal¿string¿14140¿¿'[object ArrayBuffer]'¿¿{"start":{"line":37,"column":21},"end":{"line":37,"column":43},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿Literal
8127¿VariableDeclarator¿¿14140¿dataViewTag¿¿¿{"start":{"line":38,"column":4},"end":{"line":38,"column":37},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿VariableDeclarator
8128¿Literal¿string¿14140¿¿'[object DataView]'¿¿{"start":{"line":38,"column":18},"end":{"line":38,"column":37},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿Literal
8129¿VariableDeclarator¿¿14140¿float32Tag¿¿¿{"start":{"line":39,"column":4},"end":{"line":39,"column":40},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿VariableDeclarator
8130¿Literal¿string¿14140¿¿'[object Float32Array]'¿¿{"start":{"line":39,"column":17},"end":{"line":39,"column":40},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿Literal
8131¿VariableDeclarator¿¿14140¿float64Tag¿¿¿{"start":{"line":40,"column":4},"end":{"line":40,"column":40},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿VariableDeclarator
8132¿Literal¿string¿14140¿¿'[object Float64Array]'¿¿{"start":{"line":40,"column":17},"end":{"line":40,"column":40},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿Literal
8133¿VariableDeclarator¿¿14140¿int8Tag¿¿¿{"start":{"line":41,"column":4},"end":{"line":41,"column":34},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿VariableDeclarator
8134¿Literal¿string¿14140¿¿'[object Int8Array]'¿¿{"start":{"line":41,"column":14},"end":{"line":41,"column":34},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿Literal
8135¿VariableDeclarator¿¿14140¿int16Tag¿¿¿{"start":{"line":42,"column":4},"end":{"line":42,"column":36},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿VariableDeclarator
8136¿Literal¿string¿14140¿¿'[object Int16Array]'¿¿{"start":{"line":42,"column":15},"end":{"line":42,"column":36},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿Literal
8137¿VariableDeclarator¿¿14140¿int32Tag¿¿¿{"start":{"line":43,"column":4},"end":{"line":43,"column":36},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿VariableDeclarator
8138¿Literal¿string¿14140¿¿'[object Int32Array]'¿¿{"start":{"line":43,"column":15},"end":{"line":43,"column":36},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿Literal
8139¿VariableDeclarator¿¿14140¿uint8Tag¿¿¿{"start":{"line":44,"column":4},"end":{"line":44,"column":36},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿VariableDeclarator
8140¿Literal¿string¿14140¿¿'[object Uint8Array]'¿¿{"start":{"line":44,"column":15},"end":{"line":44,"column":36},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿Literal
8141¿VariableDeclarator¿¿14140¿uint8ClampedTag¿¿¿{"start":{"line":45,"column":4},"end":{"line":45,"column":50},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿VariableDeclarator
8142¿Literal¿string¿14140¿¿'[object Uint8ClampedArray]'¿¿{"start":{"line":45,"column":22},"end":{"line":45,"column":50},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿Literal
8143¿VariableDeclarator¿¿14140¿uint16Tag¿¿¿{"start":{"line":46,"column":4},"end":{"line":46,"column":38},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿VariableDeclarator
8144¿Literal¿string¿14140¿¿'[object Uint16Array]'¿¿{"start":{"line":46,"column":16},"end":{"line":46,"column":38},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿Literal
8145¿VariableDeclarator¿¿14140¿uint32Tag¿¿¿{"start":{"line":47,"column":4},"end":{"line":47,"column":38},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿VariableDeclarator
8146¿Literal¿string¿14140¿¿'[object Uint32Array]'¿¿{"start":{"line":47,"column":16},"end":{"line":47,"column":38},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿Literal
8147¿VariableDeclarator¿¿14140¿reRegExpChar¿¿¿{"start":{"line":53,"column":4},"end":{"line":53,"column":40},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿VariableDeclarator
8148¿Literal¿object¿14140¿¿/[\\^$.*+?()[\]{}|]/g¿¿{"start":{"line":53,"column":19},"end":{"line":53,"column":40},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿Literal
8149¿VariableDeclarator¿¿14140¿reFlags¿¿¿{"start":{"line":56,"column":4},"end":{"line":56,"column":20},"fname":"/datasets/vulcan-dataset/CWE-471/1069/src/index.js"}¿¿VariableDeclarator
