Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
766¿Program¿¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":123,"column":2},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Program
767¿ExpressionStatement¿¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿ExpressionStatement
768¿Literal¿string¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Literal
769¿VariableDeclarator¿¿isObj¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":31},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿VariableDeclarator
770¿CallExpression¿¿¿¿¿{"start":{"line":2,"column":14},"end":{"line":2,"column":31},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿CallExpression
771¿Identifier¿¿require¿¿¿{"start":{"line":2,"column":14},"end":{"line":2,"column":21},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
772¿Literal¿string¿¿'is-obj'¿¿{"start":{"line":2,"column":22},"end":{"line":2,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Literal
773¿VariableDeclarator¿¿getPathSegments¿¿¿¿¿VariableDeclarator
774¿FunctionExpression¿¿anon¿¿¿{"start":{"line":4,"column":0},"end":{"line":20,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿FunctionExpression
775¿Identifier¿¿path¿¿¿{"start":{"line":4,"column":25},"end":{"line":4,"column":29},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿Identifier
776¿VariableDeclarator¿¿pathArray¿¿¿{"start":{"line":5,"column":7},"end":{"line":5,"column":34},"fname":"/datasets/vulcan-dataset/CWE-471/1213/src/index.js"}¿¿VariableDeclarator
