Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
343¿Program¿¿-1¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":47,"column":21},"fname":"/datasets/vulcan-dataset/CWE-471/1506/src/set.js"}¿¿Program
344¿VariableDeclarator¿¿613¿set¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":7},"fname":"/datasets/vulcan-dataset/CWE-471/1506/src/set.js"}¿¿VariableDeclarator
345¿VariableDeclarator¿¿613¿v74¿¿¿{"start":{"line":12,"column":0},"end":{"line":45,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/1506/src/set.js"}¿¿VariableDeclarator
346¿FunctionExpression¿¿613¿anon¿¿¿{"start":{"line":12,"column":6},"end":{"line":45,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/1506/src/set.js"}¿¿FunctionExpression
347¿Identifier¿¿0¿object¿¿¿{"start":{"line":12,"column":15},"end":{"line":12,"column":21},"fname":"/datasets/vulcan-dataset/CWE-471/1506/src/set.js"}¿¿Identifier
348¿Identifier¿¿0¿keypath¿¿¿{"start":{"line":12,"column":23},"end":{"line":12,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/1506/src/set.js"}¿¿Identifier
349¿Identifier¿¿0¿value¿¿¿{"start":{"line":12,"column":32},"end":{"line":12,"column":37},"fname":"/datasets/vulcan-dataset/CWE-471/1506/src/set.js"}¿¿Identifier
350¿VariableDeclarator¿¿615¿k¿¿¿{"start":{"line":13,"column":8},"end":{"line":13,"column":9},"fname":"/datasets/vulcan-dataset/CWE-471/1506/src/set.js"}¿¿VariableDeclarator
351¿VariableDeclarator¿¿615¿kp¿¿¿{"start":{"line":13,"column":11},"end":{"line":13,"column":13},"fname":"/datasets/vulcan-dataset/CWE-471/1506/src/set.js"}¿¿VariableDeclarator
352¿VariableDeclarator¿¿615¿o¿¿¿{"start":{"line":13,"column":15},"end":{"line":13,"column":16},"fname":"/datasets/vulcan-dataset/CWE-471/1506/src/set.js"}¿¿VariableDeclarator
