Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
0¿Program¿¿¿¿¿{"start":{"line":29,"column":0},"end":{"line":280,"column":1}}¿¿Program
1¿VariableDeclarator¿¿v34¿¿¿¿¿VariableDeclarator
2¿FunctionExpression¿¿anon¿¿¿{"start":{"line":29,"column":14},"end":{"line":82,"column":1}}¿¿FunctionExpression
3¿Identifier¿¿path¿¿¿{"start":{"line":29,"column":24},"end":{"line":29,"column":28}}¿¿Identifier
4¿Identifier¿¿o¿¿¿{"start":{"line":29,"column":30},"end":{"line":29,"column":31}}¿¿Identifier
5¿Identifier¿¿special¿¿¿{"start":{"line":29,"column":33},"end":{"line":29,"column":40}}¿¿Identifier
6¿Identifier¿¿map¿¿¿{"start":{"line":29,"column":42},"end":{"line":29,"column":45}}¿¿Identifier
7¿VariableDeclarator¿¿lookup¿¿¿{"start":{"line":30,"column":6},"end":{"line":30,"column":12}}¿¿VariableDeclarator
8¿VariableDeclarator¿¿v1¿¿¿¿¿VariableDeclarator
9¿UnaryExpression¿typeof¿¿¿¿{"start":{"line":32,"column":20},"end":{"line":32,"column":34}}¿¿UnaryExpression
10¿Identifier¿¿special¿¿¿{"start":{"line":32,"column":27},"end":{"line":32,"column":34}}¿¿Identifier
11¿VariableDeclarator¿¿v2¿¿¿¿¿VariableDeclarator
12¿BinaryExpression¿==¿¿¿¿{"start":{"line":32,"column":6},"end":{"line":32,"column":34}}¿¿BinaryExpression
13¿Literal¿string¿¿'function'¿¿{"start":{"line":32,"column":6},"end":{"line":32,"column":16}}¿¿Literal
14¿Identifier¿¿v1¿¿¿¿¿Identifier
15¿IfStatement¿¿¿¿¿{"start":{"line":32,"column":2},"end":{"line":40,"column":3}}¿¿IfStatement
16¿Identifier¿¿v2¿¿¿¿¿Identifier
17¿VariableDeclarator¿¿v3¿¿¿¿¿VariableDeclarator
18¿MemberExpression¿¿¿¿¿{"start":{"line":33,"column":8},"end":{"line":33,"column":22}}¿¿MemberExpression
19¿Identifier¿¿special¿¿¿{"start":{"line":33,"column":8},"end":{"line":33,"column":15}}¿¿Identifier
20¿Identifier¿¿length¿¿¿{"start":{"line":33,"column":16},"end":{"line":33,"column":22}}¿¿Identifier
21¿VariableDeclarator¿¿v4¿¿¿¿¿VariableDeclarator
22¿BinaryExpression¿<¿¿¿¿{"start":{"line":33,"column":8},"end":{"line":33,"column":26}}¿¿BinaryExpression
23¿Identifier¿¿v3¿¿¿¿¿Identifier
24¿Literal¿number¿¿2¿¿{"start":{"line":33,"column":25},"end":{"line":33,"column":26}}¿¿Literal
25¿IfStatement¿¿¿¿¿{"start":{"line":33,"column":4},"end":{"line":39,"column":5}}¿¿IfStatement
26¿Identifier¿¿v4¿¿¿¿¿Identifier
27¿ExpressionStatement¿¿¿¿¿{"start":{"line":34,"column":6},"end":{"line":34,"column":20}}¿¿ExpressionStatement
28¿AssignmentExpression¿=¿¿¿¿{"start":{"line":34,"column":6},"end":{"line":34,"column":19}}¿¿AssignmentExpression
29¿Identifier¿¿map¿¿¿{"start":{"line":34,"column":6},"end":{"line":34,"column":9}}¿¿Identifier
30¿Identifier¿¿special¿¿¿{"start":{"line":34,"column":12},"end":{"line":34,"column":19}}¿¿Identifier
31¿ExpressionStatement¿¿¿¿¿{"start":{"line":35,"column":6},"end":{"line":35,"column":26}}¿¿ExpressionStatement
32¿AssignmentExpression¿=¿¿¿¿{"start":{"line":35,"column":6},"end":{"line":35,"column":25}}¿¿AssignmentExpression
33¿Identifier¿¿special¿¿¿{"start":{"line":35,"column":6},"end":{"line":35,"column":13}}¿¿Identifier
34¿Identifier¿¿undefined¿¿¿{"start":{"line":35,"column":16},"end":{"line":35,"column":25}}¿¿Identifier
35¿BlockStatement¿¿¿¿¿{"start":{"line":33,"column":28},"end":{"line":36,"column":5}}¿¿BlockStatement
36¿ExpressionStatement¿¿¿¿¿{"start":{"line":37,"column":6},"end":{"line":37,"column":23}}¿¿ExpressionStatement
37¿AssignmentExpression¿=¿¿¿¿{"start":{"line":37,"column":6},"end":{"line":37,"column":22}}¿¿AssignmentExpression
38¿Identifier¿¿lookup¿¿¿{"start":{"line":37,"column":6},"end":{"line":37,"column":12}}¿¿Identifier
39¿Identifier¿¿special¿¿¿{"start":{"line":37,"column":15},"end":{"line":37,"column":22}}¿¿Identifier
40¿ExpressionStatement¿¿¿¿¿{"start":{"line":38,"column":6},"end":{"line":38,"column":26}}¿¿ExpressionStatement
41¿AssignmentExpression¿=¿¿¿¿{"start":{"line":38,"column":6},"end":{"line":38,"column":25}}¿¿AssignmentExpression
42¿Identifier¿¿special¿¿¿{"start":{"line":38,"column":6},"end":{"line":38,"column":13}}¿¿Identifier
43¿Identifier¿¿undefined¿¿¿{"start":{"line":38,"column":16},"end":{"line":38,"column":25}}¿¿Identifier
44¿BlockStatement¿¿¿¿¿{"start":{"line":36,"column":11},"end":{"line":39,"column":5}}¿¿BlockStatement
