Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
410¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":28,"column":22},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿Program
411¿VariableDeclarator¿exported¿738¿merge¿¿¿{"start":{"line":1,"column":0},"end":{"line":15,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿VariableDeclarator
412¿FunctionExpression¿¿738¿anon¿¿¿{"start":{"line":1,"column":0},"end":{"line":15,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿FunctionExpression
413¿Identifier¿¿0¿a¿¿¿{"start":{"line":1,"column":15},"end":{"line":1,"column":16},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿Identifier
414¿Identifier¿¿0¿b¿¿¿{"start":{"line":1,"column":18},"end":{"line":1,"column":19},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿Identifier
415¿Identifier¿¿0¿k¿¿¿{"start":{"line":1,"column":21},"end":{"line":1,"column":22},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿Identifier
416¿VariableDeclarator¿¿740¿v48¿¿¿{"start":{"line":2,"column":5},"end":{"line":2,"column":13},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿VariableDeclarator
417¿UnaryExpression¿typeof¿740¿¿¿¿{"start":{"line":2,"column":5},"end":{"line":2,"column":13},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿UnaryExpression
418¿Identifier¿¿740¿a¿¿¿{"start":{"line":2,"column":12},"end":{"line":2,"column":13},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿Identifier
419¿VariableDeclarator¿¿740¿v49¿¿¿{"start":{"line":2,"column":5},"end":{"line":2,"column":26},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿VariableDeclarator
420¿BinaryExpression¿===¿740¿¿¿¿{"start":{"line":2,"column":5},"end":{"line":2,"column":26},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿BinaryExpression
421¿Identifier¿¿740¿v48¿¿¿¿¿Identifier
422¿Literal¿string¿740¿¿'object'¿¿{"start":{"line":2,"column":18},"end":{"line":2,"column":26},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿Literal
423¿VariableDeclarator¿¿740¿v50¿¿¿{"start":{"line":2,"column":30},"end":{"line":2,"column":38},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿VariableDeclarator
424¿UnaryExpression¿typeof¿740¿¿¿¿{"start":{"line":2,"column":30},"end":{"line":2,"column":38},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿UnaryExpression
425¿Identifier¿¿740¿b¿¿¿{"start":{"line":2,"column":37},"end":{"line":2,"column":38},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿Identifier
426¿VariableDeclarator¿¿740¿v51¿¿¿{"start":{"line":2,"column":30},"end":{"line":2,"column":51},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿VariableDeclarator
427¿BinaryExpression¿===¿740¿¿¿¿{"start":{"line":2,"column":30},"end":{"line":2,"column":51},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿BinaryExpression
428¿Identifier¿¿740¿v50¿¿¿¿¿Identifier
429¿Literal¿string¿740¿¿'object'¿¿{"start":{"line":2,"column":43},"end":{"line":2,"column":51},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿Literal
430¿VariableDeclarator¿¿740¿v52¿¿¿{"start":{"line":2,"column":5},"end":{"line":2,"column":51},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿VariableDeclarator
431¿LogicalExpression¿&&¿740¿¿¿¿{"start":{"line":2,"column":5},"end":{"line":2,"column":51},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿LogicalExpression
432¿Identifier¿¿740¿v49¿¿¿¿¿Identifier
433¿Identifier¿¿740¿v51¿¿¿¿¿Identifier
434¿IfStatement¿¿740¿¿¿¿{"start":{"line":2,"column":1},"end":{"line":13,"column":2},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿IfStatement
435¿Identifier¿¿740¿v52¿¿¿¿¿Identifier
436¿VariableDeclarator¿¿740¿v53¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":22},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿VariableDeclarator
437¿CallExpression¿¿740¿¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":22},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿CallExpression
438¿MemberExpression¿¿740¿¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":19},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿MemberExpression
439¿Identifier¿¿740¿Array¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":11},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿Identifier
440¿Identifier¿¿740¿isArray¿¿¿{"start":{"line":3,"column":12},"end":{"line":3,"column":19},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿Identifier
441¿Identifier¿¿740¿a¿¿¿{"start":{"line":3,"column":20},"end":{"line":3,"column":21},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿Identifier
442¿VariableDeclarator¿¿740¿v54¿¿¿{"start":{"line":3,"column":26},"end":{"line":3,"column":42},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿VariableDeclarator
443¿CallExpression¿¿740¿¿¿¿{"start":{"line":3,"column":26},"end":{"line":3,"column":42},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿CallExpression
444¿MemberExpression¿¿740¿¿¿¿{"start":{"line":3,"column":26},"end":{"line":3,"column":39},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿MemberExpression
445¿Identifier¿¿740¿Array¿¿¿{"start":{"line":3,"column":26},"end":{"line":3,"column":31},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿Identifier
446¿Identifier¿¿740¿isArray¿¿¿{"start":{"line":3,"column":32},"end":{"line":3,"column":39},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿Identifier
447¿Identifier¿¿740¿b¿¿¿{"start":{"line":3,"column":40},"end":{"line":3,"column":41},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿Identifier
448¿VariableDeclarator¿¿740¿v55¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":42},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿VariableDeclarator
449¿LogicalExpression¿&&¿740¿¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":42},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿LogicalExpression
450¿Identifier¿¿740¿v53¿¿¿¿¿Identifier
451¿Identifier¿¿740¿v54¿¿¿¿¿Identifier
452¿IfStatement¿¿740¿¿¿¿{"start":{"line":3,"column":2},"end":{"line":11,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿IfStatement
453¿Identifier¿¿740¿v55¿¿¿¿¿Identifier
454¿AssignmentExpression¿=¿740¿¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":11},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿AssignmentExpression
455¿Identifier¿¿740¿k¿¿¿{"start":{"line":4,"column":8},"end":{"line":4,"column":9},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿Identifier
456¿Literal¿number¿740¿¿0¿¿{"start":{"line":4,"column":10},"end":{"line":4,"column":11},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿Literal
457¿VariableDeclarator¿¿740¿v56¿¿¿{"start":{"line":4,"column":17},"end":{"line":4,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿VariableDeclarator
458¿MemberExpression¿¿740¿¿¿¿{"start":{"line":4,"column":17},"end":{"line":4,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿MemberExpression
459¿Identifier¿¿740¿b¿¿¿{"start":{"line":4,"column":17},"end":{"line":4,"column":18},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿Identifier
460¿Identifier¿¿740¿length¿¿¿{"start":{"line":4,"column":19},"end":{"line":4,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿Identifier
461¿VariableDeclarator¿¿740¿v57¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿VariableDeclarator
462¿BinaryExpression¿<¿740¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿BinaryExpression
463¿Identifier¿¿740¿k¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":14},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿Identifier
464¿Identifier¿¿740¿v56¿¿¿¿¿Identifier
465¿WhileStatement¿¿740¿¿¿¿{"start":{"line":4,"column":3},"end":{"line":6,"column":4},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿WhileStatement
466¿Identifier¿¿740¿v57¿¿¿¿¿Identifier
467¿VariableDeclarator¿¿740¿v59¿¿¿{"start":{"line":5,"column":17},"end":{"line":5,"column":21},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿VariableDeclarator
468¿MemberExpression¿computed¿740¿¿¿¿{"start":{"line":5,"column":17},"end":{"line":5,"column":21},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿MemberExpression
469¿Identifier¿¿740¿a¿¿¿{"start":{"line":5,"column":17},"end":{"line":5,"column":18},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿Identifier
470¿Identifier¿¿740¿k¿¿¿{"start":{"line":5,"column":19},"end":{"line":5,"column":20},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿Identifier
471¿VariableDeclarator¿¿740¿v60¿¿¿{"start":{"line":5,"column":23},"end":{"line":5,"column":27},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿VariableDeclarator
472¿MemberExpression¿computed¿740¿¿¿¿{"start":{"line":5,"column":23},"end":{"line":5,"column":27},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿MemberExpression
473¿Identifier¿¿740¿b¿¿¿{"start":{"line":5,"column":23},"end":{"line":5,"column":24},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿Identifier
474¿Identifier¿¿740¿k¿¿¿{"start":{"line":5,"column":25},"end":{"line":5,"column":26},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿Identifier
475¿VariableDeclarator¿¿740¿v61¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":28},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿VariableDeclarator
476¿CallExpression¿¿740¿¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":28},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿CallExpression
477¿Identifier¿¿740¿merge¿¿¿{"start":{"line":5,"column":11},"end":{"line":5,"column":16},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿Identifier
478¿Identifier¿¿740¿v59¿¿¿¿¿Identifier
479¿Identifier¿¿740¿v60¿¿¿¿¿Identifier
480¿ExpressionStatement¿¿740¿¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":29},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿ExpressionStatement
481¿AssignmentExpression¿=¿740¿¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":28},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿AssignmentExpression
482¿MemberExpression¿computed¿740¿¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":8},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿MemberExpression
483¿Identifier¿¿740¿a¿¿¿{"start":{"line":5,"column":4},"end":{"line":5,"column":5},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-23wx-cgxq-vpwx/src/index.js"}¿¿Identifier
