Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
942¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":134,"column":237},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Program
943¿ExpressionStatement¿¿1634¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":13},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿ExpressionStatement
944¿Literal¿string¿1634¿¿'use strict'¿¿{"start":{"line":1,"column":0},"end":{"line":1,"column":12},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Literal
945¿VariableDeclarator¿¿1634¿v83¿¿¿{"start":{"line":3,"column":45},"end":{"line":5,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿VariableDeclarator
946¿ObjectExpression¿¿1634¿¿¿¿{"start":{"line":3,"column":45},"end":{"line":5,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿ObjectExpression
947¿Property¿¿1634¿¿¿¿{"start":{"line":4,"column":2},"end":{"line":4,"column":13},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Property
948¿Identifier¿¿1634¿value¿¿¿{"start":{"line":4,"column":2},"end":{"line":4,"column":7},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Identifier
949¿Literal¿boolean¿1634¿¿true¿¿{"start":{"line":4,"column":9},"end":{"line":4,"column":13},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿Literal
950¿VariableDeclarator¿¿1634¿v84¿¿¿{"start":{"line":3,"column":0},"end":{"line":5,"column":2},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿VariableDeclarator
951¿CallExpression¿¿1634¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":5,"column":2},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿CallExpression
952¿MemberExpression¿¿1634¿¿¿¿{"start":{"line":3,"column":0},"end":{"line":3,"column":21},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js"}¿¿MemberExpression
