Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
384¿Program¿¿-1¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":51,"column":21},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-ph28-wwfj-fv7f/src/set.js"}¿¿Program
385¿VariableDeclarator¿¿686¿set¿¿¿{"start":{"line":10,"column":4},"end":{"line":10,"column":7},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-ph28-wwfj-fv7f/src/set.js"}¿¿VariableDeclarator
386¿VariableDeclarator¿¿686¿v43¿¿¿{"start":{"line":11,"column":14},"end":{"line":11,"column":16},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-ph28-wwfj-fv7f/src/set.js"}¿¿VariableDeclarator
387¿ArrayExpression¿¿686¿¿¿¿{"start":{"line":11,"column":14},"end":{"line":11,"column":16},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-ph28-wwfj-fv7f/src/set.js"}¿¿ArrayExpression
388¿VariableDeclarator¿¿686¿indexOf¿¿¿{"start":{"line":11,"column":4},"end":{"line":11,"column":24},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-ph28-wwfj-fv7f/src/set.js"}¿¿VariableDeclarator
389¿MemberExpression¿¿686¿¿¿¿{"start":{"line":11,"column":14},"end":{"line":11,"column":24},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-ph28-wwfj-fv7f/src/set.js"}¿¿MemberExpression
390¿Identifier¿¿686¿v43¿¿¿¿¿Identifier
391¿Identifier¿¿686¿indexOf¿¿¿{"start":{"line":11,"column":17},"end":{"line":11,"column":24},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-ph28-wwfj-fv7f/src/set.js"}¿¿Identifier
392¿VariableDeclarator¿¿686¿v84¿¿¿{"start":{"line":13,"column":0},"end":{"line":49,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-ph28-wwfj-fv7f/src/set.js"}¿¿VariableDeclarator
393¿FunctionExpression¿¿686¿anon¿¿¿{"start":{"line":13,"column":6},"end":{"line":49,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-ph28-wwfj-fv7f/src/set.js"}¿¿FunctionExpression
394¿Identifier¿¿0¿object¿¿¿{"start":{"line":13,"column":15},"end":{"line":13,"column":21},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-ph28-wwfj-fv7f/src/set.js"}¿¿Identifier
395¿Identifier¿¿0¿keypath¿¿¿{"start":{"line":13,"column":23},"end":{"line":13,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-ph28-wwfj-fv7f/src/set.js"}¿¿Identifier
396¿Identifier¿¿0¿value¿¿¿{"start":{"line":13,"column":32},"end":{"line":13,"column":37},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-ph28-wwfj-fv7f/src/set.js"}¿¿Identifier
